"lovely length, squares Khawaja up as he defends from the crease"
"full and outside off, he smears it through the covers and Rohit isn't able to get low to his left quickly enough to stop it"
drags it way too short - which happens so very rarely with Jadeja - but Khawaja is soooooo good here. Leaps back into his crease and pulling it in front of the fielder at square leg. Splendid manipulation of the field
nudges the fuller delivery on middle through midwicket
short and wide but Khawaja finds point with his cut shot.
"there we go, he waits a little longer with this cut shot, hoping to find the gap between point and third man. Doesn't quite manage it but does get the single with short third man having to move to his left"
<b>there's the googly!</b>. Handscomb goes down to sweep it and - with the ball tossed up wide and turning away - he mistimes it through square leg
nudges it through midwicket
another sweep - this one to the legbreak wide outside off - as Handscomb finds a single behind square leg
"rolls the wrists over the legbreak outside off, largely because it dips on him and he doesn't want to pop it up in the air. Single through cover"
"<b>almost chops on</b>! Bumrah coming round the wicket for a back of a length delivery outside off. Khawaja is on the hop, his bat coming down at an angle which enables the mis-hit"
"full and outside off, he drives to cover."
"back of a length and outside off, he opens the face and runs it to third man"
"presents the full face of the bat, even though he's a little squared up on off stump. He has to do that really with Bumrah hitting the deck and getting it to straighten. That strong wrist and the hyper-extension of his elbow allows him to get more from the pitch than most other bowlers"
"<b>straightens again</b> but Khawaja is ready for this time time, staying back in his crease, waitin for it to come to him outside off and guiding it behind point"
"full and outside off, he drives to mid-off"
"shortish and outside off, he shapes to cut, but is beaten"
"presses forward as he waits for Kuldeep to delivery but the moment he reads the flight and realises this is short, he's back and across, ready with the cut shot"
"<b>googly</b> which is quicker and closer to off stump. Also keeps low, meaning Khawaja has to adjust, straightening his back leg and cutting to point"
""
another quick googly on and around off sutmp and Khawaja is very nearly bowled as he sets up for a cut shot again. Last minute change to a straight bat slice to point saves him in the end
"good length ball outside off - this one turns away from the left-hander, allowing the cut shot to deep point"
whirls his wrists over a shortish delivery outside off in an effort to smuggle it through midwicket. No such luck
"slower ball, which he picks and plays with the angle from round the wicket to deep square leg"
"firm push to extra cover as Bumrah keeps banging the ball in at back of a length, hoping the low bounce will help him get a wicket"
"<b>searing yorker</b>, and it is all the more difficult because of the late inswing. Handscomb just about deals with it, the inside edge of his bat coming in very handy!"
"follows it up with the slower ball, but Handscomb is ready for that too, holding his shape until it comes close enough that he can guide it behind point"
"slogs a good length ball on off stump down to mid-on - and the reason it only went that far is because he checks his shot, knowing Australia cannot afford to lose a wicket now. Not when they've taken out two of Bumrah's overs off the death"
cuts the shortish delivery outside off to deep point and <b>mores to 99</b>
eases down the pitch and chips the legbreak on leg stump over the infield. The timing is so good that it nearly wanders all the way to the boundary - it has no business getting that far - but Jadhav stops it with a big old dive.
"<b>googly gets the edge and it beats Pant!</b> Too thick for the wicketkeeper to do anything about it. Has no time to react. Handscomb backs away to try and open up the off side, but he's given himself too much room and is panicking as the ball turns away from him rather sharply. Gets a big edge, which is lucky for him because it takes the ball well away from the only catcher in the region"
"full on off stump, Handscomb holds his shape as it comes down slowly and then punches it to long-on"
stays back and guides the length ball on middle through cover and jogs through for <b>his second hundred in three innings</b>! Gorgeous batting from Khawaja and Delhi appreciates it. Even this shot - for a single - shows off the reason why he's succeeded on this tour. Plays late. Wiats for the turn. Soft hands.
sweeps the length ball on middle stump to deep square leg
"lovely straight drive from Handscomb. Stays legside of the ball, perhaps because there is a little bit of reverse swing out there, and presents the full face"
carves the back of a length delivery outside off into the covers and sprints through
"mistimes a swat down the ground, the fuller delivery outside off going off the bottom edge back to the bowler"
"full and outside off, he drives to mid-off"
<b>beats him</b> on the pull as Bhuvi's short ball goes under Khawaja's bat
"leaves his wicket giftwrapped at Kohli's feet. A harmless ba outside off, tempting the drive on the up. Khawaja obliges, not taking the care he has done all innings to keep the ball down, or away from a fielder. Goes straight to the Indian captain. Delhi roars in approval. Khawaja, meanwhile, is devastated, basically dragging himself off the field."
driven with the spin to cover.
"drifts in and skids through, Maxwell defends"
drives one and gets it off a thickish inside edge towards long-on
uses the depth of the crease superbly to force this towards deep point where an off-balanced Vijay hurls a superb throw. <strong>Saved three runs</strong>
"back-to-back wickets, Jadeja is pumped, Kohli even more. Maxwell has fallen looking to hit this over cover. Didn't get the elevation because he didn't get to the pitch. This also spun away a wee bit more than he expected, and Kohli is extremely alert at extra cover."
""
"length ball angling into middle and leg, tucked to midwicket where Kohli is supremely alert as he dives full-length to his left to keep Handscomb on 49"
<b> nearly chopped on! </b> The slowness of the surface starting to show up here. Looks to force this on the up through cover point.
"reverse? Ooohhh, exciting. Veers in late, he defends forward and gets a thickish inside edge towards mid-on."
steered down to square third man to bring up <strong>back-to-back half-centuries for Handscomb</strong>
"length on off, Handscomb defends as he gets half forward"
"touch ahead of a length on off, defends using the full face of the bat."
driven with the spin to long-off
"fired full and flat, defended again."
"drifts one in from wide of the crease, Stoinis defends from the crease"
slices the drive to Vijay at deep point
"eased with the spin, Kohli supremely agile at cover as he moves quickly to cut out the single"
"touch short, punched down to long-off"
"<b> run-out chance missed at the bowler's end. </b> Bunted to short cover, Jadhav hurls one just wide to reprieve Stoinis who was well outside the crease."
"wicket denied at one end, but Shami provides one at the other, and it's a cracker of a delivery. Lifter that completely takes Handscomb aback as he is forced to play at this because of the length, but the ball kisses the shoulder and flies to Pant who takes a superb catch. Massive break for India. They've come storming back."
"what a way to get off the mark! This one tailed in late but Turner plays it late, brings his wrists into play to flick this into the gap between midwicket and mid-on. Lovely timing."
"driven firmly on the up to sweeper cover, aggressive running to complete the second"
"full on off, defended from the crease."
"plays too early, gets a thick inside edge onto the pad. Rolls to the off side as he tries to scamper a run but it isn't there."
punched on the up to sweeper cover for a single.
"length ball sliding back in, defended."
"fired full, he lunges forward and blocks"
"drifts into middle and leg, tucks this into the leg side."
"goes for a big drive but ends up getting a thin edge past the keeper, short third man gave up the chase very early"
"works this with the angle towards square leg. Jadeja bowls out, top spell."
"hits the hard length, defended from the crease."
"slower and fuller on the stumps, he drops it gently into the off side for a quick single."
"slower length ball on off stump, he stands tall and defends"
"yorker-length on off, squeezed back down the pitch off a thick inside edge."
"length on middle and leg, he tucks this with the angle towards deep square"
"sublime! Too full, right into his driving arc and Stoinis responds with a delightful straight drive"
"shortish delivery, punched to cover point"
"wrong'un that squares him up, squirted to short third man for a quick single."
"steps out and then jabs this away wide of cover with his pad. There was a stifled appeal from Kuldeep, but obviously  he was too far down the pitch"
"defended towards cover, single denied as Kohli swoops in quickly"
pulled away but straight to Vijay at deep midwicket
makes room and cuts to the cover fielder at the edge of the ring.
"veers a length ball into the body, squirted to short midwicket"
"slower length ball, he check-drives this wide of cover for a quick single"
"short of length outside off, bunted into the covers"
<strong>beauty!</strong> Gets this one to slant in and then hold its line as Stoinis is beaten on a tentative poke.
defends back to the bowler with a straight bat
right behind the line as he defends this incoming length ball
"clobbered over deep midwicket! Too short, picked the length early and gave it a whack"
"drifts one away but it's too far wide outside off, left alone"
"picks the wrong'un but hits against the turn in trying to loft this over long-on, no timing and it is well taken. Turner was looking to hit it much straighter, but ended up dragging it. Kuldeep has delivered a massive wicket. Excellent catch by Jadeja"
"steps out and belts this straight over the sightscreen, onto the old pavillion block. Lovely use of the feet."
makes room and forces this to cover
toe-ends this full toss to long-on
lunges forward and defends.
beauty! Angles one in and gets it to straighten to beat the outside edge.
"slants a length ball in from wide of the crease, defended"
"squeezes this yorker-length delivery to mid-on, <strong>risky single stolen</strong>"
"full and straight on off stump, defended towards cover"
squirts this to backward point
"late movement back in from wide of the crease, Carey gets a thick inside edge to midwicket"
stands tall and punches to deep cover
"too straight, on leg stump, tucked nicely to fine leg"
"slower and fuller outside off, he makes room and creams this through cover, Kuldeep runs across to his left from mid-off and puts in a dive to effect a one-handed stop. <b> Kohli runs across some 40-50 metres to slap a high five to his mate </b>"
works this off the pads towards deep midwicket
"works this lifter towards deep midwicket where substitute Rayudu is late to move to his right. For those asking, Rayudu is on for Jadhav"
"cramps him for room with a length ball on off stump, defended."
"length outside off, bunts this towards point to scamper a quick single. Stoinis was running towards the danger end as Jadeja fired a throw at the striker's end, didn't hit direct."
"chopped on! Too close to cut, this skidded through as well to get a thick inside edge onto the stumps. Stoinis' painful innings is over, didn't looked settled at any stage."
"flicks, but keep it all along the ground. They beat Vijay's speed at deep midwicket to scamper a second"
right behind the line of this incoming length ball as he defends.
bunts this length ball to short cover.
"gentle bunt into the off side, wide of point, for a quick single."
"nice and full on the stumps, defended."
"slower and fuller outside off, turns it towards the man coming in from midwicket"
"flicks nicely down to wide long-on, excellent work by Dhawan"
tucks this length ball to midwicket
"<strong>thin edge, excellent catch!</strong> Deceived by the slower one, Carey looking to glide this behind point but is foxed as he wafts and ends up getting bat as Pant dives forward to complete an excellent catch."
"another offcutter, worked down the ground wide of mid-on"
defends this incoming length delivery into the leg side
clears his front leg and biffs this length ball over mid-off. Solid blow
"hoicked across the line, the mishit lands between deep midwicket and wide long-on. Vijay runs around a long way from deep square and then puts in a dive on the run to pull it back in."
"slower and fuller on off, defended past the bowler"
whips this length ball down to deep midwicket
"did it get something on the way? No, wide called. Good dive by Pant to stop that"
"dabs this behind square on the off side, rare miss by Jadeja at point and they take a quick single"
"chipped over midwicket, two? Dhawan can't prevent it. Good running"
"edged and it races away past Pant's outstretched hands. Deliberately played, although he got it much finer than he would've liked."
"scorching cover drive. Held his shape, laced this full delivery away. Pure timing, beats sweeper cover"
"ripper of a yorker, onto the toes. Squeezed back to Bumrah, who angrily fires a throw at the stumps. Guess what? It ricochets to the third man boundary, <strong>what should've been a dot is four runs now</strong>"
"drills this back, Bumrah puts his right boot out to stop a certain boundary"
"angling in, he makes room and deflects this length ball to the third man boundary, so very clever"
mistimes this high full toss into the gap at midwicket
"slower length ball, he makes room and punches this into the gap at sweeper cover"
"right into the blockhole, veering in late, squeezed back to Bhuvi. He goes up in an appeal, the umpires converge and then go upstairs. Soft signal: not out. <B> Replays confirm Cummins has smashed it onto the pad. </b> Bhuvi has a wicket as the decision is overturned. Cummins started walking upon seeing replays on the big screen. Very much possible that Wilson took a guess with the soft signal, another example of why this should be abolished going forward."
gets a thick inside edge to deep midwicket
"slower length ball on off, squeezed towards backward point"
"sweeps and misses, looked to fetch this leg-cutter from way outside off"
backs away to carve behind point but misses this slower ball
swing and a miss. Had a big swing by taking a step outside off
"ugly hoick, mistimed to deep midwicket"
"veers in late, beats the inside edge. They scamper a bye as Pant flicks an underarm throw"
"top-edges a wild heave, bounces wide of short third man and gathers steam to the boundary. Deceived by the slower one but gets away still. All Bumrah can do is have a laugh"
"flicks this full toss to deep midwicket where Kohli fires a good throw on the bounce to Pant, who breaks the bails to beat Jhye Richardson's dive."
"gets carefully behind the shortish delivery on middle and even though there's a bit of movement for Cummins away from the batsman, Rohit blunts it beautifully"
"pitches it up on off stump, Rohit eases forward and prevents its date with his sticks"
"lovely line from Cummins, but Rohit is defying him as if he's a medium pacer. Confident forward step, sweet sound off the bat and the ball scurries to cover"
"<b>glorious drive</b> as he picks the gap between cover and mid-off, but Finch, running to his left, puts in a dive and prevents it from going to the boundary"
"hint of an inside edge with Dhawan expecting the length ball to carry on with the angle across him, but Cummins gets it to straighten just enough that it ends up at mid-off's hands instead of racing away through cover"
laces the short ball outside off to cover
"hesitation from Rohit, after he nudges a length ball towards square leg, but Dhawan pulls his partner through and he's safe, despite Khawaja's throw coming to his (non-strikers') end"
"there's room to free the arms, but the slow pitch doesn't allow Dhawan to time the ball like he usually does. Cut finds cover"
"<B>whistles away to the square leg boundary</b>. Mistake from Richardson, the ball pitching on leg stump and asking to be hit. Dhawan is definitely in the mood to oblige"
"<b>carves it through cover</b>. The off side is fairly packed, but when there's that much room on offer, Dhawan can bring in all his power. Lashes it between cover and point"
"goes round the wicket and Dhawan, waiting nicely for the pitched up ball on middle, flicks it to deep square leg. <b>Delhi is ROARING</B>"
"fullish on off stump, Rohit defends."
"oooh, he goes for the cut shot and it's a very rare occurance that he misses it altogether. Especially with so much room"
opens the face and guides the shortish delivery to point. Little closer to the body prompting a straight-bat shot
"lovely batting. He's become so good on the leg side, waiting for the ball, perfectly balanced at the crease, and then the roll of the wrists to find a single at deep square leg"
closes the face to turn a fuller delivery on middle to midwicket.
"<b>inside edge</b> as Rohit underestimates the movement that Cummins gets. Hits the deck hard, with the seam upright and the ball jags back after pitching to disrupt the batsman's flick shot"
"full face of the bat as Rohit drives the fuller delivery to mid-off. Phew, just the composure he has to play proper shots even when he's not getting runs off them. The confidence that he can make it up later in the game..."
"back of a length and outside off, Dhawan guides it into the covers, only this one seems to stop on him, forcing him to check his shot"
straying onto the pads and Dhawan sends it on a one-way trip to deep square leg. (It hitchhikes the way back though)
"pristine drive from Rohit again, but mid-off is lurking to deny him runs."
"back of a length and outside off, Rohit waits on it and slice it away to deep third man"
"shortish and on off stump, Dhawan has no room to work with and as a result has to settle for knocking it down to the bowler"
"fullish and outside off, he drives through the covers"
gets squared up in dealing with a short ball on off stump. Cummins' strength to pound the new white ball into the deck is helping him get just enough sideways movement
"<b>Dhawan walks</b>! And there, in a nutshell, is the value of this outstanding bowler. The effort he puts in. The pace that he has. And the unerring accuracy. #TooGood #Cummins. This is back of a length, but it darts away from Dhawan's bat, bounces more than he expects too, and a punch through the covers instead ends up as an outside edge pounced by Alex Carey."
"good length ball outside off, Kohli guides it to point"
"<b>riiiidiculous</b>! This is a fearsome fast bowler charging in at him, steaming coming out of his nose, but Kohli is so still at the crease, so cool coming forward to the pitched up ball, and so donwright dominant as he threads the gap at extra cover"
"shuffles inside the line of the ball, hoping to deflect it to the fine leg boundary, but it thuds into his thigh and he has to settle for a single. Cummins, the bowler, gets across to it and tries to kick it at the stumps, but misses the target"
"slices it! He likely wants to find the boundary in front of point, but a thick outside edge smuggles it to boundary on the right of the third man"
"hangs back, and leg side of the good length ball outside off, so he can steer it to deep third man"
good length on off stump draws Rohit forward with a punch to cover
rides the bounce nicely - and he can do that because he is so still at the crease - to send the shortish and rising delivery outside off to cover point
"caresses it to the extra cover boundary. Rohit's driving has been sumptuous in this little innings. It's not always fetched him runs, but here, he takes care to find the gap too"
"back of a length and outside off, guides it to deep third man"
"<B>risky run</b>! But Kohli always fancies those. He brings those wrists down on a full delivery on middle stump and knowing he's mistimed it, he sprints across to the other end before Stoinis at mid-on can find the target at the non-strikers' end"
reads the length so early - short and outside off - and spirits it to deep third man.
"cuts back in off the pitch as Richardson hits the deck, Rohit hangs back, letting the ball come onto him, and then taps it towards point"
right behind the short of a length ball on off stump
"<b>OUCH!</B>. Cummins again. The sheer strength he has to keep running in and hammer the back of a length produces magic even on pitches that troll fast bowlers for even existing. This rears up at Rohit. Worse. It cuts into him, at high pace, preventing him the time he needs to get out of the way. In the end, Rohit does well to glove it and keep it down"
"back of a length and outside off, he steers towards cover"
waits on the shortish delivery on middle and turns it through midwicket
"shapes for the cut shot, but with the ball - shortish and outside off - not quite bouncing as much as he likes, he mistimes it into the covers"
<b>breathtaking</b>! All of his quality is condensed into this one moment. His balance. His timing. His ability to read length so early. Spots the shortish ball outside off and simply punches it through cover. No fuss. All boss.
opens the face as he slices the shortish ball outside off to deep third man
rises up to get on top of the bounce of this back of a length ball outside off and blunts it well
"fullish and outside off, he drives to mid-off"
"seam movement into the bat makes Kohli mistime his backfoot drive, which ends up at midwicket instead of where he was aiming (mid-off)"
"deals with Cummins' bounce welll, leaping off his feet to turn the short ball on middle to midwicket"
"searches for a quick single after dabbing the back of a length ball on off stump down by his feet, but point is switched on"
"gets out the on-the-up drive, but doesn't quite beat cover"
"misses the front-foot pull, which is bizarre because he might be the best player of that shot in the world"
"plenty of pace  -  143 kph - and bounce as well. Rohit has to be careful, using his wrists to pin the ball down at midwicket"
