bouncer first ball. Dug in short at a leg stump line and has Lewis avoiding this hurriedly
"short and wide this time, and it's all hands from Lewis. Lifts his front leg slightly as he reaches out and cuts this over point"
"quicker one, back of a length at middle stump, hurries him as he looks to punch to long-on off the back foot. Then fields to his left"
"136 kph, length ball in the corridor, stabbed, down to third man"
"short and slightly wide outside off stump. Slashes hard, gets a thick outside edge to third man"
"offcutter, back of a length at middle stump, flicked off the hips to deep square"
"offcutter, back of a length in the corridor, and the first signs of spongy bounce. This climbs past his gloves"
"offcutter, good length, middle stump. Looks to clip it to deep square leg, but is forced to check his shot as this doesn't come on"
"offcutter, short and wide. Again, too little pace for Lewis' liking. Can't get useful connection on this cut"
"good length at off stump, driven on the up...Kohli dives to his left at extra cover"
"short and just outside off stump, spins away rapidly, gets the outside edge on the cut"
"flat, good length, off stump. Too quick for him to punch this to long-on"
"good length, drifted in at middle stump, defended off the inside half of the bat"
"back of a length at off stump, hurriedly tucked to long-on off the back foot"
"good length at middle stump, driven to midwicket on the up"
Hope walks down the pitch. Pandya bowls him a bouncer. Umpire deems it's too high
"good length at off stump, clears the front leg and clubs across the line...just gets it past Umesh Yadav at mid-on who considered a dive for a fleeting moment. It was travelling too quickly"
"holes out to sweeper cover. Pandya gets Kohli wickets. This is good length, outside off stump. Hope was visibly antsy, trying to open up and get quick runs. Makes him run down the pitch, that pressure, and slash away from the body. It's a leading edge that goes high into the off side and is taken easily"
"back of a length on off stump, punched towards mid-off"
"full on off stump, shows the full face to push to the left of mid-on"
"back of a length outside off, dabbed down to third man"
"back of a length on off stump, gets back and across to defend to midwicket"
"back of a length, drifting down leg. Looks to work it leg side, only gets pad on it down towards short fine leg"
"goes back to a length back on middle stump, tucks it into the square leg region"
"flat, angled into middle stump, punched to midwicket off the back foot"
"back of a length outside off, punched to sweeper cover"
"tossed up on middle stump, stretches out to flick to midwicket"
"fired in on middle and leg, clipped to backward square leg"
"short, angling across towards off stump. Looks to go back and across and work it through the leg side, extra bounce beats him and hits him on the stomach"
"length ball slanting into the corridor, goes a long way back and across to shorten the length and stab to backward point"
"shortish slower ball wide outside off. Lewis slashes and the ball keeps low, sneaks under his bat, and bounces a second time before reaching Dhoni"
"goes back to a fullish ball close to off stump, looks to chop into the off side. Lucky that the ball hits the toe of his bat and goes back to the bowler. Could easily have inside-edged into his stumps"
"shot. Full on off stump, overpitched, and Lewis swings smoothly through the line to loft over mid-off"
"shortish outside off, cut away to the right of the diving backward point fielder. Third man mops up"
"slower bouncer over off stump, Hope ducks"
"full outside off stump, and Lewis frees his arms once again. Lovely, full follow-through as he launches this high over mid-off"
"flat on off stump, goes back to defend to midwicket. 'Yeh accha hai,' MS Dhoni says (this is good)."
"a little straighter, goes back to work it through backward square leg"
"fired into the pads, quick and flat. No time to close his bat face and play that square, so he shows the full face to push towards mid-on"
"length ball on middle and leg, swept away to deep backward square leg"
"back of a length on off stump, goes deep in his crease, gets behind the line, and clips to midwicket. Wants to play that squarer but the line and the little bit of turn Jadeja achieves do not allow him to"
"ooh, nicely bowled. Drifts in towards off stump, straightens. Plays back when he should be forward, hurriedly jabs away into the covers"
"shorter now, outside off, slapped to deep point"
"stock ball turning down the leg side, worked down to long leg"
"tossed up, drifts in late towards off stump, driven to short extra-cover. Good stride forward this time"
"beautifully bowled. Down the track and the drift does Lewis in. He wants to drive this straighter, over mid-on, but it drifts into him, forces him to hit it squarer, and midwicket takes a good catch diving forward. The ball got too close to Lewis to let him free his arms fully"
"lovely. First ball drifts out towards off stump, turns back in. Good forward stride, defends back down the pitch. He'll be a lot more wary of playing across the line given the way he got out in the last match"
"fullish on middle stump, good stride out to defend into the on side"
"overpitched now, drifts ouside leg. Hope whips it away easily over midwicket"
"better length now, on leg stump, comes forward and shows the full face to push to long-on"
"ooh, some turn. Back of a length outside off. Went back and shaped to cut, but stopped himself seeing how much it turned"
"fuller, on the stumps, defended into the on side"
"back of a length on off stump, punched into the covers"
"floated up full on middle and off, driven past the diving bowler towards long-off"
"nice flight, drifting slightly away from off stump before turning back in. Defended back down the pitch"
a touch short and he rocks back to punch in front of sweeper cover
"full and flighted on leg stump, clipped through square leg"
"back of a length on off stump, punched back to the bowler"
"ooh, drift and a bit of dip this time. Hope only half-forward in defence, this turns back in from outside off and rolls off the inside edge into the leg side"
"full on middle and leg, clipped to the right of long-on. Kuldeep, in trying to run around the ball to pick up with his left hand, misfields and allows a second"
"back of a length, a bit of drift in towards off stump and slight turn away. Goes back to punch into the covers"
"good ball, not quite as full as Chase imagined. A bit of flight on this occasion. Gets forward to drive inside-out, and the ball nearly carries to Kohli diving forward at short extra-cover"
"back of a length on off stump, punched to sweeper cover"
"full on off stump, pushed to the left of short extra. Hope doesn't ground his bat properly at the bowler's end, jumps in instead. Was in the air when Kohli's throw missed the stumps"
"driven to long-off, and Karthik, bending down to field the ball, takes his eyes off it and lets it roll through to the boundary, between his legs"
"tossed up outside off, whipped to long-on"
"full on leg stump, defended to midwicket"
"goes back to a length ball turning in towards off stump, tries to whip into the leg side. Ends up getting a thick bottom-edge into his pad"
"beauty. Tossed up enticingly, slanted across the batsman with some drift, and this is the googly that beats the outside edge of Chase's defensive bat"
"fuller, similar line, defended into the covers"
"a touch short on off stump, punched to the right of sweeper cover"
"full on middle and off, driven back to the bowler. Wanted to drive to long-off but a bit of inward drift changed the line of the ball"
"back of a length, close to off, dabbed to short third man"
"full on off stump, defended back to the bowler"
"flat, a little round-arm on off stump, goes back and chops to backward point"
"flighted ball close to off stump, driven inside-out to the sweeper"
"nicely played. That was a good-length ball that spun away from off stump. Chase gets forward, watches it well, and opens his bat face at the last moment to steer it into the fine third-man region"
"floated up on leg stump, swept to deep backward square leg"
"back of a length, pitches on off and doesn't turn in as Chase expects. Shapes to work it leg side, adjusts and defends into the covers"
"back of a length, turns in towards middle stump, whipped to deep square leg"
"interesting shot. Length ball on leg stump, goes deep in his crease and into a bit of a crouch to pull it to deep midwicket"
"floated up on off stump, and that's good placement. Clears his front leg to make room for the slog-sweep, and uses his wrists to place it square of deep midwicket"
"tossed up outside off, dips and turns and the attempted defensive push into the covers rolls to midwicket off the inside edge"
"full outside off, driven firmly to the left of short extra, where Kohli makes a diving stop"
"back of a length outside off, stops on the batsman slightly and his punch is momentarily airborne, but safely enough, placed towards sweeper cover"
"quicker now, back of a length outside off, stabbed away through point"
"a bit of flight on off stump, driven to sweeper cover"
"full on off stump, driven to long-off"
"once again, full on off stump, shows the full face for the push to long-off"
tossed up just outside off. Gets a big stretch out and clips defensively to midwicket
"on middle stump this time, gets a nice stride forward to flick to deep backward square leg"
"beats the outside edge. Goes back to try and defend a length ball pitching on off stump, doesn't pick the googly"
"tossed up higher, driven to mid-off"
"again, on the back foot to a length ball. Quicker too, hurriedly jams his bat down to defend his off stump"
"slower now, he can go back to this despite the length being similar. Googly, but the slowness allows him to pick it off the pitch and whip it from outside off down to long-on"
"short, a bit of width, slapped to deep point"
"back of a length outside off, steps back and across and works it to midwicket"
"bouncer rising high over off stump, Hope ducks just in case. Signalled wide, and that went a long way over the batsman's head"
"back of a length close to off stump, defended to short extra-cover"
"another bouncer, this one gets up to just around neck high, over middle stump. Keeps his eye on it and ducks"
"full and wide, doesn't really get his front leg across - he starts from a pretty open stance too - so he has to reach out to drive this. Slices it towards third man"
"back of a length on off stump, nicely played. Let that come on and dabbed with soft hands to the right of Jadeja at backward point"
"tossed up wide of off, dips a little on Chase. His attempted flat-bat drive through cover ends up rolling gently to mid-off"
"whoa, that's a replay of his third-ODI dismissal! Googly, tossed up beautifully outside leg. Chase gets his feet out of the way to try and whip into the leg side, misses completely since he was playing for the stock ball, and the ball turns past his outside edge and clips the top of middle stump. Ball then ricochets and hits Dhoni's helmet grille"
"tossed up outside off, defended to short extra-cover"
"nicely bowled, some drift away from the right-hander again and drops onto a length that makes him stretch to defend into the covers"
"fuller now, outside off again, defended to the left of short extra-cover"
"googly now, flatter, pitching on leg stump - line was a bit of a giveaway, maybe - and he goes back to defend into the off side"
"back of a length close to off stump, lets it come on and dabs to the left of backward point, who gets a hand to the ball with a dive"
"length ball close to off stump, pushed towards point from the crease"
"full, a bit of width, driven to deep point"
"back of a length outside off, watches it well and dabs to third man"
"bouncer, angling in and rising over leg stump. Mohammed steps across and dips his left shoulder under the ball"
"full on off stump, defended towards mid-on"
"short on leg stump, pulled to deep midwicket"
"back of a length, pitching on middle. Goes back, maybe looking for the punch down the ground initially. Turns sharper than he expects and he has to adjust and whip to midwicket"
"a touch too short, and he pounces on it. Back in a flash, makes some room, and slaps to the right of extra-cover"
"again a touch short, this time it's a little quicker and he chops it downwards, into the ground, to the left of Kohli at short extra"
"tossed up full outside leg, clipped to deep midwicket"
"wrong'un, pitching fairly full on middle and leg. Seems to pick it, defends inside-out to short extra"
"shortish on off stump, goes back and across and pulls to deep square leg"
"back of a length, angling towards leg stump, worked away to fine leg"
"Ouch. Bouncer just outside off. Hope steps back and across and looks to pull, but the ball stopped on the pitch a little - Pandya rolled his fingers over at release - and he's through his shot too early. Ball smacks into the grille of his helmet. He calls for a replacement"
bangs it in again. This time it's angling in and Hope ducks under it. Bounces well over head height
"full, wide of off. Gets a good stride forward for a checked drive to the sweeper"
"length ball on off stump, gets forward for a push through cover point"
"cross-seam ball, back of a length outside off. Hope looks to open his bat face and steer it down to third man, but the ball straightens just a touch, with just a hint of extra bounce, and Dhoni falls to his right to pouch the nick"
"good length, slight tail back in towards off stump and he finds the inside edge before he finds the pad"
"bouncer, bit too short, comfortably ducked"
"another inside edge. Shami was hitting the corridor in his first spell, now he's looking for some reverse. This moves in slightly off the pitch from a length. He's playing in front of his body and hits another one onto pad"
"<b>in the air</b> but no danger. A back-of-the-hand slower ball this time, tossed up nice and full outside off. Gets him to go for the cover drive, with barely any control"
"good length, angled into the pads, clipped to deep square leg's left"
"back of a length at middle stump, dropped behind square on the leg side off the back foot"
"bouncer angled in at his chest, but he has several hundred feet of height to negotiate this. Goes for the hook, gloves it fine"
"full and angled into the corridor, driven firmly on the up to mid-off"
"full and fast, middle stump, but strategically pushed with enough mistiming to steal a single from mid-on"
"good length, wide outside off stump. Wafts at it away from the body, beaten. Yet another cross-seam delivery"
"cross-seamer. Full and wide outside off stump, sliced off the front foot to sweeper's left"
"good length at off stump, looks to steal a single with the forward push, but Kohli has been faultless there today"
"offcutter in the channel, good length, run down to third man"
"full at leg stump, short stride in to poke this to mid-on for another quick run"
"slower ball, short and wide outside off stump. Slashes at it, gets a thick outside edge. It lands well in front of Karthik at third man...he watches it into his hands"
"short and wide outside off stump, slapped on the up in front of square. Kuldeep does well at sweeper cover to run to his right. Has it covered for a long time but puts in the dive a bit too late. In the end, it's a lot of pushing and dodging and acrobatics as he tumbles at the ropes. A matter of frames...and it's in his favour"
"full delivery aimed for leg stump, toe-ended drive to mid-on"
"low full toss, bit of inswing, but it's on the pads. He flicks...and gets it past midwicket, but only after he gets a hand on it"
"<b>caught down the leg side</b> and it's given. A back of a length ball, angled down leg side. Not a particularly fast ball either. Just an unlucky dismissal as he tries to tickle this fine"
"good length, wide outside off stump. Doesn't chase it"
"length ball in the corridor, dabbed down to third man"
"back of a length, off stump, drops it towards backward point...and his partner has the cheek to consider a run. Back you go, says Jadeja, with a bullet throw"
"good length at off stump, solidly defended into the off side"
"length, off stump, walks into the forward push and gets it out to sweeper cover"
"short and wide outside off stump, emphatically cut to sweeper for one"
"back of a length at off stump, spins in and bounces, pushed to midwicket"
"a stunning delivery that slips through the gate from a good length. Dhoni appeals and caught behind is given. Powell has reviewed it. Snicko shows there's no edge...but his leg is in front of middle stump as the ball brushes it. He could be out lbw here...oh, nope. That's spinning over and past leg stump. The review works out in the end. A nice loopy delivery from Kudleep, not picked at all as he nearly fell over trying to drive into the off side"
"wrong'un, tossed right up at off stump, driven to mid-off"
"<b>nearly defends back onto his stumps.</b> Playing him off the pitch without a clue right now, and it's forcing him to play late. This time, he goes back to the length ball and nearly plays on"
wrong'un. length at off stump. He's right forward this time and gets an outside edge that lands short of first slip
"good length down leg, mistimed flick and an aimless trek down the track. Sent back promptly"
"full and down leg side, no bat this time"
"length outside off stump, pushed out to sweeper cover off the front foot"
"full and tailing into the pads, clipped out to deep square leg"
"back of a length in the corridor, shapes to pull, adjusts to bunt it behind point"
"<b>good catch.</b> Only Jadeja can make running backwards look so simple. This is back of a length and climbing in he corridor. He swipes across the line to try and pick the midwicket boundary but it's a leading edge that lobs up and swerves awkwardly as cover, backward point and sweeper cover all show interest. Jadeja's call is the loudest and they let him be. Adjusts his steps to perfection, shimmies slightly to his left after running back and holds on"
"short ball at the ribs, leaps off the ground and gloves this to Dhoni's left"
"good length at off stump, forward defence to extra cover"
"a straightforward one at backward point this time. Short and wide, and honestly, an average delivery. In the slot for the cut, but the mind doesn't always back you up at this level. Tentative in his approach and he hits it straight to Jadeja"
"angled across off stump, back of a length, left alone"
"good length, angled in at off stump from around the wicket, no-feet defence"
"full at off stump, pushed into the off side. Jadeja swoops, Jadeja throws, and misses at the non-strikers"
"short ball outside off, stands tall and regal as he looks to pull this, but it's anti-climactic. Rolls out to midwicket off the bottom of the bat"
"full and swinging away towards off stump, poked into the covers"
"back of a length at off stump, backs away to find a single through third man, hits it straight to backward point"
"<b>edged</b> but no slip. Expansive drive on the up to this length ball. It's angled across him and draws the edge, work for third man"
"short ball at the rib cage, gets inside the line, lifts his front leg across, tucks it to fine leg"
"good length at off stump, solidly defended into the covers"
"good length, angled across off stump, opens the face and guides it to third man"
"back of a length outside off stump, uses his wrists to push the back foot defence into the leg side"
"wrong'un, good length at off stump, picked and defended off the front foot"
"tossed up at middle stump, gets low and sweeps it to deep square leg's right"
"good length, middle stump, paddle swept to deep square's left this time"
"good length outside off stump, left alone"
"wrong'un, good length, middle stump. Forward defence"
"bouncer at middle stump, defended off the back foot"
"offcutter at leg stump, uppishly flicked out to deep square leg"
"bouncer at middle stump, controlled hook shot to deep square leg"
"back of a length of middle stump, defended off the back foot"
"nails the yorker at middle stump, but Bishoo is resolute in defence"
"bouncer at middle stump, startles him slightly, but he fends it into the leg side for a single"
"full and drifted into the pads, hits them too"
"short and wide, hangs back and punches it to sweeper cover"
"wrong'un, too short, thick outside edge on the cut"
"tossed up, full toss outside off stump. Nurses eyes light up but feet stiffen. Thrusts his bat at it, but it's only one to sweeper cover"
"length at middle stump, flicks against the turn for a lob towards long-on"
"back of a length outside off stump, defended into the off side off the back foot"
"good shot, but only one. Anticipates the full one on the stump, backs away and drives with the full face. Mid-off dives to his left to stop it"
"slower bouncer, picked well, but there's no pace for that hook to go the distance. Lands well in front of deep square leg"
"ding ding ding. Bishoo has invented a new shot. Backs away, and looks to reverse-hook this bouncer. But as with most batting inventions from lower order batsmen, this yields nothing"
high elbow this time. Drives this overpitched ball to long-off
rolls his fingers on another bouncer. It squeezes through from under this attempted pull
"inswinging yorker at off stump, dug out and back to the bowler. Can't do much else"
"short ball in the mid-riff, gets the front leg out of the way and pulls to deep square"
"<b>top edge, helmet grille, diving fast bowler</b> and Nurse is done. Length ball hurries him as he stays put in the crease and looks to whip across the line. Hits the back of the bat, smashes the grille and lobs up to Umesh's right. He dives across the pitch and gets his third"
"bouncer, too short, too wide down the leg side"
"back of a length at middle stump, dropped in front of midwicket off the back foot"
"offcutter, grips the pitch and climbs as he plays the back foot defence. Forces him to take the bottom hand off"
"another steep offcutter, this one lifts from a length and goes over his attempted pull shot"
"slower ball, short and wide outside off, lifted over point with a check-cut, two more"
"good length outside off stump, opens the face and pushes it to point off the front foot. Wild throws comes in at the non-strikers...long-on has to run across but they won't take the overthrow"
"short ball at middle stump, backs away and is beaten as he looks to nudge this through the slip region"
"short one at middle stump, fends it awkwardly, and aerially, back down the pitch"
"<b>too easy for Jadeja.</b> Good length at off stump, opens the face and hits it straight to point. He would've struggled on the best of days, but today he hesitated before the run as well. Jadeja knows this. Gathers the ball, balances himself, hops two steps and takes down the middle stump at the non-strikers end"
"bouncer. No clue. Looks to hook, is very late on it, but the top edge falls well in front of Dhoni"
"good length outside off stump, driven on the up to extra cover"
"yorker at leg stump, toe-poked, cricket style of course. It dribbles past his partner, the No. 10 batsman, but Mr. 11 refuses the very simple run. Alzarri is an angry man"
"good length at off stump, opens the face and squeezes it square on the off side"
"back of a length at middle stump. Backs away and gets it in the slot for the slog, but it's an inside edge onto boot"
"backs away and gets another one in his range. But this is a slower ball, so the timing doesn't come. Slices it in the end, gets it over mid-off and returns for the second"
"low full toss, swinging in for leg stump, slogs across the line. Gets it to midwicket off the bottom of the bat"
"good length outside off stump, heaves across the line and gets a leading edge to third man's right...wants to come back for the second run which is there for the taking. Should be a second even if it isn't there for the taking. But this time, Alzarri says no. And another argument ensues between the bowlers as they walk off the field. Yeesh..."
"starts with a short one just outside off, Rahane leans back and stabs firmly to backward point"
"full outside off, driven to the right of mid-off, where Holder makes a diving stop"
"back of a length on off stump, Rahane steps across smartly and places that clip beautifully, beating the square leg fielder diving to his right. By the time fine leg comes around to stop it, he's already on his way back for a second"
"ohh, nearly an early breakthrough. Quick short ball, rising over Rahane's right shoulder. Takes on the hook, top-edges it, and the fielder at fine leg, Chase, doesn't come in quickly enough for it to be a chance. Bounces some six feet in front of him"
"back of a length outside off, defended towards cover point"
"short and down the leg side, pulled around to long leg"
"length ball pitching a fair way outside off and slanting further away, left alone"
"shortish, angling down leg. Dhawan misses the flick off the hip and there's a loud, hopeful appeal for caught behind. Was close to his gloves but not close enough"
"shortish outside off, chopped down to gully"
"shot. That isn't a half-volley, but it's wide enough, and Dhawan gets a nice stride out to drive to the left of cover point"
"back of a length close to off stump, doesn't quite come on to the bat as Rahane looks for the push into the covers. Inside-edge, into the pad and then rolls into the point region"
"short, just a bit of width, cut away crisply to the left of gully, down to third man"
"back of a length outside off, left alone"
"gone, soft dismissal. That's full on leg stump, and Dhawan looks to flick but fails to keep it down and lobs up a simple catch to wide mid-on"
"length ball, fifth-stump line. Kohli takes a walk right across his stumps and defends to short extra-cover"
"back of a length on off stump, gets back and across and clips to square leg"
"length ball, sixth-stump line, left alone"
"back of a length on middle stump, tucked down to square leg"
"back of a length again, hits the deck hard in the fourth-stump channel. Kohli's defensive shot rolls to square leg off the inside half of the bat"
"full, angling into off stump, driven smoothly to mid-on"
"shortish outside off, stops on Rahane slightly. His back-foot slap ends up going straighter than he perhaps wanted, over cover, but well wide of the man at short extra"
"back of a length on off stump, defended back to the bowler"
"appeal for lbw as Holder seams this in from just outside off stump and Rahane, hanging back, ends up playing outside the line while trying to work it into the leg side. Too short to get an lbw decision, though - was probably going over the stumps and also missing leg"
"fullish, just outside off, Rahane is nicely forward for the checked drive to mid-off"
"short, just outside off, Rahane misses the pull - was through his shot too early"
"length ball on middle stump, Kohli clips it away through midwicket"
"back of a length on off stump, punched to mid-off"
"short, angling into middle and leg, and Rahane is in position in a flash, back leg across and open at the hips, to pull it over square leg"
"and again. This one's short and angling into off stump, and Rahane hooks it around to the left of the man at long leg"
"that's a good ball, a rising short ball on off stump. Goes back to punch and it climbs and hits him on the glove"
"length ball, fourth-stump channel, Rahane gets his head nicely over the ball and defends towards point"
"length ball, fifth-stump line, left alone"
"back of a length on off stump, defended to mid-on"
"good bouncer, just outside off, Kohli looks to hook and it climbs over his outside edge"
"ooh, stops on him slightly. Shortish outside off, Kohli looks to punch with firm hands, and the inside-edge hits his back pad"
"back of a length, angling into off stump, punched back down the pitch, to the bowler's right"
"for the second match in a row, Holder has dismissed Kohli after troubling him with the short ball. Good bouncer, just outside off, similar to the one that he missed a few balls ago. This time he gets a top-edge that goes straight up, three storeys up, and Shai Hope takes a few steps forward and wraps his gloves around it"
"full outside off and that's well played by Rahane, sinks down on his back knee and plays late, opening his bat face, to drive through point"
"length ball outside off, left alone"
"back of a length close to off stump, defended into the covers"
"whoops. Holder at mid-off, gets down on one knee to field this uppish drive from Rahane - the ball stopped on him and he checked his shot - and it bounced a few feet in front of him and slipped through his legs"
"<b>dropped!</b> West Indies really need to hold these. Length ball angling into the pads, and Rahane flicks uppishly, straight to square leg at shoulder height, and the ball slips out of his grasp before he can wrap his fingers around it. You'd call that a dolly. Jason Mohammed is the fielder"
"ooh, good ball. On a good length, seaming back in from outside off. Karthik stays on the back foot, looks to defend slightly away from his body and the inside edge cannons into his pads"
"full on middle and off, defended to mid-off"
"full, close to off stump, driven to mid-off"
"length ball angling into off stump. Rahane is a touch late getting forward, still on his heel when he looks to push into the covers. The ball hits his inside edge and rolls down to fine leg"
"back of a length, fairly wide of off, left alone"
"short outside off, left alone"
"back of a length, sixth-stump line, left alone"
"full outside off, driven crisply but mid-off dives right and makes an excellent stop. Holder makes partial amends for his misfield from Joseph's last over"
"shortish outside off, stabbed to backward point"
"good ball, full and angling into off and middle from wide of the crease. Defended into the covers"
"full, a lot of width, and Rahane drives with a high left elbow. Looked great, but he hit it straight to cover"
"back of a length, a bit of inward movement from outside off, defended towards backward point"
"back of a length, close to off stump, defended with soft hands into the gully region"
"back of a length, fairly close to off stump, left alone"
"back of a length, slightly wider, Karthik leaves again"
"digs it in short, angles it in and Karthik gets his hands high up to defend - hits him on the glove but he plays close to his body and the ball drops down softly next to his feet"
"short outside off, keeps low and goes under Karthik's attempted pull"
"back of a length, fourth-stump line, defended into the point region"
"back of a length a fair way outside off, left alone"
"full on middle and leg, Rahane flicks into his pad. Thick"
