"full ball, on middle stump, almost goes through the gae, gets the inner part of the bat and goes to leg side"
"tossed up, came down the wicket and pushed to long-on"
"on middle and leg stump, swept away to deep square leg"
"short in length, on leg stump, turned to fine leg"
"tossed up, outside off, pushed to cover"
"arm ball, came down the wicket and pushed back to bowler"
"short in length, outside off, cuts to off side"
full and down the leg side through to keeper for a wide
"short ball, on leg stump, pulled away to deep midwicket for couple of runs"
"full ball, outside off, driven to point"
"good length ball, on leg stump, turned to deep midwicket"
"short in length, outside off tries to push and gets beaten"
"full ball, outside off, driven to deep cover"
"short in length, outside off, cuts to deep point"
"tossed up, went for the sweep, top edge and Shaheen diving effort at short third man in vain"
"arm ball, hits the pad and missing leg"
"tossed up, on middle and leg stump, swept away to deep midwicket fence for four"
"again on middle and leg stump, swept away to deep midwicket and this time makes a sliding save"
"low full toss on of off stump, Williams played a reverse sweep down to third man fence for four"
"on middle and leg stump, swept away to deep square leg"
"short in length, outside off, goes for the pull, bottom edge on the bounce to keeper"
"full ball, on target, driven to mid-off"
"good length ball, on off stump, angles it to gully"
"Williams brings up his fifty in style! Short ball, picks up the length early and pulls it away to deep midwicket fence for four"
"full ball, on off stump, drives to extra cover, Iftikhar makes a diving save but fails to hit the stumps at batting end"
"full ball, on off stump, driven to mid-off"
"short in length, outside off, driven to extra cover for couple"
"short in length, outside off, goes back and punches to cover"
"again tossed up, on off stump, pushed to deep cover for a single"
Shot! Madhevere comes down the wicket and drives in the gap between covers and extra cover
"tossed up, went back and played withe spin to deep square leg"
"arm ball, on off stump, goes back and pushes to extra cover"
"slower ball, outside off, angles it to third man for a single"
"good length ball, on off stump, pushed to cover"
"short in length, on off stump, punches to cover"
"good length ball, on off stump, angles it down to third man for a single"
"good length ball, on middle and leg stump, turned to square leg for  single"
"short ball, on off stump, goes back and pushes to mid-on"
"Tossed up, came down the wicket and lofted it high over mid-off, Hasnain chased it hard tried to flick the ball inside the rope and replsy shows that ball toched the rope"
"Back to back boundaries for Madhevere. Slightly short in length, stays back in the crease and pulls it away to deep midwicket fence for four"
"arm ball, on off stump, pushes to off side"
"on middle and leg stump, pulls it down to fine leg"
"Another poor delivery, short in length, Williams goes back and pulls it to deep midwicket fence for four"
"arm ball, on off tump, goes back and punches to cover"
"full ball, outside off, driven to cover for  single"
"short ball, well over batsman head and called a wide"
"on leg stump, turned to fine leg for a single"
"short in length, goes back and defends to off side"
"short in length, on leg stump, Madhevere flicks it away down to fine leg fence for four"
"good length ball, on off stump, angles it to gully"
"full ball, on middle stump, defended back to bowler"
"full ball, outside off, goes for the drive, thick inside edge, misses the stumps and beats the fine leg fielder for four"
"short ball, pulled away to deep square leg"
"short and wide outside off, cuts to deep point"
"short in length, outside off, tries to cut and misses it"
"good length ball, on middle and leg stump, turned to short midwicke"
"full ball, on off stump, drives to mid-off for a quick single"
"full ball, on middle stump, pushes to leg side for a single"
"full ball, on off stump, punches to cover"
"short ball, ducks underneath it"
"good length ball, on leg stump. flicked away to long leg"
"good length ball, on off stump, defends to gully"
"Short ball, on middle and leg stump, goes for the pull shot, gets beaten by pace, top edge and Hasnain runs across and take a good diving catch to complete his 5-wkt haul"
"good length ball, on off stump, pushes to off side"
