"124kph, swinging way down the leg side and called wide"
pull shot over deep midwicket and into the crowd! It's the short boundary and he sits back and whacks it flat over the fence
<strong>Two in a row over midwicket!</strong> He didn't nail this pull shot but he got enough of it to carry Jofra Archer on the deep midwicket rope
"full outside off, he whips it from way wide of off to long on"
"74kph, slower on off, he sweeps behind square to the man in the deep"
"shorter length over off, he gives room to cut and misses"
"142kph, into leg stump, he gets an inside edge that goes between the legs and flies fine of fine leg!"
"shorter on off, he's back and working this into the leg side"
"129kph, slower ball, he moves around, backing away, it follows him, he mistimes a hoick along the ground through midwicket"
"143kph, fuller outside off, he runs this off the front foot down to third man"
"144kph, shorter over middle, he's backs away and tries to slap over point but it <strong>beaten</strong> by some extra bounce"
"110kph, full and wide and plays a glorious square drive through cover-point! Excellent shot"
112kph short and wide and he cuts this behind point and Short can't cut it off!
"104kph, slower ball outside off, he mistimes this back to the bowler"
"120kph, full outside off, he whips with the bottom hand to deep midwicket"
"<strong>dropped!</strong> It was a wide full toss, he square drives in the air to backward point, Milenko diving to his right put it down! It got to him quicker than expected"
"<strong>Cracked flat over midwicket!</strong> What a shot! It was full outside off, he steps across it flicks it with the bottom hand flat over midwicket!"
"drifting down leg, he tucks it wide of short fine leg"
"87kph, looped up on middle, he backs away and miscues trying to hit over the off side, he drags it to long on"
"shorter outside off, he cuts hard to deep cover-point"
"<strong>Switch hit over cover and it sails into the stands! Are you kidding!</strong> Maxwell is a freak. He switches his stance and hands, turns around and hits it left handed over cover and they've lost the ball because it's gone out of the ground!"
"<strong>this is inside out right handed, conventional lofted drive over the cover boundary and it goes out of the ground again!</strong> Another lost ball! He's targeting the short side with ridiculous skill and execution. He gave himself room this time and flushed it"
"101kph, low full toss, he shaped to switch hit but it was a baulk, he slaps it off the bottom of the bat to cover and they run one"
"full outside off, he slices it off the end of the bat wide of third man and they run a couple"
"119kph, slower ball angled down leg, he steps inside and tries to launch it over fine leg, and misses but it's a wide"
"139kph, fired too wide of off this time. This is the pressure of Maxwell's ball striking"
"137kph, full outside off, tailing in, he drags a drive to long on"
"135kph, speared into leg, he cleared the front pad but it hit his front foot outside leg and rolls away for a leg bye"
"full wide yorker, perfectly bowled and beats the bat as he jams down"
"138kph, full toss outside off, he slaps a drive to deep cover-point"
"139kph, short and wide, he cuts down to wide third man"
"92kph, top spinner into leg stump, clipped to deep midwicket"
"<strong>Huge appeal for LBW</strong>, not out! He tried to reverse sweep and missed. That was plumb! Pitched in line and was hitting middle and leg. Not a good decision."
"<strong>bowled him!</strong> Slid through quicker and flatter, he gave room to slice behind point but it beat him for pace and crashed into off stump! Big wicket for the Hurricanes"
"leg break on off, he works neatly off the front foot infront of square leg, and they run two"
"wrong un, he's back and trying to read it off the pitch, he defends behind point and they pinch one"
"97kph, pushed through and he slaps it to cover"
"full into leg stump, he's back and clipping this through square leg"
"135kph, short ball, he's hit on the hand trying to pull over backward square. That was nasty"
"143kph, tailing into off, he clears the front leg and slaps it to mid off in the circle"
"<strong>LBW! Plumb this time!</strong> This was fired full and straight, he went back and across to try and whip behind square, was beaten for pace and misjudged the length, was hit plumb in front and the umpire had no hesitation in giving him out."
"123kph, shorter outside off, he forces off the back foot to deep point"
"144kph, shorter outside off, he late cuts towards to wide third man"
"attempted paddle reverse sweep, he's hit on the pad, an appeal but not out. It's outside the line"
"shorter outside off, he mistimes a cut to cover-point"
"91kph, leg break into leg stump, just turned wide of short fine leg"
<strong>lofted just short of long off</strong> and Meredith does well to knock it down
"top spinner, he tries to turn to leg, gets a leading edge to cover"
"shorter on off, he punches off the back foot to mid off"
"140kph, wide full toss, he tries slash this behind point but is beaten for pace"
"142kph, <strong>beaten again</strong> outside off, trying to launch this inside out over cover. It just misses off stump"
"122kph, slower ball, off cutter, he's back and defending back to the bowler"
"140kph, <strong>play and miss again</strong> shorter and wider outside off, he tries to upper cut and misses"
"<strong>french cut, under edge,</strong> past off stump, Wade can't glove it and it runs to the rope! Wade is annoyed. He could have stopped that"
"141kph, sliced high <strong>in the air</strong> off the outside edge but falls well short of deep point"
"<strong>LBW appeal</strong> trying to heave with the spin over midwicket, but it's not out, it's missing leg and they get a leg bye"
<strong>lofted inside out over cover-point and it sails on the breeze onto the hill!</strong> So hard to defend that side. He gave himself room and lifted it high inside out onto the concourse on the hill!
"backs away, he fires to leg stump, Stoinis slaps this straight to cover"
"93kph, leg break on off, he square drives to deep point"
<strong>skips down the track and whips this hard into the gap at square leg!</strong> Amazing timing. That's the long boundary and he picked the gap!
"<strong>caught at deep backward square!</strong> Leg break, tossed up on leg, he tried to slog sweep with the spin, he took one hand off the bat and dragged it behind square, Faulkner watched it carefully, it dipped on him but he held on falling forward"
"140kph, full outside off, he tries to drag across the line to the short boundary and misses. Wade appeals for caught behind but it's not out"
"140kph, full outside, he drags this down to deep midwicket along the ground"
"123kph, slower ball, good length, he pushes this to cover-point for a single"
"<strong>hooked onto the hill!</strong> This was a high bouncer outside off, he rocked back and swivelled on a great hook shot and deposited it way back onto the hill"
"full outside off, he drags to deep midwicket but they only get one"
"139kph, bouncer outside off, and he backed away and was not in a position to hit it. Well bowled"
"82kph, drifting into leg, he whips this easily to deep midwicket"
"91kph, drifting in and sliding on, he defends from the crease"
shorter on the back foot he forces down the ground to long on
"shorter outside off, 93kph, he punches off the back foot to deep cover"
"shorter on off, he's back and clipping this through midwicket to the sweeper"
"fuller, 90kph, drifting into middle, he stays back and tucks it around the corner to backward square"
<strong>magnificent cover drive on the up!</strong> Good length outside off and he drives on the up through over-point with ease!
"<strong>beaten</strong>, trying to force off the back foot to a 131kph, back of a length ball that nipped away"
"125kph, into leg stump, he's back and working this off the hip through square leg"
drops short and he <strong>hammers a pull shot</strong> infront of square and it goes one bounce over the rope!
"135kph, good length angled into off stump, he tucks this to midwicket"
"119kph, slower ball, shorter, he tries to short arm jab a pull shot over midwicket and is beaten by the slower pace"
"short outside off, he cuts hard through point and forces the sweeper to his right and gets two"
"darted into middle and leg, he's back and tucking through midwicket"
"94kph, pushed through outside off, he cuts hard to deep point"
"89kph, slower into leg stump, he pushes this gently to midwicket"
"89kph, drifting down leg, Dunk can't glove it, Maxwell yelled catch it, but it's called wide"
"lofted beautifully inside out over mid off! Just a fraction full, he stays still in the crease and lofts through the line and clears the man in the circle"
shorter and he's back and punching to long on
"129kph, pushed way down the leg side for a wide"
"123kph, length ball, he clears the right leg and flat bats it back to the bowler who does well to field it"
"100kph slower ball, he mistimes a drive to wide mid on"
"126kph, short and wide, he mistimes a cut to point"
"128kph, he backs away to a length ball over off, he tries to slap this over point but misses"
"101kph, slower ball, he tries to launch down the ground but drags it along the ground to deep midwicket"
"105kph, slower ball, but Wade spots it, waits and cuts nicely through point, placing it well and it races to the rope!"
full and wide and he square drives powerfully behind point! This was hammered and no one stood a chance to stop it
"129kph, short and wide, he cuts and gets an under edged fine of short third man who is inside the circle!"
"slower ball full toss <strong>dispatched over deep midwicket!</strong> This is a gift to Short. He launched, didn't nail it but didn't need to to the small boundary!"
"127kph, cut backward of point! <strong>Another boundary.</strong> Short and angled across and he picks the gap beautifully"
"full outside off, he pushes straight of mid off and they take an easy one"
"133kph, full outside off, he drives nicely out to deep point"
"119kph, short ball, got big him, he tries to pull, comes off the slice and balloons safely into the off side"
"123kph, shorter length outside off, he tries to lean back and late cut but <strong>misses</strong>"
"135kph, good length, he stands still and hammers a drive wide of mid off and Bravo makes a crucial diving save!"
"114kph, slower ball dragged down the leg side for a wide"
"<strong>caught behind!</strong> An extraordinary dismissal! Cross seam high bouncer, he went to pull and then tried to bail out of the shot, but left the bat up, it just touched the edge and flew high above Dunk and he reached up with the right hand and plucked it! What a breakthrough"
"<strong>nearly a run out!</strong> Doolan just tucked it to Stoinis at midwicket and called yes, Wade was slow to respond, Stoinis had all the time in the world to steady and hit at the striker's end and he missed! Wade had given up."
"shorter outside off, he places a pull shot forward of square leg and they run well to get two"
"84kph leg break outside off, he punches off the back foot to deep cover-point"
"83kph, wrong un, shorter outside off, he punches to long off"
"<strong>Bowled him!</strong> Perfect wrong un! Did him all ends up! He pitched this outside off, Doolan leaned forward to drive not picking it, it spun back through the gate and crashed into off! He charges away to celebrate and so does Nepal!!"
"84kph, tossed up leg break, he reaches out and drives to deep cover"
"85kph, wrong un, outside off, he reaches out and paddle sweeps fine for a single"
"85kph, wrong un, he goes back on his stumps and works this through midwicket from right in front of the stumps"
"90kph, leg break on off, he's forward and working this against the turn through midwicket"
"89kph full toss, he reverse sweeps straight to backward point"
"89kph outside leg, he reverse sweeps and squeezes this fine off the bottom edge to short third man"
tucked off the back foot through forward square
"85kph, tossed up on off, he drives to long off"
"95kph, pushed through on off, he clips this to wide long on"
"83kph, leg break outside off, he works it against the turn to midwicket"
"88kph leg break on middle, reverse sweeps to backward point"
"89kph, shorter length, he premeditates a reverse sweep and mistimes to backward point"
"88kph, angled into leg stump, he tucks this behind square to the man in the deep"
"85kph, dragged down leg and he has to stretch to reach it but paddle sweeps it very fine and cleverly for four!"
"86kph, on middle, he paddle sweeps again and fine leg is wide, they run well for a couple"
drifting down leg and he sweeps fine of short fine! Just drifting into his arc and he was able to work it fine with a full swing
"shorter length, he punches down to long on"
"looped up at 84kph, he drives powerfully past cover and it races to the short boundary! Great shot with immense power"
"on leg stump, he defends this to the circle at mid on and immediately calls two, McDermott races back and beats the throw"
"89kph leg break, he pushes a drive to long on"
"90kph, fired into leg, he tries to work to the onside, gets and outside edge that runs fine of third man"
<strong>late cut past short third man!</strong> 129kph just a touch short and wide and Wade waits and places this perfectly past third man who is up
"128kph, short and wide, he cuts hard to deep point"
"128kph, shorter on off, he's back and tucking this to square midwicket"
"135kph, good length on off, he whips this beautifully past midwicket, with supreme timing, and they race back for three"
"135kph, short ball, he miscues a pull shot, but it falls safe well short of deep square"
"139kph, good length, fourth stump line, he defends to mid on"
"slower ball, 102kph, dragged down the leg side"
"127kph, short ball wide of off, he gets a bottom edge cutting, it bounces short of Dunk and he can't glove it"
"129kph, good length but too wide of off stump and correctly called wide"
"130kph, full and tailing into off, he drives down to long on"
"128kph, bouncer, Wade stands up and cracks a pull shot straight to deep midwicket, only one"
"130kph, full and wide, he drives nicely to deep cover-point"
"102kph, slower ball, full toss on leg, he clips this behind square to deep backward square"
"131kph, full, almost yorker length outside off, he squeezes it out to cover"
"110kph, good length slower ball, he defends to point"
slower ball picked by Wade <strong>and he smashes this over long on into the stands!</strong> What a way to bring up <strong>50!</strong> Super stroke
"132kph, good length into the pads, he tries to swing it away but misses and is struck on the pad"
"111kph, slower ball, outside off, he drives to cover"
"yorker tailing in, he jams it down onto the crease, Wade wanted one but McDermott calls no"
"116kph, slower ball, he tries to swing it away on the leg side but is through it too early and gets hit on the body and they get a leg bye"
"84kph, wrong un outside off, he leaves this alone"
"<strong>caught at short fine leg!</strong> Good length leg break on off, Wade goes to sweep, it bounces a touch more than expected, he gets a top edge and it flies to Zampa at short fine and he takes an easy catch! Sandeep does it again"
"87kph, shorter leg break, he's back and defending to midwicket and no one is in the circle"
"86kph, shorter leg break on leg, he punches off the back foot to deep midwicket"
"<strong>short and hammered over deep square leg!</strong> It was dragged down, he saw the length, went back quickly and launches it over the deep backward square boundary"
"89kph, leg break, good length on off, he defends to midwicket"
"85kph, shorter leg break, he's back and forcing to cover"
"lovely lap sweep from outside off, ramping it to the vacant short fine and deep backward square comes around"
"92kph, shorter outside off, he's punching off the back foot to long off"
"wrong un, he steps inside to ramp it, just gets a touch on it past the stumps and the keeper for a couple"
reverse sweeps from outside off to short third man
"92kph, drifting into leg stump, he clips this beautifully through midwicket and they run superbly"
"<strong>LBW!</strong> Another one claimed by the wrong un! It pitched outside off, he stretched forward to defend, it spun back past the inside edge and hit him on the front pad, was it in line? Was it going over? The umpire thought so! Sandeep celebrates again!"
"leg break outside off, pushed to cover-point"
"shorter outside off, he's back and punching to long on"
"wrong un, he's back and working this behind square on the leg side"
"shorter length, he's back and pulling behind square"
"84kph, wrong un, he's back and working to midwicket"
"pushed through on leg stump, he works this to the gap at midwicket"
"86kph, full outside off, he square drives to deep point"
"drifting into leg stump, he whips this through square midwicket"
"92kph, tossed up and drifting in, he drives to long on"
skips down the track and drives back to the bowler who does well to knock it down
"88kph, tossed up and driven hard to long off"
full toss angled down leg and he clips this easily between two men behind square on the leg side! That was a gift and the pressure is released
"129kph, shorter outside off, he tries to cut and misses playing over the top of it"
"100kph, slower ball, he punches off the back foot down to long on"
"131kph, fired wide of off, too wide, outside the guidelines and it's called"
"129kph, good length outside off, <strong>play and miss on the drive</strong>, Bravo appealed loudly for caught behind but the umpire wasn't interested"
"130kph, full outside off, he drives to deep point"
"<strong>dropped at long off for four!</strong> Larkin again! He dropped two in Canberra! He launched this down to long off, but didn't get it, Larkin running to his right on the rope, it bursts through his hands above his shoulders and falls behind him and bounces over the rope!"
"low full toss, 129kph, on off, he glides this off an open face to third man"
"<strong>hammered over cover into the crowd on the short side!</strong> He cleared the front leg, leaned back and lofted this through the line over the cover fence!"
"136kph, full toss, driven straight to mid off"
short ball pulled through midwicket and Hurricanes win!
