"back of a length, and bounces across du Plessis as he leaves"
"outside off, and he defends a length ball moving a touch away from him"
"fuller ball, and goes off the outside edge and runs away past Bumrah at short third man and runs away for four. Vijay may have been shaping to flick this, but the output is something he won't mind"
"goes back to cut a length ball towards point. Wants a single, but Watson sends him back"
"length, and he gets down on his haunches and sweeps this in the air towards long leg. One bounce four, and cleverly played, as he covered the turn"
plays a dab towards point with soft hands and runs through for a quick single
"length, comes back into Watson, who goes back and defends this towards cover"
"<strong>ugly hoick across the line, and taken at mid on by Jayant Yadav!</strong> Oh dear, what have you done, Watson? It is a little short of a length, and he goes back and tries to get this over midwicket. The ball stops a bit and takes the leading edge, and Yadav runs across behind his right shoulder to take a smart overhead catch. <b>Chennai lose three inside the Powerplay! How decisive could this be?</b>"
"flighted, outside off, and he drives this down to long off"
"tossed up, and he drives this gracefully through the cover region and picks up a single to the sweeper cover region"
"length, and turns away past the outside edge, as Rayudu presses forward to defend"
"length, and he is able to get this past Rohit Sharma at slip and takes it towards short third man"
"length, turn again, and Vijay is beaten with the turn and bounce on offer"
"length, and he drives this inside out, and Pollard gets to it, but cannot prevent the ball from escaping his grasp and trickling into the extra cover fence"
"length, and he dabs this towards point and picks up a single"
"short, and he goes back and taps this towards midwicket and sets off immediately for the single"
"length, and he presses forward and defends this. Was bowled a bit slower, and he picked it late, and checked his shot, just playing it towards point"
"slower ball, outside off, and he runs this down towards third man by opening the face of his blade"
"length, and he presses forward and drives this. Skews it a bit as it runs towards point"
"length, a bit of width, and he cuts this fiercely. Gets it past a sprawling point fielder, but they have backward point in place too"
"length ball, and he taps this towards point. Has to turn down the single as it travels quickly"
"length, goes back, and it turns across him and he plays it defensively back straight"
"length, and it turns away from him. Rayudu uses his wrists to maneouvre this towards cover and picks up a quick single"
"length, and he goes back and tries to play it towards midwicket, but Krunal stops it on his follow-through"
"length, and he defends this towards point"
"length ball, goes back and plays this towards deep midwicket"
"length, outside off, and he cuts it towards point and picks up a single"
"length, and he allows it to turn into him, plays it with soft hands towards cover and runs through for a quick single"
"fuller ball, and he drives this down to long on with force, but cannot elude the fieldsman in the deep"
uses his feet to get down the pitch and runs it down to long on
"length, and he goes back and cuts it towards point"
"sharp turn, back into him, and beats the edge, as well the top of off stump. <strong>Close!</strong>"
full and drifting down leg - possibly a slower cutter - leg-side wide
"fuller at the pads, Rayudu flicks a single through square leg"
"slower ball on middle and leg from around the wicket, Vijay bunts a single through the midwicket region"
"bouncer on leg stump from around the wicket, 133.5ks, aimed at the head of Rayudu. He yanks his head out of the way. Sails through to the keeper- called a no-ball as Malinga's front foot has strayed"
"seam-up, full ball on middle, Rayudu jumps across off and tickles it away fine of deep fine leg for four"
knocked away through square leg for one
"slower offcutter on middle, Vijay reads it, closes his face and works this 115.2ks ball square on the leg side for one"
"shorter on middle, yet another offcutter, Rayudu camps back and nudges a single through midwicket"
"Rayudu dashes down the track, Bumrah shortens his length, jabbed away to the left of cover. They hare across for a single. <strong>Rohit can't throw the stumps down and put Vijay in danger</strong>"
"121.4ks slower ball outside off, looks like an offutter, Vijay does not read the variation. He goes for a loft and winds up skewing it in the air, but away from the reach of wide long-on"
"wide of the crease, short and slanting into the body of Vijay, carefully fended to the leg side off the back foot"
"short and sharply angling into the body of Vijay, he flicks it to the right of midwicket. Rayudu eyes up a single, some <strong>miscommunication</strong>, but Rayudu undoes his steps in time"
"short on off, Vijay arches his back and runs a single to the right of the keeper. Rayudu scrambles for a single"
"back of a length and outside off, Rayudu scythes it away straight to point"
"...and Chahar has Vijay stumped. Turn, turn turn. Big turn! Tossed-up legbreak, <b>starts on leg stump and screams away outside off</b>. Vijay closes his face and aims it clip it away to the leg side. He can't touch it. Ripping turn for Chahar, it leaves Vijay overbalanced. De Kock breaks the bails off. A run-a-ball 26 from Vijay - Badrinath-esque innings on a very tough track"
"back of a length and breaks away outside off, Dhoni hangs back and jabs to point for one"
"flatter, shorter and breaks away outside off, forced off the back foot to sweeper cover"
"looks like a topspinner, kicks up outside off past the iffy prod of Dhoni"
"straighter one on off, Dhoni deploys a long stride and pushes the ball to cover"
"shorter legbreak outside off, Dhoni goes on the back foot and punches a single to sweeper cover"
"skids on with the arm, full, Dhoni aims a sweep... and does not make contact, falling over"
"looped up and outside off, Dhoni dashes down the track, gets closer to the pitch and launches it with the break over the long-on fielder. He's been using his feet early in the innings v spin this season. First six of the night"
"dropped short and outside off, Dhoni knows Jayant will drag his length back, scythed away to sweeper on the off side"
"flatter on middle and leg, tapped to the leg side off the back foot"
"darted flat on off, stabbed away to midwicket. Dhoni wants the single, Rayudu denies it, Dhoni hares back and makes it"
"pushed through on middle, 99ks, Rayudu now dares to step down the track. Smoked over midwicket. Just like that two sixes in five balls. CSK are off and running at Chepauk"
"full on off, Dhoni punches a single off the front foot to mid-off"
Rayudu shuffles across off and defensively bunts a length ball to short midwicket
"full and outside off, Rayudu goes after it. He doesn't middle it but just about lifts it over mid-off for four"
"full-toss, shoved on middle, Rayudu shovels it away to wide long-on"
"back of a length on middle and leg, there comes Dhoni's favourite back-foot jab through midwicket"
"slower ball, full and wide outside off, Rayudu reaches out for the ball and carves it away to sweeper cover"
"skidding into the pads, nudged behind square on the leg side"
"drifts in towards off, grips and turns past the outside edge. It wasn't too far away from brushing off stump"
Dhoni stretches out and pushes a full ball down to wide long-off
"tossed up and bounces on middle, Rayudu top-edges a sweep square of Malinga at short fine leg"
"flatter and quicker on middle, Rayudu searches for a reverse-paddle and manages an under-edge onto it"
"shorter on middle and leg, Rayudu sits back and forces it through midwicket"
"short, slow, spins away, Rayudu swats it down to long-on"
"looped up and spins away outside off, driven with the break to the off-side sweeper"
"back of a length and breaks away outside off, Rayudu goes deep in the crease and punches to long-off"
"short and wide outside off, Dhoni misses out on a scoring opportunity, slapping straight to cover"
"short, turn and bounce, Dhoni rides the bounce and guides to point"
"fuller and outside off, Dhoni can just jab it back to Chahar. He ends with <b>4-0-14-2</b>"
Rayudu welcomes him back with a boundary. Rayudu jumps across off even before Bumrah delivers this short offcutter. Hauls a pull away over midwicket for four. Boom
"mighty full and outside off, jammed down to long-off"
"full on middle again, Dhoni can't quite get underneath it. Pushed away to long-off"
"full-toss outside off, 140ks, reverse-paddled it away only as far as short third man"
"slower, short ball outside off, Dhoni reaches out for it and splices it in the air. Does not carry to Rohit diving forward from cover"
"fuller and outside off, Bumrah takes pace off again, Dhoni can't manufacture it for himself. Tugged away to wide long-on"
"<strong>middle-stump yorker</strong> from round the wicket, shovelled away to wide long-on"
"Rayudu jumps across off and aims a scoop. Very full on leg stump from Malinga, deflected away to de Kock diving away to his left"
"That's outta here! That's the <i>Thala</i> Chennai wants to see. Nice and full on off, in the slot, Dhoni clears his front leg and launches it hiiiiigh and far over midwicket. Bang. He has monstered it over the leg-side boundary"
"Bang! Bang! Dhoni smashes it over long-on now. Full on off from round the wicket again, Malinga misses his length. Dhoni tees off once again and Chepauk roars with him. Hoisted over long-on"
"full-toss on off, tapped back to Malinga, who dives to his right to stop the ball"
"full-toss on off, Dhoni swings and inside-edges it onto the pad, the ball dribbles away to cover"
"144.2ks full-toss on off or just outside off from Bumrah. Dhoni swings for the hills, his bat flies over his shoulder into the leg side. Spliced away in the air, Kishan runs back and catches it at point. Hold on, they're checking for a front-foot no-ball. No-ball it is. Bumrah's front foot has strayed. It's all happening in Chennai"
"banged in short on middle, head-high ball, Dhoni hooks it over square leg. Just one off the free-hit"
"Bumrah nails the yorker on leg stump, Dhoni can only jab it down to long-on for one"
"slower ball, back of a length and outside off, hard-to-hit length, hauled away to wide long-on"
"off-stump yorker, squirted away towards wide long-on. Dhoni hares back for the second"
"low full-toss on off, Dhoni carves it away towards deep point and ticks over the strike to Rayudu for the last ball"
"full-toss on middle, down the track and punched down to wide long-off"
"length, a hint of movement away and he punches this through covers. <strong>Superb timing on that!</strong>"
"length ball, straightens into him, and strikes him in front of the wickets as he shapes to flick. <strong>Given out!</strong> Will they review this? Yes he does? Hits him quite high, but remember it's been given out. No edge on it, and pitches in line, and just stays with umpire's call! <b>What a breakthrough...getting rid of the captain and a man who could have neutralised the threat of Chennai's spinners better than most others!</b>"
"length, outside off, and he defends"
"straighter, and he flicks this away towards short midwicket, and quickly turns down de Kock, who was keen on a quick single"
"fuller, outside off, and he looks to drive this, but can only get it towards mid off"
"short, and he cuts this, and it goes past first slip and short third man, bisecting the gap perfectly towards the third man fence. <strong>Chancy!</strong>"
"tossed up, on off stump, and he drives this towards extra cover"
"tossed up, and he drives this towards point"
"tossed up, and he drives again, but cannot beat the man at extra cover"
"down the leg side, and de Kock looks for a sweep. It beats Dhoni, turning behind him, and they run two, as Nigel Llong calls this a wide"
"fired in a bit quicker, and de Kock hangs back and plays it late towards third man, making sure he beats first slip"
"slows this up, good turn from outside off, as it beats the bat in an attempted sweep"
"length ball, and he plays this towards point"
"full, down leg side, and Yadav whips this away on the on side, but it lands just short of Harbhajan fielding at long leg"
"a little short, and he plays the cut, using the pace on the ball, but it goes to point"
"length, angles across him, and he defends this"
"length, angles across him, and he scoops this up and laps this down towards fine leg. <strong>Top shot!</strong>. Ensured that he kept it beyond the reach of deep backward square leg"
"short, and he looks to pull this towards midwicket. Gets no timing on it, as it runs down towards mid on"
"slower ball, outside off, and he cuts it but straight to point"
"length, and he pushes this towards square leg to pick up a single"
"length, and he moves away to make room for himself and go inside out, but <strong>he has scooped this straight to wide long off</strong>! The little bit of turn that takes it away from him, and he might have looked to go straighter than where it wound up. Faf du Plessis barely needed to move!"
"length, and he shuffles across and flicks this away towards deep backward square leg"
"length, and he presses forward and defends this"
"flatter ball, and he goes back and plays this defensively. Takes a little of the outside edge and runs away towards first slip"
"flighted, and he drives this towards cover"
"length, and he drives this back down towards the bowler, who sticks his hand out and stops this"
"strays in line, down the leg side, and he shuffles across and glances this away to fine leg"
"short, and he has played an uppish shot across the line, and <strong>Vijay at mid on cannot get to this</strong>! Very lucky boundary there for Yadav"
"short, and he whips this off his pads with a little shuffle across the stumps, getting it down to deep backward square leg"
"short, and he swings this away off the backfoot towards long leg. Roll of the wrists to keep the ball down"
"length, and he defends this"
"length ball, and he flicks this away but cannot beat short fine leg"
"length, and he whips this away off his hips, keeping it wide of square leg"
"length, and turns away from him as he looks to stretch and defends this. <strong>Beaten all ends up!</strong>"
"length, and he advances and tries to go over midwicket, and gets the outside edge. Almost taken by Watson at first slip, but eludes his grasp and in fact runs away for four to third man!"
"length ball, defended"
"tossed up, and he whips this away over midwicket. Got all of it, and a positive note to end a Powerplay, where Chennai Super Kings have been asking all the right questions!"
"length, and he defends this bowled on his off stump"
"fuller, and he whips this away towards deep midwicket"
"length, bowled quick, and he goes back and defends this towards midwicket"
"short, and he swings this around towards long leg. They want two, but Imran Tahir does well to attack the ball and keep it down to one"
"short, and he goes back and pushes this towards deep midwicket. Got it to the left of the fielder there, and they scurry back for the second"
"length, and beats him on the outside edge as he stretches to defend"
"length, angles across him, and he runs this down to third man"
"fuller, but on the pads, and he shuffles across the crease and flicks this towards deep midwicket"
"slower ball, and it took forever to reach Kishan, who was looking to swing this away towards fine leg. Half-appeal from Bravo, but it did catch the toe-end of the bat, directed at leg stump"
"length, angles across him, and he steers this to third man"
"length ball, angles into him, and he drives this down to long on"
"length, and he drives this back to Bravo from the crease"
"starts with a googly, and Yadav goes back and whips this away towards deep midwicket"
"turns into him, and he whips this away towards square leg"
"tossed up, and he cuts this towards point"
"short, wrong 'un, and he goes back and lofts this wide of long on"
"flighted, outside off, and he drives this towards long off"
"flighted, and he drives this towards long off. Airy, but safe as there was no fielder within reach of that"
"full ball, down leg side, and he flicks this away towards long leg. There's a deep backward square leg and fine leg, who will get around to it and keep it down to two"
"length, outside off, slower ball, and he drives this beautifully past Deepak Chahar at mid off. Chahar dives away to his left, but found the ball running away from him all the time"
"length, and he shuffles across and flicks this away towards deep backward square leg"
"length, angles across him and he drives wide of mid off and picks up a quick single. Yadav was a bit iffy to respond, but eventually gets through comfortably"
"full ball, wide of off stump, and he runs this down to third man"
"fuller, around off, and he smashes this down towards long on"
"slides on outside off, not much turn either way, slog-swept straighter than intended to long-on"
"wrong'un, Suryakumar does not pick it and falls over, heading down leg side"
"full-toss on middle, Suryakumar twirls his wrists and whips it away to the midwicket fence"
"too full and outside off, Suryakumar brings out a little helicopter and whips to the right of long-on for back-to-back boundaries"
"short googly on off, punched down to long-on"
"tossed up and spins away outside off, this googly is hit down to long-off"
"dropped shorter and wider, spins away further, Kishan cracks it off the back foot to sweeper cover"
"shorter and outside off, under-edged to first slip"
Kishan falls over the flick takes this one the pad
"slides on outside off, run away past second slip"
"on the pads from round the wicket, clipped off the back foot to deep square leg"
"flighted and outside off, slog-swept against the turn to long-on"
"full and spins back in, Kishan can't put it away with a flick"
"Kishan uses his feet, Jadeja goes shorter and gets it to spin in and hits the thigh pad again"
"really full on middle, stabbed back to Jadeja's right"
"on a length and spins away a wee bit, tip and run to cover"
"pushed through outside off and spins back in, whipped away into the leg side. Smart batting from Kishan and Suryakumar"
"on a length and spins away outside off, flatter, run away past the right of slip and left of short third man for four"
"starts on middle and spins down the leg side, Kishan lets it go, away from the reach of Dhoni. Harbhajan runs back, dives belatedly, and scoops the ball back near the fine leg boundary"
"skidder on middle, punched away to midwicket"
"tossed up and outside off, spins away, Suryakumar manipulates the field and deftly glides it away fine of Harbhajan at short third man. There's no way Harbhajan is going to cut this off. <b>Fifty for Suryakumar</b>"
"pushed through on middle and leg, whipped through midwicket"
"back of a length and on middle, forced back to Tahir"
"skidder from Tahir, takes out the off stump. Tahir doesn't quite run like he often does, fairly subdued celebration. Kishan aims to pull it away to the leg side, but Tahir's quick for him"
"Tahir appeals for caught and bowled. Umpire Llong calls for a review. The soft signal is out. Oh, Krunal is walking. Dipping full-toss on off, Krunal toe-ends it right back to Tahir. Krunal is off the field even before the TV umpire rules him out. <strong>Just like that, two in two for Tahir</strong>"
"Jadeja finds the outside edge but it eludes the reach of Watson. Okay, dropped it is.  Drifts in and turns away, poked away, Watson dives away to his left and goes with one hand but the ball pops out"
"slides on outside off, punched to the covers"
"full, drifts in and turns sharply past the outside edge"
"dropped short and spins away outside off, cut away past point, Bravo dives to his left from sweeper cover and cuts it off"
"tossed up on middle, driven down to long-on"
"full on the stumps, 100.6ks, jabbed back to Jadeja"
"slides on outside off, chopped hard to the left of sweeper cover"
"floated up on off, turns away a bit, driven down to long-off"
"flighted on off, driven back to Tahir"
"faster and flatter on leg stump, Hardik paddles it away fine of long leg for four"
"slower legbreak outside off, whisked back to Tahir"
"flatter on middle and leg, eased down to long-on"
"full on off, punched down to long-on"
"full-toss outside off, shovelled away with the wrists to the right of long-on. Faf runs across to his right and swats it away towards deep midwicket"
"short on middle, punched down to long-on"
"slower ball from Bravo, 99.9ks, full and outside off, Suryakumar slices a loft. Faf runs in from long-on, dives gingerly and can't get to the ball. It drops in front of him"
"overpitched and outside off, belted straight of Faf at long-on"
"yorker on off, squeezed to midwicket"
"dragged down outside off, smeared away to long-on"
"arm-ball, defended to short cover"
"shortish and outside off, cut to point where Faf makes a diving save"
"slides in on middle, worked to the leg side"
"jabbed to point, Pandya searches for a single but is sent back"
"on a length, drifts in and spins past the outside edge"
"slower bouncer, flapped down to long-on"
"on a length and outside off, Suryakumar shuffles across off and scoops it fine on the leg side over Dhoni's head for four to level the scores"
"slower short ball outside off, pulled away to deep square and <strong>Mumbai enter their fifth IPL final</strong>"
