"full on off stump, and defended to mid off"
"full just outside off, and steered away with the angled bat to Chase at cover"
full on off and defended away to mid off. No chance of a run
"drift in the air, and full on middle stump. Defended down the ground to mid on"
"<b>lifted!</b> Full on middle. He gets to the pitch of the ball, and thumps this right over the leg side. Good use of his wrists as the ball races away to the cow-corner boundary"
"overpitched on middle, and gently flicked to deep midwicket once again"
"overpitched on leg stump, and defended past the non-striker to short mid on"
"full on leg stump, and defended towards the leg side. Stopped by short leg"
"full on leg stump, and defended inside-out to cover"
"good length on off, and he shuffles onto the back foot to defend"
"full on middle, and nudged with the bat's open face to point. Easy pickings with third man near the boundary"
"full on middle stump, and flicked towards the leg side"
"full on off, and driven gently to Chase at cover. Well fielded, scampering across the ground"
"length ball on off and skidding through. Defended off the back foot towards point. Looked to cut, but too close to his body, therefore choosing to bunt it away instead"
"good length on middle, and skidding into the keeper's gloves. Left alone"
"good length on middle, and punched to mid off off the back foot"
"length ball on middle, and turning into leg stump. He stays on the back foot, and defends the ball into the ground towards the leg side"
"full on middle, and defended off the front foot. Right back to Warrican"
"full outside off, and defended against the turn to cover. Full face of the bat"
"full on leg stump, and wedged away to mid on. Off the bat's toe end, so couldn't generate any power"
"good length on off, and nurdled with the spin to deep midwicket. Played off his hips"
"full on middle, and driven towards the leg side. Off the bat's inside half, and midwicket must run across the ground to intercept"
"full on off stump, and defended off the back foot. Roach comes steaming in, but much to his dismay, the batsman chooses not to attack"
"full and wide outside off, and driven away from his body to cover. Falls just short of the fielder there"
"overpitched just outside off, and driven with the angled bat to cover. Stopped by Hetmyer, and that's forced the batsman to scurry back"
"full outside off, and he crunches a square drive through the infield! Man in the boundary runs across the ropes the intercept"
"full just outside off, and defended down the ground to cover"
"full on middle stump, and that's taken a <b>leading edge</b> over mid off! Tries to muscle it to deep midwicket, but the bat turns early in his hands, and the delivery goes to the off side instead. So close to a wicket"
"full on leg stump, and he winds up to slog towards the leg side. But the ball stays low, goes under his bat, and even finds its way between the keeper's legs! A couple of byes for Bangladesh"
"<b>staying low once again!</b> Full outside off, and he backs away to cut. Too close to the body for the shot anyway, and the keeper grabs on to this"
"full on off, and muscled with the spin to deep midwicket. Flicked away"
"full outside off, but that hasn't stopped him from cutting the ball. Slapped past point on this occasion"
""
"full on off stump, and driven down the ground to long on for a walking single"
"back of a length outside off, and defended off the back foot. But extra bounce makes him glove the ball"
"full just outside off, and a bit of swing in the air. Going away from the batsman as he reaches out to defend"
length ball just outside off and Shadman stays tall to punch a defensive shot to cover
"full outside off stump, and he leans forward to play a smart-looking cover drive. Very Ganguly/Sangakkara-like. But stopped by the fielder"
"good length on off and angling in. Stands tall once again, and punches with the straight bat to mid on"
"good length on off, and going down the leg side. Comfortably <b>pulled behind square</b> along the ground, and the ball races away to the fine-leg boundary!"
"full toss on middle stump, and defended to wide long off for a single"
"full on middle stump, and smothered with the spin towards the leg side. Gentle hands with silly mid on looming"
"overpitched outside off, and he toe-ends a cover drive to Roach at deep point. Enough time to trod across for the run"
"full on middle, and skidding in. But Shadman carefully defends off the back foot to the leg side"
"full just outside off, and blocked off the front foot to the bowler"
"full just outside off, and driven towards cover with soft hands"
"good length on off, and he rides the bounce to defend off the back foot. Firmly played"
"full outside off, and he goes for an expansive cover drive. But the ball takes the inside edge and ricochets onto his pads!"
"good length on middle, and extra bounce forces Mominul to uncomfortably defend towards the leg side"
"full-ish outside off, and driven off the front foot to cover. Tentatively played to the off side"
"<b>anticlimactic end to the session!</b> Short outside off, and Mominul tries to flat-bat it over the leg side. Looks to pull, but it's come off the bat's top-half, and it's an easy lobbed catch to long on. Got carried away, and falls just one delivery before lunch. The Bangladesh coach will not be pleased!"
"full just outside off, and defended off the front foot to mid off. Just one ball in this over after lunch"
"full on off, and defended towards the leg side"
"full on off stump, and nudged away to the leg side"
"full on middle, and driven to cover"
full on off and driven to cover once again.  Much expansive a drive on this occasion
"full just outside off, and the right-handed Mithun pushes at this to cover"
"full on off, and driven off the bat's toe-end, but intercepted at cover"
"length ball angling in, and flicked off his hips to deep backward square"
"full just outside off, from over the wicket. Caresses a front-foot drive to mid off on this occasion"
"full on off and aimed at off stump. He plants his front foot in front of his body, and drives to mid off. But can't clear the fielder"
"back of a length delivery that's angling in, and fended off the back foot towards midwicket"
"length ball outside off, not full enough. But Mithun looks to drive anyway. Mistimed onto his body on this occasion"
"overpitched on middle, and driven past the bowler to mid on. Brathwaite drives across the ground, and parries the ball to mid off, as the batsman scamper across for a single"
"full on middle, and drilled to wide long off for a walking single"
"full outside off, and turning into the batsman. Fended away"
"full on off, and he reaches the delivery to push it towards cover. Firmly played"
"full outside off, and he winds up to crunch a cover drive. But mid off runs to his right, and dives to intercept, before it can clear the infield"
"good length on middle, and he rocks back to defend off the back foot. Gentle hands"
"full on middle, and driven down the ground to long off. They walk across for a single"
"length ball outside off, and he waits for the ball to come to him, before steering a square cut to the fielder at point. <b>Roach's front-foot hasn't crossed the line</b> but the umpire feels otherwise. Unlucky, WI!"
"length ball outside off, and cut off the back foot to point"
"good length on off, and angling inwards. Tiptoes to defend off the back foot"
"good length outside off, and cut off the back foot to point"
"full just outside off, and he comes forward to drive. Mistimes to the bowler"
"full outside off, and he plants his leg forward to drive. Mistimed to mid off"
"full on off, and he offers the bat's full face to defend. Takes the bat's outside edge, and runs down to point"
"full outside off, and punched to mid off"
"full outside off, and driven once again off the front foot. Can't pierce the infield though"
"full just outside off, and pushed away to cover off the front foot"
"full on middle, much tighter from Warrican. Fended off the front foot"
"full on off, and an expansive check-drive rolls away to Brathwaite at cover"
"full on off, and he shuffles across to push this delivery past short mid on to midwicket"
"back of a length on off, and he rides the bounce to pull. Mistimed to fine leg"
"back of a length from round the wicket, and he flat-bats a pull to the leg side. Slices it to midwicket"
"length ball outside off, and that's the first delivery i've seen today where the batsman has shouldered his arms. Through to the keeper"
"back of a length on middle, and he controls a pulled shot along the ground to deep midwicket. Two fielders in the deep there, hoping he plays the pull more aerially. But well played by the batsman"
"length ball angling in, and clipped off his hips to midwicket. Lateral movement this time"
"back of a length on off, and he sways away from the line of the ball. Sharply collected by the keeper"
"full outside off stump, and driven against the turn past Chase at point. He gives the ball, well, a 'chase', and intercepts from near the boundary"
"full on middle, and he defends this back to Warrican off the front foot"
"good length on off, and turning inwards. Rocks back onto the back foot, and punches to mid off"
"full on off, and angling further away. Makes some room, and mistimes a cover drive to the fielder near the circle"
"full on leg stump, and he clears his front leg to allow his bat to swing straight through. Driven to Warrican"
"overpitched outside leg, and he's down on one knee to try and sweep. The ball hits his front leg and rolls away to the leg side"
"back of a length on middle, and the batsman <b>ducks</b> under this innocuous delivery. Through to the keeper, on the bounce"
"back of a length outside off, and defended off the back foot"
"back of a length on off, and he check-pulls this along the ground to deep midwicket. Completely in control"
"length ball outside off, and he drops his gloves to steer this to third man"
"full outside off stump, and Shadman's happy to shoulder his arms. Through to the keeper"
"full outside off, and he crunches a cover drive through the infield. But a half-stop from Brathwaite ensures it won't get to the boundary. Beautiful looking shot, though. Oof"
"full outside off, and he's through the dive too early. Off the bat's top half, and rolling away to cover"
"length ball on off, and he backs away to caress the ball through to deep extra cover"
"full outside leg stump, and clipped off his pads to short fine leg. No chance of a run there"
"length ball on middle, and fended off the back foot to cover"
"full outside leg stump again, and tapped away to midwicket with soft hands"
"full outside leg, and he <b>sweeps to get to his fifty!</b> Well struck, and clearing square leg with ease. Mithun congratulates Shadman on his <b>maiden debut half-century!</b>"
"back of a length on off, and angling in. He rocks back, covers his off stump, and blocks off the back foot"
"good length outside off, and lateral movement brings the ball in. Defended off the front foot"
"full just outside off, and confidently driven through the off side. Off the bat's outside half though, so no real power generated"
"length ball on the fourth-stump line, and he confidently defends off the back foot on this occasion"
"low full toss, but can't put it away. Driven to Bishoo at forward point, and the his knee takes a knock! Hurting, but not too much"
"full on middle, and defended back to Lewis. Well stopped by the bowler, and he lines up to throw the ball back towards the batsman since he was out of the crease. Eventually chooses not to"
"full outside off, and spinning away. Driven to wide long off"
"back of a length on middle, and he makes room to slap a cut. Well hit, but fielder at deep point for that shot"
"full just outside off stump, and defended off the front foot to cover"
"good length on middle, and he uses the depth of the crease to defend off the back foot"
"full on leg stump, and he leans forward to defend with soft hands"
"full on off, and pushed with soft hands into the vacant point region. They scurry across for a single"
"tossed up outside off, and he <b>crunches</b> a drive through the covers. Has four written all over it, but deep extra cover runs across the boundary to intercept"
"flighted outside off, and pushed away to deep extra cover"
"full on off, and but spinning into his pads. Tries to nudge it towards the leg side, and does so with ease"
"full on middle, and tapped away off his pads to the leg side. Short leg lurking"
"full on off, and he offers the bat's full face to drive to long on. They jog across for a single"
"good length on off, and defended off the back foot"
"full on middle, and pushed with the straight bat back to Bishoo"
"length ball on middle, and defended"
"full on middle, and steered away for a single"
"length ball skidding in, and flicked off his hips rather smartly to deep backward square"
"full on off, and defended to cover"
"length ball outside off, and slapped away to deep point for a trodding single. He'll keep strike"
"length ball on middle, and he goes back to punch towards midwicket. Through short leg's legs!"
"full on off stump, and driven to wide long off"
"full outside off, and driven to cover off the front foot"
""
"full just outside off, and defended back to Chase"
comes down the track to this flighted delivery and drives it down to long-off
"length ball on middle, and defended against the spin to mid on. Enough time to pinch a single"
"full just outside off, and defended away to cover off the front foot"
"full outside off, and he smothers it with the spin to cover"
"full outside off stump, and he takes a big stride to the pitch of the ball to defend"
"<b>turn and bounce!</b> Full outside off, and leaps off the surface. Shadman shouldered his arms, but he needs to be careful where his stumps are"
"good length on off, and fended off the back foot to mid on"
"full just outside off, and fended off the front foot to the off side"
"good length on off, and spinning inwards. Tapped off the back foot to the leg side"
"good length on off, and punched with the bat's closed face to wide long on. Enough time to walk across for one"
"length ball on off stump, and punched down to long off"
"full on leg, and sharp turn takes the ball down the leg side. Good take by the keeper"
"<b>pulls well, but a diving effort from Lewis</b> stops the boundary. Length ball angling in, and he really thumped this behind square off the back foot"
"flighted on the stumps, but too full, and he clips it from outside off to long-on"
"leg-break pitched on middle and turning away, steered to point"
"drags it a bit short, allowing him to stay in his crease and punch to deep cover"
""
"very full again outside off, and he drives it to long-on for an easy single"
"flatter on off, defended back"
drifts on the pads and tapped into the leg side
"better length, good flight, drawing him forward to defend"
"too full outside off, and drives it square by opening the face of the bat to deep point"
"back of a length, spinning from off to leg, he goes back in his crease and uses his wrists to turn it round the corner to fine leg. <b>Fifty partnership between the two</b>"
"tossed up generously, too full and he unleashes a full-blooded drive. However, there is a deep cover"
"half-hearted appeal. Better ball, pitching on a length and spinning into the right-hander, who had taken a big stride forward but couldn't reach the pitch of the ball. The ball popped off the pad to short leg"
patted back to the bowler
"tossed up outside off, and driven to extra cover"
stays back and steers it to short third man
"flatter on the stumps and a bit short, transfers weight back and cuts it to the man at deep point"
"full ball given air, driven to the bowler's left"
"good length, drawing him forward to defend"
length ball defended into the off side
"length ball on the stumps, defended"
"good length on the stumps, he's happy to defend those"
"dragged it a bit short, spinning away from the left hander and bouncing, he stays back and cuts it to deep point"
"length ball on the stumps, spinning onto the pads, he taps it down"
"still getting some turn, but he's allowing the batsman to pick him off easily. Goes back and turns it round the corner with the spin"
"<b>beaten on the cut</b> wasn't quite close enough, and he tried to give himself room but it skidded through"
""
""
"good length, comes forward to defend"
"tossed up but too full, he takes a step forward and clips it back to the bowler"
"that's a better length, drawing him forward but not to the pitch of the ball, he still gets the toe-end of the bat to it, driving it to mid-off"
