"movement straight away, seams away from outside off, left alone"
"good length on off, a bit of away movement, presses forward and blocks into the off side"
gets forward and pushes into point
"length ball on middle, blocked to midwicket"
"length ball angling in, and he's uses his bottom hand to flick this right over the fielder at square leg. Nice swivel off his toes, and the fielder at fine leg has no chance either"
full outside off. Hits the deck and stays low. Williams offers no shot
"<b>punched!</b> Picks the length early, and he firmly brings his bat forward to smack this from the top of the ball, and past the infield on the off side"
"full and wide outside off. Slower from Phehlukwayo, but the batsman doesn't chase that ball"
"full outside off, but he takes a big stride forward and crunches a beautiful cover drive through the gap between cover and point for one more boundary!"
"good length on off, and jagging inwards. Rides the bounce and flicks to Phehlukwayo"
"good length outside off, and punched off the back foot to cover"
"<b>short!</b> And it hits his shoulder. Back of a length on off, and Taylor tries to duck, but he can't totally come down. Hits the back of his shoulder and lobs into Klaasen's gloves"
good length angling inwards. Whipped off his hips to the leg side for a jogging single
good length angling inwards. Whipped off his hips to the leg side for a jogging single
""
"full on middle, and spinning sharply into the right-hander. Smothered off the back foot to square leg"
"full outside off, and pushed off the front foot to short cover"
"full outside off stump, and he drills this flighted delivery to wide long off for a walking single"
"full on off stump, and he takes a big stride forward to play the <b>reverse sweep</b>. Struck well, but not fine enough. Intercepted by third man"
"full just outside off, and turning in as the batsman pads this away. Impact outside off, and therefore the appeal is quiet. Replays show it was bat-pad"
"full on off, and swept with the turn, but finds the fielder positioned at short fine leg"
full on off stump. Keeps his eyes on the ball and defends
"good length on middle, and going across the batsman. Punched off the back foot to the fielder at cover. Says no for the single"
full and wide outside off. Going further away and left alone by the batsman
"good length outside leg. The ball lands up near his hips, and he whips this square to deep square leg for a run"
"<b>ramped!</b> Back of a length outside off, and Taylor gets his bat up to a 45 degree angle, and then guides it right over the infield to third man"
"<b>pulled!</b> Back of a length on middle, but ending up outside off. Allows Williams the full swing of his bat, and he puts this away to the deep mid-wicket boundary"
"back of a length outside off, and nudged off his pads to fine leg"
"full on off. Turning away, and tapped off the front foot to the bowler"
"full on leg, and worked off his legs to the fielder at short midwicket. No chance of a single"
"full just outside off, and he backs away to cut. Dribbles away to point"
"good length outside off. Turns into the left-hander, and he uncomfortably drives back to Duminy"
"flighted, and lands right at the base of off stump. Defended off the back foot"
"full on middle, and the drilled cover drive is well stopped by the diving Markram at cover. <B>Maiden</b"
worked away off the hips to deep backward square leg
"back of a length on off, stands tall and blocks to mid-off"
"fires it full on the pads, flicked away to square leg"
"short and rising outside off, arches out of the way"
tries to loft this length ball but the bat turns in his handle and he chips it to sweeper cover but the ball <b>drops short of the fielder running in
""
"fullish, seaming away, left alone"
""
comes forward and pushes this fuller one back
gets some width and he slaps this short ball to the left of sweeper cover
"back of a length, spinning towards off, punched to long-on"
"pitched up on middle and leg, pushed back"
shifts back to a length ball and blocks
""
length ball that spins in and hits the thigh pad
worked away to long-on
"ah, what happened there? Nicely flighted and he tries to reverse sweep but the ball sneaks past beneath the bat and goes past the stumps"
pushed down to long-on
"flighted outside off, blocked"
"pitched up outside off, pushed back"
"flighted outside off, just a tad overpitched and he drives this through the covers"
finds short third man with this reverse sweep
"full toss, driven down to long-off"
tries to advance and loft it over but doesn't meet the pitch and <b>chips it just over mid-off</b>
punched into the on side
slides across a fuller one that's driven to sweeper cover
"full slider on leg stump, gets down and guides a sweep to deep fine leg"
"length, spins away, shuffles and drops it into the covers"
"length ball, spinning into middle, tucked to midwicket"
"back of a length, spins away, punched to the right of sweeper cover"
offers up room outside off and he capitalises by slog sweeping through deep midwicket
"length, spins away, blocked"
"length, spins away, tucked against the turn to midwicket"
"pitched up on middle, flicked between long-on and midwicket"
"length, spins away, gets an inside edge to the pad as he tries to tuck it away"
"full outside off, driven to the left of point"
reverse swept to short third man
"flighted on middle, driven to long-off"
"spins past the outside edge after drawing him forward. And has the backfoot come off? Stumping referred upstairs. Oh, that's gone. The foot is in the air, and he has slid it back in but the bails have been whipped off a fraction of a second before. He's gone here. End of a big stand"
"pitched up outside off, front-foot defense"
pushes between cover and point for one
"back of a length, spins in, tucked to deep square leg"
"length, spins away from off, blocked to cover"
"pitched up outside off, pushed back to the bowler's right"
pushes away from the body and gets an outside edge to short third man
"full, reaches out after it turns and gets beaten"
pulled from outside off and drags it into the gap at deep midwicket
"back of a length outside off, pulled along the ground to deep midwicket <b>for his fifty</b>"
<b>edged and short of slip</b>. Faf lands on the right shoulder. That's the one that was hurt. Gets down to try and grab it but it just falls in front
pushes a fullish length ball back
tucks a back of a length ball off the pads to deep square leg
"length outside off, pushed through the covers"
"short of a length, tucked to midwicket"
"length on off, blocked"
"short of length, backs away and finds cover with his cut"
"pitched up on off, pushed back"
"floated across off, pushed into cover"
"spins the other way, the wrong'un, stays back and opens the face through backward point"
"fuller of a length, gets down and reverse-sweeps through backward point"
lets this length ball spin and knocks it to point
"length on leg stump, pulled one-bounce to deep midwicket"
back of a length outside off. Goes past Moor's shoulders and into the safe hands of the keeper
"length ball outside off, but swinging inwards. Firmly defended off the front foot"
"full outside off, and angling into off stump. Takes a firm stride forward and defends. 143kph"
"length ball on the fourth-stump line outside off stump. Opens the bat's face, and steers a back-foot drive to point"
"decks this short. Lands on middle, and gets big on the batsman's body. but he rides the bounce, and blocks off the back foot"
"swing and a miss. Full outside off, and he goes for a wild swing to score some runs. Can't connect with the cover drive at all. <B>Maiden</b>"
"<b>slog swept</b> into the deep midwicket boundary. Full on off, and he sweeps this with the spin over the leg side. Lands just short of the boundary"
"good length on off. Spinning away, and he makes room to cut. Bottom-edges the shot towards the off side"
"full on off, and he goes onto the back foot for a firm punch to cover"
"good length outside off, and he flat-bats an innocuous shot down to long off for a walking single"
"good length on leg stump, and turning further down leg. He whips this off his pads to short fine leg, but can't pinch the single"
"<b>smacked over deep midwicket!</b> Tossed up on off, and Moor joins in on the fun. Slog-sweeps across the line, and manages to clear the fielder in the deep. Delightful way to get to the <b>team 150</b>"
"good length on middle, and punched off the back foot. But it takes the outside edge and runs down to third man"
"good length outside off, but tailing inwards. Fended off the back foot to cover"
"<b>ramped to first slip!</b> Pure catching practice there. Good length ball angling in, and he tries to lift this over slip. Not off the bat's middle and flying through fast as well. Hendricks takes a small leap, puts his hand up and takes an excellent catch to get Moor's wicket"
"good length just outside off, and at 145kph. Uncomfortably defended off the back foot"
"full and straight on off stump. Forces Chigumbura to cover his off stump, and meet the ball with the bat's full face"
"aimed at his toes, and this full-pitched delivery lands right on off stump. Chigumbura shuffles and gets his bat down, right in time to wedge the ball away to the leg side"
"lands full on off, and turning away. Pushed off the front foot to cover"
"good length outside off, and he cuts this off the back foot to the point boundary! Makes room, and keeps his eyes on the ball till the last moment"
"fuller. Lands outside off, and driven down the ground to long off"
"full just outside off, and he leans into a front-foot drive. Intercepted by mid off"
"full on middle stump. Spinning into his body, and shoveled off the front foot towards the leg side"
"full outside leg, and spinning further away. Tries to sweep behind square, but loses his balance in the process"
"full just outside off, and he's been lured into the cover drive. Comes off the bat's inside edge, and flies between his legs to the on-side"
"back of a length outside off, and Chigumbura stays on the back foot on this occasion. Defends while riding the bounce, all of it with very soft hands"
"full outside off, and angling in. Tries to check-drives, but the ball takes a thick inside-edge and runs past the stumps to fine leg. Lucky"
"good length on middle, and Williams opens the bat's face to steer this square. Straight to point, and the non-striker says no for a single"
"<b>teasing!</b> Length ball just outside off. Williams moves away to the leg side and looks to defend off the back foot. But the ball moves away slightly, and flies past his outside edge to the keeper"
"<b>taken on the followthrough!</b> Williams wears a disappointed look. Length ball on middle, and he tries to work it towards the leg side. it hits the top-half of his bat, and pops right up towards the non-striker's direction. Rabada spots that early and sprints across to the leg side, and then stretches forward while running to complete another soft catch"
"full just outside off stump. Tiripano meets this on the front foot, and pushes a drive to point"
"quick and full, but lands outside leg. Tries to sweep, but misses. Sharp collection from Klaasen"
"flighted full on off, and this is pushed to cover. The non-striker's already off for the run, but the batsman asks him to return"
full outside off. It's the wrong'un that turns into the right hander. Defended off the front foot
"full toss just outside off, and his straight drive is athletically stopped by Tahir diving to his right"
"full on off, and he smothers a front-foot defense to point"
flatter. Lands on length and skids through. Punched off the back foot to cover
"flighted on off stump, and the ball is caressed square to the sweeper fielder on the off side"
""
"wayward! Attempts the yorker, but this lands beyond the batsman after going down leg. Klaasen dives to his left and ensures that doesn't go for byes"
"full outside off, and skidding through. Sticks his bat out, but the ball's gone past him before he could notice"
"good length just outside off, and blocked off the back foot"
"full on middle, and that's been clipped off his toes past the midwicket fielder! Sweet timing off the bat, and the delivery whizzes away for a much-needed boundary"
"back of a length outside off, and that's been left alone by the batsman"
"good length just outside off, and he pushes this off the front foot to cover. They race away for a run"
"back of a length on middle stump, and going down leg stump. But the umpire reckons it's not a wide, because the ball was near the batsman's playing region"
"back of a length outside off, and he defends off the back foot"
"full just outside off, and driven off the front foot to cover. Played with the turn this time"
"full on leg stump, and clipped off his toes to the leg side. They choose not to take the run"
"good length on middle. Turning away after pitching, and blocked off the back foot"
"<b>the wrong'un!</b> But it's pitched so wide outside off, that the offspin was expected. Defended off the front foot"
"<b>slapped!</b> Length ball outside off, and he backs away to successfully cut this past the diving cover-point fielder"
"full outside off, and he smothers the offbreak towards the leg side with soft hands"
"misses out on an extravagant square cut. Length ball wide outside off, and Chigumbura threw his bat at this. But the extra bounce takes it over his blade and into the keeper's gloves"
"good length outside off, and he steers a back-foot late cut to backward point"
"slower ball from Rabada. Full just outside off,but he waits for the ball to get to him. Blocked back to the bowler"
"<b>sends the batsman ducking!</b> Fiery, short and aimed at the batsman's body. Does well to drop his knees and get out of the ball's way"
back of a length just outside off. Blocked off the back foot to point
"full just outside off, and the cover drive flies off the bat's inside half. Rolls away to midwicket"
"full on leg, and spinning across the batsman. But Tiripano negates that with his big stride, and then defends this straight"
"length ball on middle that's skidding down leg. The batsman swivels, and gets a feather-touch off his flick, and the ball absolutely races away to the fine-leg boundary for four"
"full and wide outside off. The wrong'un turns in, and he defends off the front foot to cover"
"good length outside off, and he waits for the ball to come to him, before pulling this from deep into his crease. Clears the mid-on fielder, and it's running away for another boundary"
"full outside off, and pushed off the front foot to cover point"
"full on middle, and blocked off the front foot. <B>Tahir finishes with 2 for 44</b>"
edged and gone. Slashes at the sight of width and the ball gets up a bit more to shave the edge and settle into the keeper's gloves
"full on off, defended"
"length on off, blocked to cover"
"short and wide, slaps at it and chops it into the ground"
"short of a length around off, tries to run it down and misses"
"short of a length, pushes back and drops it to third man"
gets down to sweep and guides it past short fine leg
"full on the pads, clips it away and chips it past mid-on for four"
"loses control on this sweep and top-edges it to deep square leg, in front of the fielder in the deep"
flicks a fuller one into the on side
"now he unfurls the reverse sweep, sees the angle as it's slid across and just gets down and guides it fine to third man"
blocks a fuller one into the off side
reaches out to a wide one that keeps low and goes to the keeper off the bottom edge
flicks a fuller one to midwicket
"full on off, defended"
tries to cut a wide one and gets beaten as it doesn't quite come on
flicks a length ball to midwicket
flays at a fuller wide ball and thumps it past extra cover stretching out to his left
"floats a fuller one across off, defended off the front foot"
goes for a big heave but can't get underneath it as the ball spins and bounces past the keeper and the first slip
gets down for a reverse sweep and gets a bit of a <b>leading edge past slip</b>
tries to nudge it into the on side but it keeps low and he barely keeps it out
"another sweep, to a length ball this time, to deep square leg"
reverse-sweeps this from leg stump to the left of sweeper cover
"extremely full on middle, dug out to mid-off"
opens the face to a length ball and runs it down to third man
advances and swipes across the line to get an inside edge to deep fine leg
"swipes at a full toss and chips it in the air off the outside of the bat, and du Plessis at mid-off easily grabs it"
defends a fuller one outside off
"short ball, gets under it"
"full, clipped off the pads to deep fine leg"
"short of a length, seams away at 135ks, swings and misses"
"nasty bouncer, well-directed at middle stump, ducked under"
""
"short, fails to get on top of the bounce as he flays at it and misses"
"another short one, leaves him and climbs sharply, can't do much about it"
"short of a length outside off, guided to point"
"<b>dropped</b>. Very, very tough chance. Phehlukwayo sprints all the way back from midwicket, runs a good 15-20 steps and gets under it but it pops out. It was a cross-seamer, and Tiripano swung blindly looking for a big hit over the leg side"
""
"moves away from a back of a length, stays in the crease and swings and misses"
"now he goes straight over, doesn't make great connection but it's good enough. An off-cutter, slapped over mid-on"
"short around off, backs away and tries to open the face but makes no contact"
"short of a length, stays legside and opens the face to point"
"slower length ball, steered to third man"
"short of a length on off, punched to point"
"slower shortish ball, makes no effort to get close as he swings, and misses"
""
"short of a length, fails to get on top and doesn't get much room, top-edges a pull to the vacant midwicket"
"short, angling into him, pulls to deep square leg"
"shortish outside off, slapped down to mid-off"
backs away but the bowler follows him with a short ball and he makes no contact on the pull
"short of length on off, punched to extra cover"
rolls his fingers over a length ball and Jarvis takes a swing and connects only well enough to send a catch down the throat of long-on
"full toss on middle, pushes down to long-on and jogs down for a single but it sent back"
"back of a length, backs away and slaps it over extra cover for an imperious boundary"
"fuller this time, stays shifts back and tries to loft it over but gets an inside edge to the pad"
"in the air and taken. That's the end of the innings. Slower ball from Steyn, wide and back of a length, Tiripano has a flat-batted swing at it and the ball shoots up off the splice and goes to Faf at extra cover"
"good length on off, and Markram gets bat to ball off the first delivery. Rocks back and fends it back to the bowler"
"full and wide outside off. Swinging further away, and left alone by Markram"
"full on middle, drifting down leg, and flicked away to fine leg. South Africa get off the mark"
"full outside off, and shaping away once again. The batsman looks to drive but eventually pulls out of the shot"
"full on middle, but going down leg. Hendricks is happy to let that go"
"good length outside off, and he stands tall to punch through point. But the fielder gets down on both knees and stops the ball from sneaking past him"
"full on off stump. He takes a couple of steps forward, and blocks off the front foot"
"full on off stump. Right on the money, and defended down the ground to mid on"
"full just outside off, and pushed with soft hands to cover"
"full on leg, and that's been <b>timed</b> off his toes past square leg. Chase for the infielder but the ball's winning that race"
"full on off stump. Markram covers his off stump by shuffling across, and defends off the front foot to mid on"
"<b>flicked!</b> On his pads again, and he whips this off his legs once again over the square-leg umpire for another leg-side boundary"
"full on middle, and that's the <b>best of the three boundaries!</b> Just gets his front leg across to off stump, and then thumps an on drive past midwicket"
"full just outside off, and his front-foot drive goes straight to mid off. No chance of a run there"
"good length on middle, and he works this away off his hips to deep square leg."
"good length outside off, and punched off the back foot to mid off"
""
back of a length outside off. Much nicer line from Jarvis. Fended off the back foot
"good length outside off, and firmly struck off the back foot. But finds the cover fielder"
"<b>crunched!</b> Width offered with a length ball, and he climbs into a superb square-cut off the back foot"
"full on middle, and worked off his toes to the leg side"
"length ball angling in, and clipped off his pads to midwicket"
"good length outside off, and cut square once again! This is a much better shot, in fact. Picks the length early, and slaps this rising ball from near his chest"
"length ball outside off, and the cut is mistimed towards the off side"
"slower one outside off, Markram lets it come on to the bat before opening the face to run it down towards third man"
"length ball, around middle and off, it nips back in sharply to rap the batsman on the thigh, an appeal for lbw but it struck him too high"
"length again, just around off stump, punched towards mid-off"
"straying on the pads this time, flicked towards square leg where a sliding stop prevents the boundary"
"back of a length on off, but tailing in sharply. Uncomfortably whipped away to midwicket"
"full just outside off, and he uses his wrists to nudge this square to the leg side. Man cleaning up in the deep"
"good length on off, and punched with the angled bat towards the leg side. Mid on gives it a chase"
"back of a length outside off, but coming into the batsman's body. He contorts and works this away to square leg"
"half-tracker on middle, and he has all the time to swivel and pull along the ground fine to the leg-side boundary!"
"better accuracy. Length ball on off, and punched to mid off"
"good length on middle, and clipped off his hips to deep backward square. Easy runs"
"length ball angling in, and he taps this off the back foot to mid on"
"attempted yorker that lands full on off, pushed down the ground to mid on."
"back of a length on off, defended"
"back of a length on off, defended to point"
"back of a length outside off, waits for it to come on and punches past the left of point"
"short of a length on off, stands back and defends"
"fuller of a length, on the pads, flicked through midwicket"
"length on off, defended to cover"
"short and spinning away, cut to the right of sweeper cover"
"fuller ball, skips down leg"
"length, spins in, blocked towards mid-on"
another erratic delivery down leg
"short and spinning away, finds point with the cut"
comes forward and blocks to cover
"length ball that comes on with the arm, Markram rocks back and shovels it through midwicket"
blocks a length ball towards mid-off
"tossed up outside off, slashes hard at it and knocks it over point off the splice"
"length, spins away outside off, backfoot punch to point"
"full outside off, comes forward and pushes to extra cover"
"beautiful use of the feet, skips down and heaves this over mid-on. Steady head and good timing"
clips a fuller one behind square leg
"full, sliding into leg, nudged between square leg and short fine"
just swatted through the covers. Down the ground and inside-out as Mavuta overpitches
"full, spins away outside off, left alone"
"sliding fuller ball, turned away to square leg"
"pitched up outside off, gets forward and crunches it wide of long-off"
tucks a length ball off the pads to midwicket
"floated up outside off, forward press and blocked"
"back of a length, turning away, tucked to square leg"
"back of a length, turning away outside off, punched to long-off"
pushes a fuller one to point
punches a back of a length ball back to the bowler
advances down the ground and shovels this after getting right to the pitch through long-off. All getting too easy now. Zimbabwe need a wicket
whips with powerful wrists to midwicket who dives to his right and stops it
"length, spins away, punched down to long-off"
"full outside off, pushed to point"
tries to close the face and gets a bit of a leading edge back to the bowler
"full on off, drilled to long-off on the front foot"
turns away a fuller one to midwicket
"length outside off, punched to cover"
"length outside off, pushed to sweeper cover"
tucks a length ball to square leg
"oh, that's plumb. Given by the umpire Gaffaney. Nicely looped into middle and straightening down the channel. Markram closes the face and gets pinned on the pad. But, hang on, there's been <b>an inside edge</b>. No reviews, unfortunately. End of a very fluent innings"
gets opened up by turn as he works it away to third man off a thick outside edge
now he gets an inside edge as this one slides into him
stays in the crease and punches a length ball to cover
"full on off, blocked"
"spins away outside off, punched to sweeper cover"
shuffles and blocks from off to midwcket
"short, swivels and pulls to deep square leg"
"spins into him from outside off, punched to sweeper cover"
"short, not much turn, finds point with the cut"
advances and pushes to long-off for an easy one
"full on middle, defended"
"pitched up on off, driven to point"
"length, taps to mid-on for a quick one and beats the throw"
pushes a fuller one to long-off
shuffles back and whips to the right of mid-on
"back of a length on middle, and the pull-shot races away to the leg-side boundary! Excellent way to start the over"
"length ball wide outside off, and drives through the line to deep extra cover"
"full on off, and he uses his wrists to whip a flick to Ervine at cow corner for one"
"full just outside off, and the straight drive has been stopped by Chatara on the follow through. But he's <i>overstepped</i>"
"full on off, and he <b>swings across the line</b> right into the hands of Ervine in the deep. But it's a free hit. As safe a shot as any"
"<b>beats extra cover!</b> Full and wide outside off, and he uses his feet to give the bowler a charge. Simply checks the drive over the infield, and ensures that it's wide enough of the fielder in the deep"
"good length outside off, and tapped to point for a quick single"
"good length outside off, and he carves a punch off the back foot to Chigumbura at deep extra cover"
"full on off. Grips off the surface, and turns away. But defended with soft hands"
"full on leg, and pushed away to the gap between square leg and midwicket"
good length outside off. He walks down the ground and taps this away to cover
"good length on off, and spinning into his body. Tapped away off his pads"
"half-tracker outside off, and he smothers a cover drive to long off for one"
"good length outside off. Rides the bounce, and carves a square cut to deep point"
"short and wide, and he stands tall while crunching another square cut off the back foot. Stopped by point diving to his right"
"slower ball, and full just outside off. He's through the drive too early, and he inside-edges the shot to mid on"
"full on middle, and flicked off his toes to deep backward square. Singles on offer everywhere"
"back of a length outside off, and he mistimes a pull. The ball dribbles away to Tiripano at midwicket. Too late onto that shot this time"
"goes short again, but this time he gets into position early, and pulls along the ground to deep backward square"
"back of a length outside off, and pulled from the depth of the crease to deep square leg"
good length just outside off. Pushed away to point off the back foot on this occasion
"length ball, but too wide outside off. Allows the batsman to free his arms. Bunts it to deep extra cover"
"full on off stump, and that's a <b>glorious straight drive</b> from the captain. Shuffles across to the off side, and thumps this back past the bowler"
"good length on off, and flicked off the front foot with soft hands. The ball trickles away to midwicket, which is enough time for them to take the run"
"short outside off, and he tries to pull. But slips, and uncomfortably plays the shot to deep backward square. Drinks as well"
"tossed up just outside off stump. Tries to drive, but it's too full. Wedges it to cover"
"good length outside off, and cut off the back foot to point. The ball rolls away"
"full just outside off, and the cover drive has been crunched well. But Chatara's hard yards at long off saves a certian boundary"
"full outside off, and the offbreak is driven to cover"
"full outside off. Spinning inwards, and swept off his pads to short fine leg"
"<b>straight to midwicket!</b> Du Plessis was looking so good, but Mavuta has struck. Half-tracker on middle, and the well-timed pull shot picks out the fielder jumping upwards"
"length ball angling in, and pulled along the ground to deep midwicket"
"full on off, and angling away from the batsman. He shoulders his arms."
""
"full just outside off. Meets the ball on the front foot, and pushes to cover"
"good length just outside off. Moving away from Duminy again, and he mistimes his punch down the ground"
"full on middle, and he gets onto the front foot for a firm defensive shot"
almost a yorker on middle. Does well to shovel this back past the bowler's left to long off
length ball just outside off. Straightens after pitching. Pushed towards mid on
"full on leg stump, and Duminy comes dancing down the ground. Doesn't quite get to the pitch of the ball, and therefore drives to long on"
"<b>sharp turn!</b> Length ball on off, but zipping in. Flicked off his pads to deep square leg"
full just outside off. He tentatively comes forward to defend
"full on off, and spinning away. Fended"
"back of a length outside off, tapped off the back foot to mid off"
"good length outside off, and tapped off the back foot to point"
"good length on middle. Duminy covers his off stump, and blocks"
"<b>Mavuta is pumped!</b> Takes an acrobatic effort at deep extra to remove Duminy. Full on off, and he tried to smack this over cover, but can only take a thick outside edge. In the air for ages but the youngster makes no mistake"
"good length outside off, and cut square to point"
"full outside off stump, and comfortably tapped past cover for a single. Man in the deep cleans up. <b>His first ODI fifty!</b>. He has an ODI hundred though"
length ball just outside off. Worked off his pads to deep midwicket. Easy couple on offer
"flighted just outside off. Comes down with the bat to drive, but mistimed to mid off"
"full outside off, and the square drive dribbles away to point"
"good length on middle, and that's been flicked away to the leg side with ease"
"<B>sharp turn!</b> Deceives the batsman, but can't find the outside edge. Length ball outside off, but spinning inwards. Klaasen punches from inside the ball's line, and the delivery sneaks between bat and body"
"good length on middle, and worked off his hips to the leg side"
"full outside off, and he leans into an exquisite cover drive through the infield! Excellent"
"good length just outside off, and defended off the front foot"
"full outside off, and pushed off the front foot to Ervine at cover"
"full just outside off, and defended off the front foot"
"slower ball, full on off stump. Almost a yorker, and worked towards the leg side"
"good length on middle, and worked away towards square leg for a single"
"full on off stump, and pushed down the ground to mid off"
"good length outside leg, and he works this off his pads to deep square leg"
"good length on middle, and he rocks back to pull over the infield. Lands just short of deep midwicket"
"full on off stump. Spinning into the batsman, and worked away to square leg off his pads"
"back of a length on middle, and pushed down the ground to long off"
"full and very wide outside off. The keeper can't hold on to it either, and the ball dribbles away to the leg side"
"good length on leg, and worked away to the leg side again"
"length ball outside off, slapped to sweeper cover"
"short of length, stands tall and blocks"
"short ball, swivels around and pulls, and gets a top edge as it sails over deep fine leg"
"short of a length outside off, jammed back to the bowler from the crease"
"full outside off, leans forward and pushes to the left of mid-on"
"good length outside off, drops it into the off side for a quick one"
"back of a length, tucked to square leg"
"full, slid into leg, pushed to midwicket"
flicks a fuller ball to midwicket
"length ball, punched down to long-off"
"length ball, defended towards mid-off"
flicks against the turn and just <b>chips it over mid-on</b>
""
"full on middle and off, pushed to mid-off"
"slower length ball, gets forward and blocks"
"back of a length on middle, defended to mid-on"
"full outside off, pushed out to mid-off"
