"length ball in the channel, a bit of a wobble in the air, left alone by Rahul"
"length ball, coming in with the angle, Rahul was looking to play on the leg side, gets hit on the pads, a mild appeal for lbw but was a bit too high. A forward short leg is in position"
"in two minds there Rahul, length ball outside off, Rahul was looking to play initially, tries to take his bat out in the end, ends up dabbing towards slips"
"length ball outside off once again, stays beside the line and defends it on on the off side"
<B>searching for the yorker</b> but Rahul manages to find enough of the bat's bottom-half to drive past Gabriel. Races towards the long-off boundary!
"length ball, on off, and holding it's line. Defended off the back foot"
"back of a length outside off, and zipping straight through. He tiptoes to cut, but doesn't find the connection he wanted. Ball rolls away to point"
"length ball, just outside off stump, and fended away off the back foot"
"fuller, just outside off, and Rahane takes a big stride forward before shouldering his arms"
"length ball, just outside off, and he presses forward to meet the ball. Mistimes a defense to the off-side"
"fuller ball, on off, and Rahane makes a solid connection. Driven to mid-off. <B>Drinks too</b>"
"a touch fuller around off, comes forward and pushes it towards covers for a quick single"
"length ball around off, stays beside the line and defends it on the off side"
"length ball on middle and leg, tucked away towards square leg to get off the mark"
"short of length outside off, Rahul gets on his toes and punches it towards gully, the fielder puts in a dive to avoid any runs"
"fuller on middle and leg, defended with bat in front of pads"
"length ball, around sixth stump, left alone by Rahul"
"length ball in the corridor, some extra bounce there for Holder, Rahane is happy to let it go"
"a touch fuller and straighter this time, Rahane comes forward and blocks"
"length ball, pitching just outside off and going away, shouldered arms again"
"short of length around off, stays back and defends with an angled bat"
"a touch fuller but way outside off, a bit of late movement as well but Rahane is not interested"
"length ball around fourth stump, Rahane pushes it towards point from the crease"
"back of length around off, stays on the back foot and defends"
"length ball around off, once again defended from the back foot"
"length ball around off, defended from the crease"
fuller on the pads and clipped away gently towards midwicket for a couple
"length ball, just outside off stumps, Rahul makes sure he has his bat and gloves well away from the ball"
"length ball on middle and leg, taps it towards square leg"
"length ball but well outside off, Rahane is not interested"
"fuller outside off, comes forward and pushes it towards extra cover"
"fuller around off once more, Rahane pushes it towards cover from the front foot"
"fuller around middle and off, Rahane pushes it back towards the bowler"
"length ball on middle and leg, looks to work on the leg side, misses and gets hit on the thigh"
"length ball around off, Rahane is half forward but manages to keep it out, pushed towards point"
"short of length but too wide outside off this time, Rahul rocks back and cuts it in front of the square for four, through the covers"
"length ball around off, defended from the crease"
"overpitched around off, Rahul just shows the full face of the bat and sends it between the bowler and mid-off for four more"
"fuller around off, comes forward and offers a solid defence"
"short of length around off, goes back and defends again, Rahul growing in confidence, nice sound off the bat too"
"length ball in the corridor, and left alone by Rahul"
"brilliant from Holder, brings back in after an over of outswing, Rahane was late and unprepared, the ball goes between the bat and pad"
"length ball around off, defended on the off side"
"length ball around fifth stump, Rahane comes forward before shouldering arms"
"fuller around off, comes forward and defends, the bottom hand coming off the handle at the last moment"
"length ball around off, comes forward and defends"
"length ball but once again way too outside off, no shot offered"
"fuller outside off, perhaps too full, left alone by Rahul"
"length ball outside off, coming back in a bit, shouldered arms again"
"length ball around off, defended from the crease towards backward point"
"pitched up on this occasion and Rahul leans into the drive, gets a couple only because of the sluggish outfield"
"length ball around off, comes forward and defends solidly towards cover"
"goes full around middle and leg, looking for the yorker, Rahul digs it out towards short midwicket"
"short of length outside off, moves further away, another dot as Rahane leaves it alone"
"finally a single, Holder bowling a touch straighter this time, tucked away towards square leg for a single, <b>Rahane moves to 2 off 31</b>"
"fuller but well outside off, left alone by Rahul"
"a bit fuller than length, Rahul defends it towards cover-point"
"length ball on middle and leg, flicked away towards fine leg"
"short of length on middle and leg, flicked towards deep square leg for one more"
"fuller outside off, around fifth stump and left alone by Rahul"
length but way too outside off to draw any interest
"length ball outside off and coming in a bit off the seam, defended from the back foot"
"fuller from Cummins and Rahul was just waiting for it, full face of the bat and four more to long-off"
"length ball around off stump, stays back and defends at the last moment"
"length ball but a bit too outside off, Rahul leaves it alone again, nice carry to the keeper"
"length ball around off, Rahane stays back and defends"
"fuller and wider outside off, leaving the batsman as well, left alone"
"fuller around off, comes forward and drives but straight towards mid-off"
"short of length around off and seaming away, shouldered arms"
"<b>a thick outside edge but well short of the second slip</b>, soft hands from Rahane, was a fuller one from Holder but the batsman was stuck in the crease, beats the second slip for four"
"length ball, in the corridor, Rahane leaves it alone"
"fuller around off, comes forward and drives it towards extra cover, a partial stop there allows a single"
"too full and way too outside off, left alone by Rahane"
"length ball around off, stays in the crease and defends"
"length ball, starting from well outside off and coming in, Rahane leaves it alone"
"a touch fuller but around sixth stump, Rahane comes forward before shouldering arms"
"finally the bouncer, Rahane was a bit late but manages to pull it down towards deep square leg where Roach looks to stop it with his foot but makes a mess and ends up conceding a boundary"
"length ball on middle and leg, tucked away towards deep square leg, two is the call and they get two"
"back of length around off, defended from the crease"
"length ball on middle and leg, misses the flick and is struck on the thigh"
"length ball in the corridor, left alone by Rahul once again"
"fuller on middle and leg, plays it gently towards mid-on and sets off for a quick single, the fielder was on his heels"
"short of length outside off, looks to come forward but has to defend from the crease"
"fuller outside off, drives it towards covers but fails to find a gap"
"length ball in the corridor, left alone by Rahul"
"fuller outside off, pushed through covers, calls two and gets it easily"
"short of length outside off, extracting good bounce but Rahul stays away from the line of the ball"
"short of length but once again away from the batsman, Rahul is happy to let it go"
"length ball in the corridor, left alone by Rahul"
"length ball, just outside off, and left alone"
length delivery but wider outside off. Seaming further away and left alone
"length ball angling into his pads, and worked away to square leg. No chance of a single though"
"fullish, on off stump, and tapped to wide mid-on"
"full, on middle, and Rahane offers the bat's straight face to defend. Played back to Roach"
"full, on off and angling into his pads. Firmly defended back to Roach once more"
"full, just outside off, and the attempted front-foot defense takes an inside edge. <B>Hits him right where it hurts men the most!</b> He's on his knees..."
"length ball, just outside off, and he stays on the back foot before punching to cover. They scamper across for one"
"full, just outside off and he check-drives past mid-off. Fielder pulls it back - so just a single"
"<B>nice sound!</b> Full, just outside off, and he leans into a drive. Plays it into the ground, so the ball takes an awkward bounce, but not high enough to clear the fielder at cover"
"<b>stellar!</b> Overpitched, too wide, and he leans into a square drive - this time finding the gap between cover and point"
"full, but wide outside off. Rahul takes a giant stride to cover his off-stump before shouldering his arms"
"full, on middle, and tapped back to the bowler off the front foot"
"full, on middle, and tapped into the gap in front of midwicket. Rahul calls early for the single"
"full outside off, and a bit of swing away from the batsman. Rahane opens his shoulders, and thumps a drive past cover's left with ease for four"
"full, just outside off. Gently defended to cover"
"full, on off stump. Pushed back past the non-striker off the front foot"
"full, on off and angling into his pads. Blocked off the front foot"
back of a length outside off but angling into his waist. Clipped off his hips behind square for a single
"full just outside off, and he covers his stumps before shouldering his arms. Extra-good judgment, considering the ball was fairly close to the stumps"
"full, on off and he covers his stumps before driving to mid-on"
"full, just outside off, and he prods forward to shovel a straight-drive past the non-striker. Past mid-on, and the fielder doesn't even bother giving the ball a chase"
"full and wide outside off, and Rahane can't help but play at it. Attempts a cover drive, but misses altogether. Could've easily taken the outside edge"
"length ball outside off, and sizzling straight through to the keeper. Left alone by Rahane"
"length ball, just outside off, and he firmly punches off the back foot. Can't beat point though"
"full, on leg stump, and the leg-side clip takes a <B>leading edge</b> to point"
"full, on off and angling in. Tries to nudge it towards square-leg, but pads it instead"
"full, on off, and firmly blocked off the front foot to cover"
"full, on leg stump, and he attempts to drive with the straight bat. Fails to clear mid-on though"
"length ball outside off, and he shuffles across to cover off stump before shouldering his arms"
"length ball, just outside off, and fended off the back foot. Ball settles near Rahane's toes"
"full outside off, and the ball takes an <B>awkward bounce</b> into the keeper's gloves. Collected by Hope from near his face"
"full outside off, and he comes forward beautifully to meet this ball under his helmet. Caresses the drive too, but finds the fielder placed at mid-off"
"full, just outside off, and the front-foot defense takes an inside-edge. Ball rolls away to the leg side"
"length ball, just outside off, and he fends it away off the back foot"
"length ball, just outside off. Fended off the back foot to cover"
"length ball in the corridor, Rahul is happy to leave that alone"
"length ball around off, coming in after pitching, defended from the back foot"
"length ball around off, stays back and drops it on the off side, looks for a single but that's not there"
"fuller around off, leans into the drive but straight towards extra cover"
"length ball around off, goes deep inside the crease and turns it on the leg side"
"fuller around off, comes forward and defends it right under his eyes"
"fuller around off, comes forward and defends it in the direction of mid-on"
"fuller on the stumps and driven down the ground, Roach got a hand on it which helps Gabriel from mid-on to chase it down and pull just inside"
"fuller and wider, Rahul latches on it, a big front-foot booming drive through covers for four"
"short of length outside off, chops it towards cover-point"
fuller outside off and driven again but straight towards mid-off this time
"fuller around off, comes forward and plays it towards extra cover, was looking to steal a single but it went too fast towards the fielder"
"length ball outside off and coming in with the angle, left alone"
"fuller around off, looks to drive on the front foot but the doesn't quite middle it, the ball dribbles towards mid-off"
"length ball outside off, a bit of seam movement away, left alone"
"length ball around off, stays in the crease and defends"
"length ball on middle and leg, Rahane misses the glance, an appeal for lbw but was heading down, collects a leg-bye to square leg"
"length ball around off, defends along the line of the ball"
"fuller around off, driven firmly but straight towards mid-on"
"length ball around off, Rahane gets behind it and defends with soft hands"
"length ball around off, moves across and defends towards short midwicket with a straight bat"
"length ball around off, comes forward and pushes it towards cover"
"length ball around off, a big front foot forward to smother it"
"length ball around off, stays back and defends"
"length ball around off, a bit of spin for Chase, stays back and defends"
"<b>has he got Rahul? Down the leg side?</b> Looks like, yes. It was fuller down the leg side, Rahul went for the glance, and perhaps got a feather, Hope does well to move towards the leg side and pouch it. Rahul looks at his partner and eventually decides to leave"
"fuller around off, comes forward and plays it towards short midwicket"
down the leg side once again but Vihari leaves it alone
"length ball around off, defended from the back foot"
"fuller on the stumps, works it towards short midwicket"
"fuller on the pads and clipped away off his legs, in front of square. The fielder can only chase it all the way"
"length ball outside off, left alone by Rahane"
"length ball around off, comes forward and leaves it alone once more"
"short of length outside off, coming in a bit after pitching, no shot offered"
"short of length but further away from the batsman, no interest shown"
"length ball outside off, and another leave from Rahane"
"length ball around middle and leg, turns it behind square leg from the back foot"
"fuller on middle and leg, played towards short leg"
"length ball on middle and leg, goes back and works it towards short fine leg"
"fuller on the stumps, driven towards mid-on for a quick single, the fielder was a bit deep and that allowed the single"
"fuller and flatter outside off, Vihari stays away from it"
"length ball around off, comes forward and turns it towards short fine leg"
"short of length outside off, coming in with the angle, Rahane dabs it between second slip and gully to bring up <b>India's hundred</b>"
"length ball outside off, Rahane watches it closely before leaving it alone"
"fuller on the stumps, full face of the bat from Rahane but straight towards mid-on"
"a touch fuller on the stumps, comes forward and drives it past the non-striker, Gabriel moves across swiftly to make the stop"
"length ball around off, comes forward and blocks"
"length ball around off, comes forward to defend, gets an inside edge towards square leg"
"fuller but down the leg side, left alone"
"short of length outside off, goes back and steers it behind point, beats the sweeper cover with ease"
"length ball outside off, a thick outside edge past first slip as the batsman plays for the spin but the ball holds its line"
"length ball around off, goes back and defends with a straight bat"
"fuller around off, whips it towards short midwicket who makes a partial stop and deflects the ball towards mid-on"
"a low full toss around off, comes forward and gently pushes it towards extra cover"
"short of length starting from outside off, and coming back in big with the angle, going past Vihari's face who does well to sway away"
"another lifter angling in, Vihari is one again up to it, drops his hands this time"
"fuller outside off, but far far away from the stumps, left alone"
"length ball on middle and leg, turned away towards square leg"
"a touch fuller but down the leg side, Vihari fails to connect the glance"
"another short one, angling towards the batsman, going over Vihari's left shoulder as he ducks under"
"length ball on middle and leg, turned away towards square leg"
"short of length outside off, goes back and cuts it behind point for a couple"
"fuller around off, comes forward and defends"
"skips down the ground but doesn't reach to the pitch of the ball, still goes for the lofted shot. Cummins runs backwards from mid-on, covers good ground, gets his hands to it but cannot latch on in the end"
"fuller around off, comes forward and drives, short midwicket intercepts"
"length ball around middle and leg and spinning further down, Rahane looks to withdraw at the end but it brushes his gloves and just goes past Hope"
"short of length outside off, dabs it towards cover-point for one"
"short of length around off, stays back and defends it towards short leg, who has a shy at the stumps but Rahane was always inside his crease"
"length ball on the stumps, pushes it towards mid-on"
"short outside off, Rahane stays back and pulls it towards deep square leg, in complete control there"
"length ball outside off, in the corridor, left alone"
"fuller around off, comes forward and defends it towards the bowler"
"length ball but down the leg side, Rahane ensures this time he is away from the ball"
"length ball around off, defended"
"length on middle and leg, turns it on the leg side for one"
"length ball around off, goes back and across and blocks"
"length ball around off, comes forward and works it towards forward short leg"
"<b>was there some glove?</b> Length ball, down the leg side, Vihari goes for the flick but misses. Not sure if there some bat or glove involved but Hope fails to collect"
"length ball around off, comes forward and pushes it towards deep backward point"
"short of length outside off, lifting towards the batsman who works it behind square leg"
"fuller around off, comes forward and drives it towards the left of mid-off"
"length ball around off, stays behind the line and blocks"
"length ball around off, turns it towards forward short leg who dives to his left to make a one-handed stop"
"short of length around off, pushes it towards extra cover off the back foot"
"full, on middle, and he drives with the turn to midwicket"
"<B>swept furiously!</b> Full, on his toes, and he uses Chase's turn to whip this fine past the keeper"
"<b>extra bounce!</b> Length ball outside off, but turning in with some added bounce off the deck. Too close to his body for the cut, but still manages to play behind square for a couple"
"length, outside off, and Vihari skips down the wicket to meet the ball. defended"
"whippy delivery, full on middle and turning in.Worked off his pads to the leg side"
"length ball on middle, and once again some extra bounce off the pitch. Vihari was squaring up to pull, but checks his shot after seeing that the ball was nearly throat-high"
"back of a length, just outside off, and he rocks back to block off the back foot"
"length ball outside off, and left alone completely. Through to Hope"
"full, just outside off, and he taps this back to the bowler"
"full, on off and he meets this under his eyes to drive. Firmly struck past the non-striker, but can't beat mid-on"
"full and wide outside off, and he drives along the ground through the covers. Man near the boundary, but he can't stop Rahane from getting <B>his 18th half-century!</b>"
"length ball, on middle, and fended away to cover"
"tossed up on middle, and <B>whipped</b> past short leg. Fielder in the deep though"
"length ball, outside off, and he opens the bat's face to nudge towards point"
""
"full, on leg stump, and nudged to the leg side"
""
"length ball, on off but skidding into Rahane. He rocks deep into his crease to block"
"full, on off stump. Blocked by Vihari"
"back of a length, just outside off, but firmly blocked off the back foot on this occasion"
"short of length into the rib cage, Vihari gets inside the line of the ball and works it past the keeper"
"another short one from Cummins, Rahane pulls it in front of the square, sprints back for the second"
"fuller around off, drives it to the right of the mid-on fielder, not from the middle of the bat but will get three"
"length ball around off, pushes it towards cover-point"
"length ball around off and middle, turns it towards short fine leg"
"a touch fuller around off, comes forward and flicks it towards midwicket for a couple"
"short and down the leg side, Rahane pounces on it, pulling it between the keeper and short fine leg for four"
"length ball around off, plays forward, defending and does well to keep it down"
"length ball around off, moves back and across a bit to turn it towards short fine leg"
"length ball on middle and leg, works it towards short fine leg once more"
"length ball around off, comes forward and defends"
"fuller around off, almost squaring the batsman up who pushes at it with hard hands, <b>a thick outside edge</b> goes into the ground and through the slip cordon"
"searing length ball outside off, coming in with the angle and moving away off the wicket to beat the forward push"
"<b>another edge</b>, goes over first slip this time, was a touch short but not much room as the ball came in after landing, Vihari cuts and cuts hard. A thick outside edge evades Bravo at first slip"
"length ball around off, comes forward and defends"
"length ball around middle and leg, defended towards short midwicket"
"short of length around off, goes back and cuts it towards deep extra cover, sweeper cover sprints to his right, gets his foot to stop the ball but it still rolls on to the boundary"
"overpitched this time, Rahane drives it towards mid-on"
"length around middle and leg, defended"
"a touch fuller around off, comes forward and blocks"
"pitched up on middle and leg, whips it towards long-on for one"
"short of length outside off, some extra bounce this time but Rahane does well to get on the top of it and cut it towards sweeper cover"
"length ball around off, defended from the front foot"
"length ball, just outside off, pushes it towards cover-point"
"fuller around off, comes forward and flicks it towards wide long-on, Holder puts in the chase and stops it just inside"
"length ball outside off, looks to steer it past slip but ends up deflecting it towards second slip, on the bounce"
"too full on the stumps and Vihari just punches it past mid-on for four, easy pickings there"
"short of length around off, stays on the back foot and drops it at his feet"
"starts with a length ball outside off, left alone"
"length ball around off, comes forward and defends it towards extra cover"
"length ball on middle and leg, flicked towards square leg"
"length ball around off, Rahane stays back and blocks"
"short and wide outside off, Rahane pounces on it, cuts it hard to the right of the backward point fielder"
"<b>beaten</b>. Looked a bit causal there after an audacious shot last ball. Was a length ball around off, Rahane was walking into the shot, was nowhere near the pitch of it, pushes at it in the end and gets beaten"
"fuller around off and swinging in, Vihari was playing for the length, away from the body and gets beaten on the inside edge, Hope fails to take it neatly and concedes a bye"
"length ball outside off, left alone by Rahane"
"length ball around off, gets behind the line and defends down the ground"
"short of length outside off, but not too wide, Rahane still goes for the cut and gets beaten. An enquiry about caught-behind by the bowler but there was no bat involved"
"short of length outside off, Rahane watches it all the way into the keeper's gloves"
"short of length around off, stays back and works it towards sweeper cover"
"fuller around off, Rahane comes forward and flicks it towards the right of mid-on"
"short of length around off, Vihari was looking to work it on the leg side but the ball stops at him, ends up playing down the wicket"
"length outside off, stays beside the line and pushes it towards cover-point"
"fuller and wider, late movement for Roach but Vihari shows no interest"
"Roach provides the breakthrough, was a length ball outside off, moving away a little bit after pitching and taking the outside edge as Vihari gets squared off, trying to defend. Hope does well to dive forward and take neat low catch, the ball was dying on him"
"length ball outside off, Pant comes forward before leaving it alone"
"short of length outside off, Rahane stays back and defends"
length ball but angling down the leg side
"length ball, once again on the pads, flicked away towards fine leg"
short of length around off and moving away after pitching. Pant was looking to play at it but gets beaten by movement and extra bounce
"length ball around off, comes forward and pushes it towards cover-point"
"goes for the yorker but ends up bowling a low full toss on middle and leg, Pant guides it towards the wide long-on boundary to get off the mark"
"length ball around off, comes forward and blocks"
"short of length outside off, steered past backward point for one"
"length ball but way outside off, Pant leaves it alone"
"fuller around off, comes forward and drives it towards mid-off"
"length ball outside off and coming in with the angle, Pant leaves it alone. Roach has his hand on his head but was a fair bit away from the off stump"
"fuller around middle and leg, clips it towards midwicket for a quick single"
"length ball around off, comes forward and looks to push it towards covers, the ball takes the outer half of the bat and goes towards gully"
"length ball angling towards middle and leg, Pant helps it towards square leg"
short of length outside off and Pant chops it past the backward point fielder's left for his second boundary
"length ball around middle and leg, defended towards short midwicket"
"length ball on middle and leg, defended once more"
"an attempted bouncer but down the leg side, Pant ducks instinctively"
"length ball around off, comes forward and blocks"
"a touch fuller around off, another solid front-foot defence"
"fuller on the pads, clipped away towards fine leg, Rahane sprints back for the second and makes it safely"
"length ball around off, gets behind it and defends it towards mid-on"
"fuller around off, comes forward and blocks again"
"length ball around off, pushes it towards covers for a quick single"
"fuller around off, defends it towards mid-on from the crease"
"length ball in the corridor, Rahane leaves it alone"
"a touch fuller outside off, Rahane was rooted to the crease but manages to defend it at the last moment"
"<b>chopped on!</b> A big wicket for West Indies. Was a length ball outside off, Rahane looks to punch it off the back foot. The inward movement and the extra bounce means he could get only an inside edge that deflected on to the leg stump"
"fuller on the pads, clipped away towards fine leg to get off the mark"
"short of length angling across Pant, who drops it towards extra cover"
"fuller outside off, Jadeja comes forward and drives it towards cover"
"fuller around off, comes forward and straight-bats it towards mid-off"
"a touch shorter and wide outside off this time, left alone by Jadeja"
"fuller and wider outside off once more, another leave from Jadeja"
"length ball around off, comes forward and defends it right under his eyes"
"fuller around off and coming back in a bit to hit Jadeja on the pads, a loud appeal for lbw but Jadeja is signalling it hit his bat. Given out and the batsman immediately <b>goes for a review</b>. Replays confirm there was a big inside edge, Richard Kettleborough has to change his decision for the second time today"
"fuller and angling across Pant, who comes forward and looks to defend, <b>a thick outside edge</b> but lands well short of third slip"
"fuller, and wider outside off, left alone by Pant this time"
"fuller from Gabriel, Pant was moving across and looking to flick it away, misses and gets hit on the front pad. An appeal for lbw but this one pitched outside leg"
"length ball on the pads, flicked away nicely but cannot beat square leg"
"short of length and angling away, Pant was perhaps shaping for a pull but was late and adjusts to defend down the ground rather awkwardly"
"length ball but way outside off, left alone"
"fuller but around eighth stump, Jadeja doesn't bother"
"length ball, a bit closer to the stumps, but still not close enough to get Jadeja interested"
""
"pitched up on the stumps, Jadeja comes forward and pushes it towards mid-on"
"length ball around off, a big stride forward and blocked"
"length ball around off, defended from the back foot"
"short of length outside off, Pant lets it go through to Hope"
"fuller outside off, Pant leans into it and drives it through covers, two fielders chasing it but the ball wins in the end"
"pitched up outside off once again, comes forward and drives it towards mid-off"
length ball swinging in to the batsman who comes forward and gets almost cramped. Manages to defend it on the leg side
"length ball around off, defended from the front foot"
"fuller outside off and driven through extra cover, Gabriel puts in the chase and keeps it to two"
"full, from around the wicket. Tries to lift it over cover but slices it instead. Falls just beyond the fielder at cover"
"tossed up, wide enough for Pant to chase it, and he <b>clobbers</b> a drive over cover! <B>Team 200 too</b>"
"full, just outside off, and driven away from his body to wide long off"
"back of a length, on middle, and he tries to nudge it to the leg side"
"full outside off, and turning away. Driven to cover"
"full just outside off, and he reaches forward to block"
"length ball, outside off, and left alone by the batsman. The angle takes it through to Hope"
"<b>this takes off!</b> Length ball on middle, and angling away from Pant. He wants to defend at it from near his face, but the ball takes such a wild bounce that it flies past his glove instead"
"length ball, on leg stump, and fended with the bat's open face to cover"
""
"full, on off stump and angling away. Left alone once again"
"length ball on middle, and angling further away. He shoulders his arms"
"length ball, outside off, and turning away. Left alone"
"full outside off, and he reaches forward to tap towards point"
"length ball, on off and turning away. Defended away off the back foot"
"full on off stump, and Jadeja takes a huge stride forward to defend"
"full, on off, and he mistimes a straight drive to long on for one"
"full, just outside off, and he pushes at this - away from his body - to cover point"
"length ball, just outside off, and fended away from his body to point"
"<b>nearly played on!</b> Full, just outside off, and he attempts to defend. Ends up chopping it though"
"length ball, on middle, and blocked away"
"full, on middle stump, and Jadeja prods forward to defend towards cover"
"full, on middle, and defended"
"full, just outside off, and left alone once more"
"length ball, wide outside off and turning away. Left alone"
"length ball outside off, and he guides this away to point off the back foot"
"full, on off stump. Driven back to Chase"
"full, just outside off stump. Blocked back to the bowler"
"length ball, outside off, and left alone"
"length ball on the stumps, Pant goes back to cut but finds backward point"
"length ball on middle and leg, Jadeja defends it easily"
"length again but angling across this time, Jadeja was looking to cut it but gets beaten by the extra bounce"
"snorter, lifter, jaffa! Just short of length and leaving the batsman, Jadeja was looking to follow the ball but it swung away at the last moment to beat him. Wasn't far away from the gloves"
a touch fuller this time but down the leg side
"another short one, rising towards the batsman, Jadeja brings his hands up, almost taking his eyes off the ball but manages to keep it down"
"a touch fuller around, pushes it towards cover from the crease"
"starts with a fuller one outside off, Pant leans into it and finds the gap through covers, comes back for the second"
"fuller around off, comes forward again and works it towards mid-on, the bat turning in his hands at the point of contact"
"length ball outside off and moving away late, Pant leaves it alone"
"too full this time and Pant once again drives it through covers, slow outfield means it's two only"
