"Cover drive followed by a pull shot! slightly short in length, on off stump, Imam pulls it away and keeps it down to wide of backward square leg fielder for four"
"back of length, on off stump, punches to point"
"good length ball, angling down the leg side through to keeper for a wide"
"back of length, stands tall and defends to leg side, thinks about a run but decided against it"
"short in length, outside off, cuts it to backward point for a single and gets off the mark"
"good length ball, just outside off and left alone"
"lovely delivery, pitches on middle stump and moves away, Imam tries to defend and gets beaten"
"good length ball, pushes to cover, wants a single, sent back by Abid with a loud NO"
"full ball, on middle stump, gets right behind it and defends to mid-on"
"full ball, on off stump, pushes to mid-off and runs a risky single, Abid was too slow to react at bowling end, fielder throw was bit wide and no damage done"
"back of length, tries to pull, mistimes to leg side"
"good length ball, on middle stump, tucks it away to short midwicket"
"full ball, on middle stump, pushes to wide of mid-on for a single"
"good length ball, worked away to long leg for a single"
"full ball, on off stump, drives to wide of mid-off for a single"
"back of length, on off stump, punches to cover"
"Top shot! Overpitched just outside off, Imam played a glorious cover drive and no chance for the cover fielder"
"good length ball, outside off and left alone"
"back of length, outside off and angling away, lets it go"
"good length  ball, on leg stump, turned to midwicket, Abid wanted a single, sent back by Imam"
"fuller in length, on leg stump, turned away to fine leg for a single"
"full ball, just outside off and moves away, Abid goes for the drive and misses it"
"good length ball, on leg stump, tries to flick it away, inside edge onto pad and goes to fine leg"
"Slightly short in length, Abid pulls it away to deep midwicket fence for four"
"full ball, outside off, goes for the drive, edges it down to third man for a single"
"full ball, on off stump, pushed bcak to bowler"
"good length ball, on leg stump, turned away down to fine leg for couple of runs"
"good length ball, on off stump, punches to cover"
"full ball, on off stump, defended back to bowler"
"good length ball, on leg stump, turned to midwicket"
"from wide of the crease, pitches just outside off and moves away, Abid tries to push at it and gets beaten"
"full ball, on leg stump, tries to flick it away, misses and off the pad to leg side for a legbye"
"short in length, outside off, drives to cover"
"short ball, goes for the pull shot, gets beaten by pace, just clear the mid-on fielder for couple of runs"
"good length ball, on off stump, pushes to short cover"
"full ball, on target, defended back to bowler"
"again good length, comes down the wicket and tries to hit it over midwicket, mistimes again"
"Fuller in length, just outside off, drives on the up and in the air just wide of diving cover fielder for four"
"full ball, on off stump, pushes to mid-off for a quick single"
"short and wide outside off, cuts it well but does not find the gap at point"
