"<b>Luke Ronchi is gone first ball!</b> Full just outside off, and Ronchi goes for an expansive cover drive. Thick outside edge, and pouched by first slip diving to his right. What a start for LQ! A golden duck for Luke Ronch, would you believe it"
"full on off, and he crunches a drive from near his toes. Through to cover point on the bounce"
"<b>Asif joins the party!</b> Full on off, and he clears his front leg, before absolutely hammering this six over long on. What a shot. <B>Lamichhane concedes 46 in 4!</b>"
"back of a length just outside off, and it's a slower ball. Delport drags a pull to deep midwicket"
"full on off, and the ball angles away from Asif. Tries to go for an expansive drive over cover, but the ball goes past his outside edge"
"full outside off, and he opens the bat's face, and plays a square drive. Flies off the bat's edge, and races away to the backward-point fence"
"<b>tees off!</b> Full on middle, but the slower ball is picked early. Front leg cleared, and ball's been hammered over cow corner"
"full on off, and he plays an inside-out drive to deep extra cover"
"full toss, wide outside off, and slapped to deep point"
"overpitched, wide outside off, and going further away. Umpire says that's wide"
"length ball, wide outside off, and Delport backs away to make some room. Ball goes just inside the tramlines, so the umpire says that's a 'fair ball'"
"<b>lucky!</b> Full outside off, and he backs away to hammer this over cover. Thick outside edge past the keeper's left, and third man can't cut it off either. <B>Fifty partnership already!</b>"
"full on off, and he drills this straight back to the bowler. Rauf collects, and has a shy at the batsman's stumps, but the ball hits Delport near his glutes. Rauf apologises right away, and the umpire has a chat with the bowler. Not sure why he was aiming at the stumps in the first place. Delport was well in. Frustration, perhaps?"
"<B>he responds with a four!</b> Full and wide outside off, and he slaps this through the covers! Races away for four"
"length ball on off, and he drills this down to long on"
"full on middle, but swinging down leg. Flicked to short fine leg, and Delport's running towards the dangerous end. Direct hit from the fielder, but Delport's in"
"<b>sweeeeeeeeeet</b> Full on off, and he check-drives a shot right past Delport! Long-on tries to dive and stop, but his effort is futile"
"slower ball, length on off, and Asif Ali simply flat-bats this shot over long on! Picks the change-up so well"
"full on middle, and he check-punches a shot over long on! Pure timing, no brute force this time. Proper bat swing, and then he allows the bat's face to do the rest. Jabbed over long on. Carnage."
"full and wide outside off, and he drills a flat-batted cut to deep point"
"yorker on middle, a good comeback delivery. Dug away to the off side"
"full and wide outside off,and Delport makes some room, before thick-edging a cut over to deep point. <B>Shaheen concedes 62 in his four overs</b>"
"full and wide outside off, and he drags a shot to wide long on for a single"
"knee-high full toss, and <B>whipped over square leg!</b> Muscled to the leg side, and the 62metre six gets him the record for <B>joint-fastest half-century in the PSL</b>"
"play and a miss. Full and wide outside off, and the attempted leg-side slog is missed"
"back of a length on middle, and Asif ducks under this. No wide given!"
"yorker on leg, and <b>flicked beautifully </b> past deep backward square!</b> Races across the grass for another four"
"back of a length on middle, and he tries to pull. Hit in the air, and straight to deep midwicket, but that's been <B>dropped</b> by Agha Salman, and <B>Islamabad finish on 238 for 3!</b>"
"length ball on off, and angling in slightly. Slapped away to point. The innings starts with a dot"
"length ball on off, and he drags a pull <B>through to cow corner!</b> Comes off the bat's inside splice, but Fakhar will take it. The bat's broken too! New blade, please!"
"<b>ramped</b> but only to short fine leg. Full on off, and he shuffles across the stumps to lift it over the infield. Ball doesn't go where he desired"
"length ball, wide outside off, and the attempted cut is mistimed to point"
"full and wide outside off, and the attempted drive takes a <B>thick outside edge</b> over the vacant slip cordon! Flies away for a one-bounce four"
"full and wide outside off, and the attempted cover drive is toe-ended towards the off side"
"full on off, and he clears his front leg, before <B>clobbering</b> this over the fielder at midwicket!"
"<b>ramped over short fine leg!</b> Full on off, and Fakhar goes across the stumps, before Marillier-ing this over the infield. Clears the rope too"
"slower ball, length ball on leg, and Fakhar has all the time to swivel and pull. Clears the backward-square boundary!"
"full, on off stump, and thumped off the back foot to mid-off"
"length ball, on off, and Fakhar goes for a wild pull. <B>Takes a top-edge</b> but Fakhar's bat-speed ensures it goes over the keeper's head for half-a-dozen. What is happening tonight?!"
"overpitched on off, and Fakhar drills a cover drive through the off side! Poor effort from the fielder at cover, whose diving effort should've stopped the ball. Massive over. Musa concedes 26!"
"slower ball, full toss just outside off, and Devcich toe-ends a leg-side slog over midwicket, and the ball nearly goes for a six!"
"full just outside off, and he digs this down to mid-off. No run there, but they manage to scamper across for one"
"full just outside leg stump, and Fakhar shuffles across to ramp this again. Misses the shot, though, and the ball nearly clips leg stump"
"full on off, and he hammers a shot down to mid-off. No chance of a run there"
"full on off, and he digs this from the blockhole. Ball rolls away to cover as the batsmen pinch a single"
"slow full toss on off, and he slices a drive to mid-off for a quick single"
"full and wide outside off, and Devcich comes down the wicket before slicing a shot over extra cover! Clears the boundary with ease. <B>As easy as ABC</b>"
"slower ball, wide outside off, and Devcich tries to smack this through the off side. Totally deceived by the lack of pace. The 110kph ball goes through to Ronchi"
"length ball on off, and he mistimes a pulled shot to deep midwicket"
"length ball, just outside off, and he steers a shot to point for a single. <B>Fifty up for Lahore in just 22 balls</b>"
"low full toss on off, and he drills a drive down to mid-on"
"slower ball, full and wide outside off, and he mistimes a slapped-shot to cover"
"full and wide outside off, and he gets down on one knee, before hammering a shot to cover. Can't clear the infield"
"full and wide outside off, and he makes room to lift this over cover. Toe-ends the shot, and it's been easily taken by cover. Too wide for Devcich to even try the shot. There's the first wicket for Islamabad!"
"length ball on off, and skidding inwards. Nudged to square leg for a quick single. Off the mark straightaway"
"length ball on middle, and going towards the offside. Fakhar shuffles across to ramp again, but the ball is not full enough for it. Through to Ronchi at some real good place"
"full on off, and he swings across the line. But the ball takes a thick <B>outside edge</b> and beats the fielder at third man for four! Fakhar will take it"
"back of a length on off, and he goes for a pull. Ball stays slighty low, and goes over off stump to Ronchi. Just five runs off that over. Priceless"
"length ball on leg stump, and skidding through. Tries to flick towards the leg side, but the ball hits his knee roll"
"slower blal, full on off, and he times this straight drive well. Just past the bowler's left, and mid-on runs to his left to slide and stop the ball. Parries it towards mid-off, but saves the boundary"
"back of a length, wide outside off, and the cut-shot finds the fielder at point"
"yorker on leg, and he inside-edges a shot right into his boots. Ball rolls away to the off side"
"length ball, wide outside off, and he drags this slower ball in front of midwicket! Ball dribbles away to the leg-side fence for four. Well improvised by Wessels!"
"yorker angling into leg stump, and flicked off his toes to deep midwicket. <b>No ball though</b> so that's a free-hit"
"full on middle, and he drills a shot to mid-on. Dot"
"length ball on off, and he splices a pull to midwicket"
"length ball on off, and he tries to flat-bat a shot over long on. Toe-ends the shot, and that's been taken by the long-on fielder sliding in! He claims it's 'out' but the umpires want to check. They ask Fakhar to wait. Soft signal 'out'. Big moment in the game as we wait for the TV umpire. Replays suggest that the fielder had his hands under the ball while sliding in from long-on. Looks ominous for Fakhar... and yep, he's got to go! Superb high-pressure catch by Salt, and Fakhar's 20-ball innings comes to a close"
"length ball on off, and cramped for space. Wessels looks to punch towards the off side, but the shot's been <B>inside-edged</b> to the fine-leg boundary!"
"low full toss on leg stump, and he hammers a shot to wide long-on for a single"
"length ball on off, and angling away. Haris tries to steer this fine, but the ball goes past his outside edge"
"length ball on off, and he tries to cut this square. But Asif at point <B>leaps up in the air</b> and picks out a catch from over his head! Excellent fielding on display by the Islamabad fielders, and that's a double-blow for Lahore"
"length ball from Shadab, and that's been pulled over deep midwicket! <B>Fielder was near the boundary</b> but the ball goes just over Walton. Risky"
"full outside leg, and Wessels tries to sweep. Misses, and that's a wide"
"faster one, full outside off, and the drive has been misfielded by cover. They take a single"
"full on leg stump, and nudged off his toes to midwicket"
"full on off, and he drives for the ball that comes inwards. But the legbreak turns away, and the ball has pegged back off stump! Classical legspinner's wicket"
"wrong'un, lands full on middle, and turning into his pads. Misses the leg-side flick"
"googly to finish the over. Full outside off, and driven to short cover"
"back of a length ball on off, and he rides the bounce to punch to mid off. Fielder tries to aim at the bowler's end, but that causes some overthrow runs"
"back of a length on off, and he rides the bounce well, before pulling a shot-arm jab over midwicket! Flies away to the boundary"
"full on middle, and <B>furiously flicked</b> past the fielder at short fine leg! Four more for Lahore"
"length ball too close to off stump. Tries to cut square, but not a good shot-option given there was no room. Through to Ronchi"
"length ball on middle, and he slices a shot to point for a quick single"
"back of a length on off, cramping Wiese for room. Flicked to square leg, and he gets off the mark. <B>RRR: 13.45</b>"
"extra flight, so full toss just outside off. Punched down to long off for a single"
"full on off, and he lifts this over cover. Doesn't have the power to find the boundary though. Rolls away to deep extra cover"
"flatter, wide outside off, and cut square to the sweeper-fielder on the off side"
"flighted wide outside off, and he goes for an expansive drive. Slices it over point, and Faheem - at deep point - can't cut it off despite an acrobatic effort in the deep"
"full and fast, nearly at the base of off stump. Sohail needs to adjust, by reducing his bat swing. Inside-edged onto his pads"
"flighted full outside off, and Sohail gets down on one knee, before <B>clobbering</b> a six into the sightscreen! Classy way to get your <B>team hundred!</b>"
"full and wide outside off, and he gets his bat down with the open face, and guides a shot to the backward-point boundary!"
"length ball angling in, and the leg-side flick comes off his pads. They scamper across for a single"
"length ball on middle, and nudged off his pads to deep midwicket for a walking single"
"length ball on off, and angling in. Nudged off his pads to the midwicket region. Played so softly that they can actually steal a second run"
"full on leg, and he shuffles across to paddle this over short fine leg. Can't connect!"
"length ball, just wide outside off, and punched to cover for a quick single"
"full, just outside off, and he tries to drive over cover. Misses because of the legbreak"
"full on leg, and he clears his front leg, before smashing a six over long on! Straight over the fielder"
"full on middle, and the ball turns further away from Sohail. Tries to muscle towards the leg side, but misses"
"length ball, wide outside off, and he flat-bats a hammered shot past the non-striker to the long-off fence!"
""
"length ball, on off, and punched to long off"
"full on leg, and flicked to short fine leg for a single. Another no-ball from Rumman"
"back of a length on middle, and the attempted pull has been gloved <B>over the keeper's head!</b> He's lucky that didn't go for six, given how the day has gone for the bowlers. <b>Fifty partnership too!</b>"
"slower ball, full on off, and he whips this down to long-on for a single"
"slower ball, on off, and he tries to lift this over long off. Deceived by the slower ball, and Sami - at cover - makes no mistake! Rumman hasn't overstepped either. Wiese falls, life gets more difficult for Lahore. Wiese's struggling innings finally comes to a close"
"back of a length on leg, and Sohail doesn't even duck, and the ball goes over his head"
"full on leg, and that's been <B>clipped</b> over deep backward square. Sohail moves on to 46. Power generated from the wrist"
"length ball on off, and going further away. Tries to cut, but deceived by the (lack of) pace"
"back of a length on off, and angling away again. Tries to cut, but misses again. Two dots to end the over"
"length ball, we outside off, and the googly spins inwards. Tries to cut square, but the ball goes through to Ronchi. Shadab thinks that's been under-edged, but Ronchi isn't sure. They choose not to review"
"full on middle, and the leg-side whip takes a leading edge to cover"
"full and fast on off, and he drills a straight drive to long on"
"full on leg stump, from around the wicket. Nudged off his boots to square leg"
"full and wide outside off, and he comes down the wicket to clear the boundary. Mistimed to long on"
"full outside off, and turning further away. Sohail tries to drag a sweep from outside the stumps, but he misses"
""
"back of a length, short and wide outside off, and Sohail can't connect with the cut. Through to Ronchi"
"length ball, just outside off, and he walks across to the off side before pulling to deep midwicket"
"length ball angling into his body, and he check-pulls towards the leg side. Doesn't have the distance, and Shadab - running in from deep midwicket - times his run well and takes a running catch. <B>Fourth wicket for Faheem!</b>"
"<b>slapped!</b> And that's fifty for Sohail. No celebration though. Lot's of work for Sohail. Length ball outside off, and cut fairly hard"
"back of a length on off, and he mistimes a leg-side clip for a single. <B>150 for LQ</b>"
"length ball, wide outside off, and that's been <B>hammered over deep midwicket</b> for six! Rides the bounce well, and smacks it for a biggie"
"length ball, wide outside off, and he uppishly drives over cover! Just about clears the infielder"
"full on leg, and he misses the leg-side clip. Ball rolls away to short fine leg, and Sami wants to review the <B>lbw call</b>. Nah, this is going down leg. Islamabad lose a review"
"yorker, just outside off, and Shaheen can't get bat on ball. Through to Ronchi"
"full toss, wide outside off, and slapped to point. Can't beat the infield"
"nearly a yorker on leg, and he drills to long on. Can take a single, but Sohail says no. That means Sohail will have the strike next over"
"full, slower ball, but outside leg stump. Needs to rebowl"
"full and wide outside off, and he drags a flat-batted shot over the bowler. Long-on intercepts"
"slower ball, wide outside off, and he tries to go for a big heave towards the leg side. Misses"
"yorker, on off, and wedged away to the leg side for a single"
"back of a length, on leg stump, but he swivels to pull over deep backward square! Moves into the 70s"
"yorker on leg, and clipped <b>past short fine leg!</b> Another boundary."
"slower ball on leg, and nudged to square leg for a single"
"back of a length, outside off, and pulled to wide long on! <b>Faheen takes five wickets!</b> And he becomes the joint-highest wickettaker this season. Sohail's valiant innings comes to an end, and for what it's worth, this is perhaps the end of Lahore's attempt at chasing 239"
"full on off, and he goes for a leg-side heave. Misses altogether"
"<B>that's Faheem's sixth!</b> Yorker on middle, and Shaheen attempts to dig this away, but the ball clatters into the base of the stumps. What an evening he's having"
"full on middle, and tapped away to point"
"full on middle, and the front-foot defense takes an inside edge into his pads"
"length ball on leg, and squared away to point. <B>Faheem finishes with 6/19</b>. Crazy figures on a day where we've seen more than 400 runs scored"
"full on middle, and he goes for a big swing towards the leg side. Inside-edged onto his body"
"full on off, and he digs this away to cover"
"my my my! Full on off, and he skips down the wicket, before hammering a six over the bowler's head!"
"back of a length on leg, and he tries to pull. Misses"
"low full toss on middle, and he clatters this down to long on"
"<b>comedy of errors!</b> Yorker on leg, and the ball has been inside-edged onto his toes. Batsman tries to go for a single since he doesn't know where the ball is. Musa picks the ball up, and tries to whip the bails off (at the batsman's end), but he loses his balance and drops the ball. Seeing that, the batsman tries to run again, but this time Musa controls his running, takes an aim at the stumps, and gets a direct-hit! Wow"
"back of a length outside off, and he misses a shot over extra cover"
"full and wide outside off, and drilled to deep extra cover. They come back for a rare two"
"low full toss just outside off, and he drags a slogged shot to wide long on"
"slower ball, length delivery outside off, and he misses the flat-batted shot. Through to the keeper"
"full on middle, and drilled to long on"
"length ball, wide outside off, and he drags a pull to deep midwicket. <B>Islamabad United win by 49 runs!</b>"
