"leg-stump line, and the batsman misses the flick off his hips. Hits his front thigh"
"length ball on leg stump, flicked to midwicket on the up"
"full on off stump, plants the front leg across dangerously and just manages to flick this to square leg"
"length ball outside off, blocked into the off side"
"tossed up outside off, driven to long-off's left"
length and in at leg stump. Defended from deep in the crease
"length, in at middle stump, patted to midwicket off the back foot"
"short ball outside off, cut to sweeper cover"
"length ball outside off, blocked on the front foot"
"length ball on leg stump, punched to long-on on the up"
"length on off stump, punches towards long-on but Shadab sprints to his left from midwicket and stops with a dive"
"length outside off, spins back in a long way as he looks to drive through cover. Ends up at midwicket"
"short ball outside off, punched to long-off's right"
length and in at off stump. Punched back to the bowler
"<b>nice hit.</b> So classy. It's a length ball outside off and he's not to the pitch of this, but he has gauged the turn and swung through the line. Nice and straight over the bowler"
"short of a length outside off, chopped to point"
"short of a length outside off, nudged through cover off the back foot"
"good length and in at off stump, blocked solidly on the front foot"
"length on off stump, sliced to point off the front foot"
"length outside off, punched through cover on the up"
"length and in at off stump, defended from the crease"
"short of a length outside off, punched to long-off off the back foot"
"length on leg stump, tapped to long-on off the back foot"
"leg stump, leans in and flicks to long leg"
length ball wide outside off. Spins back in and he pushes down the pitch
"full on off stump, driven against the turn to long-off"
"length on leg stump, flicked to midwicket"
"short of a length outside off, opens the face and chops to third man"
bouncer too short to make him play. He ducks under it
"bouncer just outside off, lets it go again"
"length ball outside off, slices to third man's right"
oh nicely played. Pulls with control. It's short of a length and rising up outside off. Gets his hands through this and past midwicket
"length outside off, sliced to point on the up"
<b>inside edge</b> as he drives without putting a stride in. Full ball shaping dangerously in at the stumps
"length ball on off stump, tapped into the covers from the crease"
"short ball at off stump, tapped to cover off the back foot"
<b>ooooffff!</b> That's venomous from Moor! Slaughters this on the up and sweeper cover can't even make the 15 yards required to his right. It's a length ball wide outside off and he doesn't even bother with getting his feet out. Just reaches out and pummels it
<b>venom from the bowler now.</b> Bouncer slants in viciously at his right shoulder and he has to arch back to get out of the way
"length on the hips, whipped to deep square"
"tossed up at off stump, driven back to the bowler"
"length on off stump, blocked on the front foot"
"short of a length outside off, punched to sweeper cover off the back foot"
"dropped short and spanked to the midwicket boundary. Too much time. Despite it spinning away from off stump, Murray can place this pull exactly where he wants"
"tossed up outside off, jammed out to long-off"
"length outside off, driven with the turn, on the up to extra cover"
"good length outside off, and extra bounce straightaway! Past Muray's attempted punch shot, and flies into Sarfraz's gloves"
"full on middle, and driven off the front foot to midwicket. Can't take the run though"
"full outside off, but angling into Murray's body. He sticks his bat out and punches this to mid off"
"back of a length outside off, and that's been cut away! Fast hands, but he hits it straight to point"
"length ball outside off, and punched to cover off the back foot. Another dot from Hasan"
"good length on middle, and pushed with the incoming angle to the leg side. The post-drinks session starts with a maiden over"
"good length outside off, and spinning into his body. Defended off the back foot"
"tossed up outside off, and muscled with the spin to long off for a walking single"
"good length outside off, but spinning further away from the batsman. Left alone"
"full outside off, and driven with the spin to the sweeper fielder on the off side. Enough time to walk across for one"
"length ball outside off, and spinning away from Moor. Cut straight to point"
"good length on middle stump, and the wrong'un is tucked away to square leg off the back foot"
"<b>through him!</b> But Hasan Ali hurts his shoulder (or the back of his neck) trying to celebrate. Comic relief. Length ball on off that came in wildly after pitching. Murray tried to defend off the back foot but the ball went between bat and body, and crashed into the stumps"
"good length outside off, and left alone by the batsman. Shoulders his arms"
"good length on off, and angling into Tiripano's body. Somehow defends to the leg side with the ball getting big on him"
"good length outside off, and steered off the back foot to third man. <B>Gets off the mark</b>"
"full outside off, and a lovely shot from Moor that finds the fielder at cover. Sweet sound off the bat, but Pakistan have a packed infield on the off side"
"short on middle, and going over Moor's shoulders. The umpire thinks it's too high"
"back of a length on middle. But Moor makes some room, sticks his bat out, and then ramps it over third man! Oozing coolness"
"full on off, but it's the wrong'un. Tiripano drives down the ground, and Shadab manages to get his hands onto it"
"tossed up on off, and that entices Moor to go for the big slog sweep. Turns sharply away from him, and he misses the shot completely"
"good length on off, and this time Moor plays more carefully. Punched to mid on"
"full and wide outside off. Moor tries to drive, but the legspin takes the ball away from him. Through to Sarfraz"
