"leg break on leg, he pushes to midwicket"
"136kph length outside off, he drives on the up but misses"
"length ball angled into leg, it hits the thigh pad and drops down and they pinch one"
"<strong>paddle pulled over short fine!</strong> Clever shot. It was back of a length outside off, he stepped inside the line outside off and flips it over short fine."
"angled down leg, called wide"
"125kph, fuller length, he drives firmly back to Morris who fields well in his follow through"
"slower ball on off, he turns this off the front foot to the gap at midwicket"
"slower ball, length outside off, he pushes this to backward point"
"good length outside off, he stands up and pushes to cover"
"138kph, fuller angled into off, he pushes to long on"
"132kph, fuller outside off, he pushes a drive wide of mid off for a single"
"fuller on leg, he flicks this off his toes in the air through midwicket, Sams has a long chase running from deep square and he might have done well to save one"
"fuller outside off, 138kph, he drives firmly to mid off"
"fuller length, 138kph, he drives inside out to cover"
slid through and hits the front pad but it was going down leg
"flatter on leg, he stands up to punch to long on but midwicket cuts it off"
"he <strong>punches through cover</strong> off the back foot! A pressure release. 90kph, back of a length, he stood up and punched elegantly with power. Great shot to beat the sweeper"
"90kph, quicker on off, he punches back to the bowler"
"91kph, arm ball, swinging away, he chips this nicely inside out wide of long off for a couple"
"pushed through on off, he works this to the gap at midwicket"
"back of a length outside off, 119kph, slower, he punches to mid off"
"fuller outside off, he drives well but straight to mid off"
"<strong>square drives with power past point!</strong> Too much width, he gave room and caressed on the up past backward point"
"fuller, 140kph, angled into middle, he clips this forward of square to the gap and they pinch two"
"141kph, fuller on off, he drives to mid off"
"<strong>Sams drops him at deep square and it goes for four!</strong> Short ball on the hip, he pulls high in the air to deep square, Sams ran in too far too early, had to turn and run back with the flight and dropped it and it bounced off his hands and rolled to the rope!"
"full on off, he drives to cover"
"89kph, fuller outside off, he drives firmly to long off"
"90kph, slid through on leg he works this through midwicket"
"full outside off, he drives firmly to deep point"
"tossed up on middle, he drives to cover"
fractionally wide and he creates room to cuts hard and fine past short third man! Good shot to create the room
"off break outside off, he drives firmly to long on"
short and he hammers a pull to deep midwicket and McAndrew fumbles it over the rope! He got to it easily but just made a mess of it
"91kph, pushed through on off, he's back and forcing back to the bowler"
"flatter wide of off, he square drives to deep point"
"back of a length on off, he's back and forcing this to long off"
"87kph, tossed up outside off, he drives to long off"
"slower ball outside off, 111kph, he square drives through point"
"slower ball outside off, 122kph, he pushes to point for one"
"139kph, good length wide of off, he tries to thrash it through point and misses"
"fuller angled into off, he drives firmly to cover"
"133kph, full outside off, he clears the front leg and carves this along the ground to deep cover"
"slower ball, very slow wide of off, he dabs this behind point for one"
"length, fourth stump, 124kph, he gives room and cuts to backward point"
"short and wide, 123kph, he stands up and cuts hard to deep point"
"short and wide, 123kph, he tries to cut and misses"
"back of a length, fractionally wide he cuts hard behind point and Ross can't reel it in on the rope!"
"shorter length outside off, he pulls hard to deep midwicket"
"short and wide, he reaches out and cuts to deep point to bring up another <strong>50. His 7th score of 50 plus in this BBL</strong>"
"half volley, 90kph, he drives up and over cover! Superb shot but a step hit in the slot"
"<strong>nearly a run out! Stoinis and Larkin run into each other but get away with it!</strong> It was pushed to long on, they should have got two easily but they ran into each other, fortunately Hales' throw missed at the non-striker's and no one was there to take the ball!"
"fuller on leg, he drives to long on"
"he cuts off a thick edge and it runs fine to third man! It was fractionally short and wide and he gets a boundary, just not by design"
"slower wrong un, 86kph, he's back and working forward of square"
"<strong>lofted over cover!</strong> Again it was tossed up outside off, he lifts this high over cover with power. Excellent shot"
pushed well wide of off and called wide
tossed up in the slot and he clears the front leg and thumps this straight to the sightscreen! Great strike
"short and wide, he's back and cutting hard past point! Too short and wide"
"angled into leg, he clips this off the pads to deep midwicket"
"short and wide, he gives room and hammers this to deep cover"
"short and wide, he cuts hard to backward point"
"short and wide, he cuts hard to deep point"
"full on leg, he clips this through midwicket to the sweeper"
"shorter length on off, he steps inside the line and pulls this fine! Brilliant thinking to step inside the line"
"131kph, short and wide and he cuts hard past backward point! He's rolling now! Forced Tremain wider and thumped him behind point"
"short and wide, outside off, he stand stall and punches to deep cover-point"
"132kph, full toss outside off, he steps outside off and flicks this behind square for a single"
"shorter outside off, he steps inside the line and chips a pull to deep square"
"full outside off, he's back and punching this backward of deep point for two"
"<strong>steps inside and paddles it fine for six!</strong> Brilliant skill, to get inside the line in a premeditated fashion and get down on one knee to paddle it over the fence"
"fuller outside off, he whips this with the angle to deep midwicket"
"slower ball, outside off, he drives to long on and <strong>brings up 50 off 36.</strong> His second of the BBL"
"<strong>plays on trying to paddle again!</strong> He stepped outside off, to a full ball and tried to paddle it fine again but paddled it onto the top of off!"
"length slower ball outside off, he's back and pushing this to point"
"slower ball outside off, he mistimes a drive to cover"
"full, angled into leg, he tries to loft down the ground but miscues to midwicket"
"full wide yorker, he jams it out to cover-point"
"short slower ball, wide of off, he slices an uppercut off the edge over short third man!"
"slower ball in the slot, he picks it and <strong>lofts beautifully down the ground to the sightscreen!</strong>"
"132kph, full into leg, he flicks this in the air forward of square but for a single only"
"full on leg, he clips this wide of long on for two"
"slower ball, he tries to launch but miscues this to long on"
"length ball outside off, he tries to reverse lap but misses. The slower ball just cut away from him"
"length ball, 127kph, it bites in the surface, he tries to heave and gets it off the toe through cover-point"
"length ball outside off, he heaves this through the leg side to the gap at deep midwicket"
"full outside off, he drives to long off"
"shorter length outside off, he lifts this up and over cover for a couple"
slower ball but too wide of off and just outside the guideline
"short slower ball, it sits up, he backs away and slaps it up and over mid off! Great shot"
"full slower ball in the slot, <strong>he lofts this over wide long off!</strong> Superb stroke going inside out!"
"135kph, full and jammed into leg, he backs away and squeezes it out through forward square for a couple"
"129kph full into leg, he jams it between his legs, a draw shot! But he hits it straight to short fine"
"133kph, yorker, through the legs and it just misses leg, they pinch a bye"
"over-pitched, 140kph, he caresses a cover drive into the gap! Superb start. A lovely flowing drive"
"he advances to a length ball and is hit on the pad, he was way too far down to be given. It pitched outside leg"
"length ball on leg, he is working this awkwardly off the thick inside edge behind square"
"shorter wider outswinger, he's back and cutting hard to deep backward point"
<strong>beaten</strong> by a cracking delivery that nips off the seam. He was squared up
"back of a length into the hip, he tries to pull but gets taken on the body"
"tossed up on leg, he clips this to mid on"
he advances and drives on the up and drives beautifully wide of mid off but Maddinson makes a diving save
"length ball down leg, he sweeps but it comes off glove into Gotch's foot"
whipped powerfully behind square and Hinchliffe makes a great save in the deep
"darted into leg stump, he's back and working this forward of square, well weighted for two"
"tossed up on leg, he whips on the front foot forward of square for a couple"
"fuller outside off, he opens up and hammers this to cover but can't find the gap"
"<strong>brilliant paddle scoop!</strong> He did this against the Hurricanes. Full outside off, he steps inside it and scoops it fine"
"length wide of off, he backs away and cracks this past cover, Maddinson has a task on the rope but he makes the save"
"length outside off, he's backing away and thumping this to cover and Zampa makes a sensational diving stop to save four!"
"<strong>Has Hales run himself out? Yes he has! </strong> He drives to Coulter-Nile at mid on and takes him on, the pick up and release was sensational and he produces a direct hit at the non-striker's and Hales was just short! His bat was almost on the line when the stumps lit up. Superb fielding. The Stars are on in the field"
"131kph, fuller, he chips this in the air straight of mid on and Maxwell almost gets there! He blocks it on the half volley"
"<strong>dropped at point!</strong> This was driven in the air to point, Hinchliffe was diving to his left but he spilled it!"
"99kph, darted into leg, he's back and working this through midwicket"
"tossed up on off, he backs away and lofts this up and over cover-point, Hinchliffe has a long chase and just reels it in"
"flatter outside off, he's back and pulling to wide mid on but the man makes the save"
<strong>lofted over mid off!</strong> He backed away and exposed the stumps but got the step hit length and deposited over mid off. It landed just short of the rope. Outstanding shot
"angled into leg, he clips this through midwicket to the man in the deep"
"<strong>Bowled him!</strong> Khawaja backed away to try and loft down the ground, Coulter-Nile delivered a length off cutter, he got a little inside edge but it crashed into the stumps. He completely lost his shape trying to go with an angled bat"
"<strong>edged and it flies safely</strong> to fine third man. No slip in. It was back of a length and he pushed off the back foot, Rauf does well on the rope"
"136kph, back of a length outside off, he is back and whipping this to short midwicket"
"135kph, shorter length on middle, he pulls this off the hip behind square to deep fine leg"
"133kph, length ball wide of off, he tries to pull and misses"
"135kph, back of a length on off, he defends with soft hands to backward point for a single"
"143kph, back of a length outside off, he punches this off the back foot to cover"
<strong>he drives magnificently through cover!</strong> Slightly over-pitched and he used the pace to place it inside out through cover
"<strong>caught down leg off the glove!</strong> A short ball down leg, he tries to pull but it just got on him too quickly, it came off the glove and Gotch moved to his left and took the catch comfortably"
"141kph, full outside off, he slices a drive through backward point wide of third man and Worrall makes a great save"
"146kph, good length on off, he backs away and just blocks it straight of mid on with outstanding timing for two"
"144kph, short into the ribs, he pulls off the gloves to short fine"
"pushed through outside off, he tries to cut but mistimes to cover"
"shorter length, he's back and cutting off a thick edge and it flies fine of third man for a couple"
"fuller, he slog sweeps along the ground wide of long on and a misfield allows two"
"94kph, quicker on off, he's back and punching to cover and Coulter-Nile is diving to his left but they get one"
"<strong>reverse sweep past point!</strong> Good shot, he switched his feet early and slapped it behind point"
"wrong un, quicker, it hits the pad but it's sliding down leg"
"137kph, good length, fourth stump line, he's back and defending"
"<strong>dropped by Maddinson running back from backward point!</strong> Tough chance. Length ball outside off, he sliced this high behind point backward point, Maddinson runs back and gets two hands to it but spills it"
"slower ball on off, he's back and working this through square leg"
"fuller on off, he drives back to the bowler"
"136kph, short and wide, he <strong>uppercuts and it carries over third man!</strong> He used the pace and it just cleared Rauf"
"back of a length, 136kph, he stands up and punches to long on"
"full on middle, he backs away and square drives to deep point"
a drag down and he thumps this over deep midwicket! Superb strike. He hit that so hard. It was bad ball but it was hammered
"91kph, fuller on off, he charges and drags a drives to long on"
"full on leg, he drives hard to long on"
"full outside off, he cracks a drive straight to cover"
"hurried through outside off, he tries to cut but it gets onto him quickly"
"tossed up, he's down to sweep through square leg"
"tossed up on off, he backs away and drives to long on"
"quicker and a good length, he charges but has to adjust to defend"
advances and lofts this over long on and way back! His footwork got him to the length and he swings through the line and smashes it miles into the stands!
"shorter length, he switches his feet to reverse sweep to deep point"
"pushed through on off, he drives to long off"
"146kph, he backs away, he follows with a yorker, he drives to long on"
"145kph, fuller outside off, he's beaten cold, caught on the crease"
"back of a length, 140kph, he stands up and punches off the back foot to deep cover-point"
"<strong>Bowled him!</strong> Morris backs away too far, Rauf goes full, straight and fast and it crashes into leg stump! He was beaten for pace"
"148kph, attempted yorker, low full toss and he glances this to fine leg"
"short ball outside off, he tries to pull, it comes off the bottom edge and drops near the stumps and they pinch a single"
"132kph, good length, top of off, he defends on the front foot"
"127kph, fuller on leg, he clips this off his pads behind square for a single"
"133kph, back of a length, takes him on the pad high and they pinch a leg bye"
"slower ball, 133kph, wide of off, he dabs this wide of third man and they pinch two"
"129kph, fuller on leg, he drives to long on"
"shorter length, wider of off, he's back and trying to cut but misses"
"a high full toss! Just below waist high apparently, he pulls behind square"
"133kph, outside off, he skips down and drives wide of mid off for one"
"short slower ball down leg, he pulls powerfully past short fine leg! A bad ball and he smashes it"
"back of a length, on middle, he pulls forward of square to the sweeper"
length ball down leg and pulls this very fine for four more!
"top edge nearly flies for six at third man! This was a length ball, he tried to heave this over midwicket, gets a top edge and it nearly goes for six. Third man was inside the circle"
"shorter length on off, he backs away and cuts hard through point and finds the gap!"
"92kph, slid through on middle, he's back and cutting behind point to the man in the deep"
"90kph, tossed up on middle, he drives to long on"
"shorter length, he's back and cutting to deep point"
"93kph, he backs away, Zampa follows and Ross punches back to the bowler"
"full toss, he swats this away through midwicket to the man in the deep"
"back of a length on off, he's back and pushing this to cover"
"<strong>launched over long on!</strong> Fuller and in the slot, he set his base and lofted this high and long over long on"
"127kph, angled into leg stump, he glances to fine leg"
he pushes this slowly to long on and it's perfectly weighted to pinch two
"129kph, angled into leg, off cutter, it hit the front pad but was missing leg. Going way down"
"slower ball off cutter, he works this through midwicket, they want two but Ross slips"
"141kph, back of a length outside off, he tries to guide to third man but misses"
"top edge flies over the keeper and just beats fine leg! A short bouncer, he tries to pull, gets a thick edge and it goes safely to the rope"
"length ball, hammered back at Coulter-Nile, he gets the right hand down and nearly parries it onto the non-striker's stumps! Ross was miles out if it hit"
"length ball on the hip, he flicks this to fine leg to bring up <strong>50 off 35 balls. His 2nd of the BBL</strong>"
"short slower ball, he backs away to try and run to third man but punches it off the gloves"
"140kph, length ball outside off, he swings and misses"
"length leg break, he backs away and heaves this wide of long on into the gap for two"
<strong>launched over deep midwicket!</strong> He backed away and Zampa follows into his arc and he hammers this long over the fence!
pushed way wide of off and it's called
"<strong>great catch by Maddinson at deep midwicket!</strong> Ross went again, it was 100kph, into his hitting arc but he swatted this flat to the long boundary, Maddinson had to run a fair way to his right but he took an excellent diving catch"
"<strong>lofted flat over long on!</strong> Full outside off, a step hit and he launches this flat and long again!"
"<strong>holes out to long off!</strong> A touch slower with some turn, he skipped down to go again, he sliced it high to long off and Handscomb took the catch easily well inside the rope"
"<strong>edged off the gloves of Gotch!</strong> He went back to a shorter length, got a thick edge but it was too thick for the keeper, it came off the top of the gloves and runs away"
"143kph, length ball on off, he's back and slapping this to deep midwicket"
"142kph length ball outside off, it stays low, he swings and misses"
"148kph, fuller, he drives to mid off and takes on the man for a tight single"
"140kph, back of a length wide of off, he tries to cut but misses"
"slower ball, brilliant, grips in the surface and he swings and misses again"
"144kph, shorter length into the body, he mistimes pull behind square"
"<strong>Caught at deep square!</strong> Banged in slower ball, he rocked back and hits this high to forward of square, it's a huge hit but it still falls short of the long boundary and Larkin takes good catch just inside the rope"
"short slower ball, he swings hard and gets a thick edge that runs to fine third man!"
"short slower ball, he's back and pulling through square leg for a couple"
he backs away and slaps this through cover but can't beat the man on the ring
"shorter slower ball, he tries to pull but cops it on the body and it rolls away for a leg bye"
"shorter slower ball, he mistimes a pull towards long on"
"141kph, length ball angled into the pad, it runs fine to the keeper and they pinch a leg bye"
"<strong>caught at deep midwicket! Maddinson had two bites but hung on!</strong> A length slower ball, Lenton takes a big swing and launches it high to deep midwicket, Maddinson runs in and calls Maxwell out, he needs to bites but doesn't panic and holds on"
"144kph, full and straight, he swings hard and drags it to deep midwicket"
"slower ball, 120kph, he backed away and tried to heave but misses"
"bouncer, over middle, he backs away and ducks late. That was rapid!"
brilliant slower ball to finish it. Another swing and miss
