leans in towards a fuller ball to just caress it through the covers. Just enough on it to beat the two fielders giving it chase
"looped in towards off, driven to cover"
gets down to reverse sweep and misses
"pitched up outside off, driven to long-off"
"short, too far across, not called wide"
"backs away and ends up having to reach out and swipe at it, misses"
"back of a length, reaches out for a slap to deep cover"
"good length on off, presses forward to defend to point"
"full, pushed across off, driven to extra cover"
"fuller of a length, pinches a single to mid-off"
"pitched up on middle, driven wide of long-off"
"full outside off, reverse-swept past the keeper"
"full, middle and leg, eased down to long-on"
"another reverse sweep, this time fine of short third man"
"sees him advance and drops it short, cut to point"
"sliding fuller one, tries to sweep and misses"
"full on middle, clipped to long-on"
"slashes at a shortish one and gets an outside edge to third man. They push back for the third and Harper gathers the throw to disturb the stumps. Reckon that's on the line. Yep, given out! Very very close, but the correct decision in the end. Another needless run out, and this time it's the set Weatherald"
nudged into on side
"flat length ball, tucked to midwicket"
"back of a length, middle and leg, defended back"
"full, curving into middle and leg, driven back"
"back of a length, punched to mid-on"
"short, pulled through square leg"
"short of good length on off, opens the face to short third man"
"full, dipping on middle, driven to mid-on"
tries to pull this short one but fails to get on top of the bounce
"tame! Just chips this fuller one straight back to give Christian catching practice. Closes the face early as he had dragged the pace off, so that certainly played a part. Bit of a leading edge and no problems for Christian"
"good length on off, defended"
"short outside off, backs away and slaps it to sweeper cover"
"shortish outside off, slapped to deep backward point"
"short, down the ground and making room as he slaps to deep cover"
"short of length, tucked off the pads to square leg"
"short of good length outside off, punched to point"
"shortish, backs away and slaps to deep cover"
"yorker, dug out down the ground"
"full, launches it with the angle to deep square leg"
backs away to a fuller one and mows it through long-off
"full toss on off, backs away and slaps it to sweeper cover"
"razor sharp angles on off, closes the face and wears it on the pad. Plumb in front"
slapped to deep cover
"full on off, driven to long-on"
drags a pull from outside off and launches this over deep square leg. Goes miles!
""
"down the ground and inside-out through extra cover, beats long-off diving to the left"
"full outside off, swung away over backward point"
dips outside off and beats the bat but the keeper fumbles and they steal a bye
"full, angled into off, whipped into on side"
dips on him outside off.. another bye
backs away and swings wildly to just about clear the point boundary
follows him swing and a miss. More extras as they take off
slaps a full toss through point
"slanted across off, flashes and misses"
"short of a length, whipped away to deep midwicket"
"short of length, skids on with zero turn, inside-edged onto the pad as he backs away"
"short of a length again, stabbed to point"
"fuller outside off, reverse-swept fine of third man"
"back of a length, whipped to long-on"
"full outside off, presses forward and drills it back"
"full around off, driven straight back"
"short of a length on off, punched to cover"
tucked off the backfoot behind square leg
"length, jabbed to cover"
bit of width as he slashes to point
flicked off the pads over the in-field at square leg
swipes across the line and gets a top-edge that drops short of third man charging forward
gets him to nick through. Flashing outside off as this one's angled across and gets enough bounce to leave him uncomfortable as he's trying to run that down to third man. Simple catch to keeper
"back of a length outside off, defended to point"
walks across and opens the face to third man
""
"<b>collision between keeper and short fine leg but Carey holds on</b>. Harper gets down to scoop this fine but can't quite find the middle of the bat, Carey moves back and across and holds on despite tumbling"
"full, middle and leg, drilled to midwicket"
"short, keeps the bat down as it goes down leg"
"back of a length, shuffles across and defends"
"length on off, opens the face to backward point"
"length outside off, pushed to point"
"length on middle, defended"
"shortish outside off, stabbed to point"
"short of a length around off, slapped to point"
"good length around off, jabbed straight back and knocks the stumps"
<b>outside edge past the keeper diving to his left</b> as he tries to arch back and deal with the bounce on this one
nudged into on side
"full around off, backs away and thumps it over the in-field at cover"
"length on off, tucked to midwicket"
"length, punched to long-on"
flicks a fuller one to square leg
"full, angled in, gets down and sweeps it over deep backward square"
"short of length outside off, cracks it off the backfoot through point"
""
"<b>very, very soft</v>. Short of a length, extra bounce and stops on him a little, just checks his stroke as he punches at it and pops a simple catch to cover"
"spins in, googly, tucked to leg side"
backs away and slaps a short one to the left of deep cover
"short of length, moves away and jabs it back"
swipes at a length ball and gets an inside edge to short fine leg
"back of a length, angled in, pulled to deep square leg"
""
"down to sweep to the wrong length, nowhere full enough, lobs behind the stumps off the glove"
"<b>ripper</b>! Spins off a length outside off, he tries to close the face and gets beaten big time"
tries to pull but can't quite middle it as it doesn't come on
"plumb! Another sweep attempted, not full again.. he's struggled to pick the legnths here. On a length and a googly, going on with the arm to hit middle and leg"
"length on off, defended"
"back of a length, stays back and tucks to the right of the bowler"
"full around off, clipped to midwicket"
tries to cut and misses
"short, stopping on him, slapped to long-off"
shifts back and tucks it to right of the bowler
shifts back and defends back
"<b>straight through!</b> Tossed up, inviting the big swipe, which Nabi does but doesn't manage to get underneath it and the ball crashes into the stumps. Renegades putting on a sorry display here!"
"short, no turn, whipped to deep midwicket"
"tossed up outside off, driven past the right of extra cover"
"flat, back of a length, whipped away behind square"
"short of length, spinning in, jabbed back"
"wrong'un, tucked with the turn to square leg"
"tossed up on middle, clipped to midwicket"
""
"floats up a full toss, punched down to long-on"
""
turned away off the pads to square leg
"comes down the ground and yorks himself.. not much he can do from that position, toe-ends it into the surface as it goes on to clatter into the stumps. Renegades unravelling spectacularly. Will they last 20 overs?"
"back of a length, flat, spins down leg"
""
"full outside off, opens the face to drive behind point"
"pitched up outside off, opens the face to third man"
"spins into the pads, tucked behind square"
"short of a length outside off, cut off the backfoot"
"full outside off, opens the face to point"
turns this away behind square
shuffles across and whips this length ball towards mid-on
"high full toss, whips it away through backward square leg. Not called a no-ball but he had stepped down the ground"
"full on off, pushed to extra cover"
"that's huge! Waist-high full toss, smokes it miles over deep midwicket"
""
spins down leg from a length
""
"spins away from a length, defended"
"sliding towards leg, nudged into square leg"
"dragged on, or has he? Carey says no, indicating he may have inadvertently tipped the bails off. Actually, he has dragged the sweep onto Carey's boot before it goes onto the stumps"
"googly, back of a length, tucked to deep midwicket"
gets down to sweep but he had taken a stride across and the impact was outside off
"good length on off, defended"
walks across and taps it into leg side
"yorker on off, dug out to cover and beats the diving fielder's throw for a quick one"
"short around off, slapped to sweeper cover"
advances and slaps a short one to the right of sweeper cover
"short of a length, goes over the stumps as he swings"
comes down the ground and clips it to deep midwicket
gets down to sweep behind square
shifts back and tucks but inside-edges onto the pad
"shout for lbw, looks close, not given, but it was probably heading down leg"
gets down for a big slog sweep and misses
"full outside off, drilled to wide long-on"
"full outside off, slapped down to long-on"
"short, follows him as he backs away and hits the solar plexes as he tries to pull"
<b>thumped!</b> Goes over the bowler's ear as he barely has enough time to get out of the way of this tonk!
"and the bowler has the last laugh. Cleans him up next ball. Sower ball, Wildermuth's backing away and can't put bat to ball"
"full outside off, drilled away to third man off the outside of the bat"
"full toss, drilled away to deep backward point"
"back of a length, down to sweep and misses and it's it him a little high, so lbw call withheld. Might've been going down leg too"
""
"down the ground and carved away over extra cover, beats long-off to his left"
down the ground and slapped to deep point
advances and drills it to long-on who slides and just about gets to it
"full outside off, clipped to wide long-on"
"back of a length, angling in, pulled one-bounce to deep square leg"
"full outside off, swipes big and shovels it over deep square leg"
"another one, or is it? Oh, yeah! Just about enough to get it over the man stationed in the deep. Short, pulled over deep square leg"
dead plumb. A yorker that the batsman fails to clip away and hits him in front of middle
"full on middle, driven down the ground"
"full, curving away a bit, swipes down the ground for four"
"full, angling into leg, clipped behind square leg"
"length on off, shovels it without getting hold of it entirely and sends a catch down the throat of long-on"
"slow full toss, pushed to long-off"
"full around off, backs away and carves it through cover and point"
"full, angling in, mowed to long-on who almost lets it go through"
"full outside off, carves it away over the in-field, one-bounce to the sweeper at cover"
