"good length first up on middle, onto the frontfoot and pushes it to mid-off fielder"
down the leg and nudges it superbly down to fine leg for a boundary
"fuller on leg, drives it but to the short mid-wicket fielder "
"down the leg and wide given, the crowd are cheering on everything now"
"good length on off, on the backfoot and pushes it down to long-off for a run and keeps the strike"
"short ball on middle, goes for a pull but misses it, just over the stumps and on the bounce to the keeper"
"short ball, comes down to slog it big but missed it"
short outside off and lets it through to the keeper
"short outside off again, makes room and slogs it out of the ground for a huge six, superbly batting display here by rashid"
"slow and full, flicks it down to long-on for a run"
full down the leg and wide given
"length on leg, onto the backfoot to nudge it but misses it and surives the last ball"
"good length outside off, moves across for a big shot towards mid-wicket but misses it"
onto the backfoot and pushes it away to on-side for a run
"good length outside off, onto the backfoot and punches it to mid-off"
"good length on middle-leg, onto the backfoot to nudge it to on-side but misses it and his him high on the knee"
onto the frontfoot and does a defense
"full on middle, onto the backfoot and drives it back to the bowler on the bounce"
"good length on middle, goes deep in his crease and slaps it on the bounce to long-on, but single is denied "
"full outside off, drives it firmly to sweeper cover but single denied again by rashid"
"full on middle, goes deep in the crease again and slogs it to mid-wicket for a boundary"
"good length on middle, onto the frontfoot and does a defense"
"comes down the pitch early, rankin saw it and pushed it away from him and wide given"
"full on off, drives it to sweeper cover for a run"
short ball and lets it through to the keeper
"tossed up, goes for a reverse sweep and connect well to the right of point and stops it well"
"onto the backfoot and punches it down to long-on for a run, lets his partner take on the spinner here"
"pushes it short and quick on leg, tries to flick it but gets hit on the pads"
"tossed up, lures him into the big shot and gets hims hold out at mid-wicket for a good catch just inside the boundary"
"tossed up, onto the frontfoot and drives it back to the bowler"
"flighted outside off, onto the frontfoot and blocks it"
"full outside off, gets across to slog it towards mid-wicket but gets beaten"
"full yorker outside off, lets it through thinking wide would be given but was clearly well inside the guide line"
"outside off, onto the knees for a cute but misses it"
"fuller outside off, lets it through to the keepr and its a fair delivery "
"good length outside off, goes for a slog to mid-wicket but gets a inside edge and for a boundary at fine leg"
"good length just outside off, tries to nudge it to off-side for a run but misses it"
"slow outside off, pushes it to cover"
"slow on off again, stands still and pushes it covers again"
"good length on leg, drags it away to square leg for a boundary, well no one expected that"
"fuller outside off, looks to drive but gets a inside edge to the on-side"
"good length on leg, pushes it away to short mid-wicket "
"length ball on off, stands his spot and pushes it to off-side"
"slow on the pads, drags it away to square leg fielder, runs in with a dive forward to catch it but falls just short, mujeeb had to go back all the away as rashid wanted the strike"
"slow on leg, moves back with a pull high in the air and straight to mid-wicket for a easy catch, pin drop silence in the crowd and thats the end of afghanistan inning "
"outside off, onto the backfoot to cut but gets a inside edge and on the bounce to the keeper"
onto the backfoot and pushes it to cover point
onto the frontfoot and pushes it to mid-on fielder
"good length on off, drives it on the rise to short cover fielder"
"good length outside off, onto the backfoot and pushes it to point"
"short length outside off, drags it towards mid-wicket but gets a inside edge to wide fine leg for a run"
"tossed up, onto the backfoot and pushes it to mid-on"
"tossed up, onto the frontfoot and does a defense"
onto the frontfoot and pushes it to cover
onto the backfoot and plays it down to long-on for a run
"tossed outside off, pushes it to covers for a run"
