Commentary,Runs,Wickets
"outside off, dabbed through extra cover for one",1,0
"good length on middle and leg, cramping Warner for room, awkwardl played into the off side",0,0
"uppish but in the gap. Full and wide outside off, driven in the air, wide of cover for a couple",2,0
"close to off, 146 kph, blocked towards point and an easy run is completed",1,0
"on the pads again, worked out to deep square leg for one",1,0
worked through midwicket for one,1,0
"full and wide outside off, 141 kph, no stroke",0,0
"short on middle, pummelled to deep midwicket for a run",1,0
"88 kph, slow through the air, flat outside off, defended",0,0
"nice line, flat on off, a solid block",0,0
"strays down leg, Renshaw gets just enough bat on his sweep to get the ball down to the fine leg boundary",4,0
"fuller and quicker on off, driven back to the bowler",0,0
"flat on middle and leg, Renshaw works the ball to short leg",0,0
"back of a length outside off, dabbed down into the off side. More through his delivery stride",0,0
"short and wide, 140 kph. Slapped through cover. Got on top of the bounce",0,0
"edged and gone! Wahab provides the breakthrough. Full length on the fourth stump. Warner wanted one to third man but Wahab extracted some extra bounce and more pace. Took the outside edge and carried to Sarfraz at head height. A soft dismissal, but a fantastic innings from Warner. Set the SCG on fire this morning",0,1
"good length around off, left alone",0,0
"nice line around off, defended back",0,0
"142 kph, close to off and blocked",0,0
defended back up the pitch,0,0
Renshaw gets low and executes a fine paddle sweep to fine leg for a run,2,0
"86 kph, quicker through the air, flat outside off, defended",0,0
"outside-edged. Flat and wide outside off, Renshaw gets a thick outside edge which flies down to slip for a couple",3,0
"flat and straight, Khawaja defends back up the pitch",0,0
"89 kph, quick through the air, defended",0,0
driven handsomely through mid-on for a couple. Wahab oversteps too,3,0
"141 kph, back of a length outside off, defended into the off side",0,0
"left alone outside off, 143 kph",0,0
"141 kph, overpitched on off, driven to mid-on",0,0
"nice line, hanging it in a channel outside off, Renshaw defends into the off side",0,0
"141 kph, around off, Renshaw defends back",0,0
"back of a length outside off, Renshaw gets on top of the bounce and works to midwicket",1,0
"short delivery on off, Renshaw stays back and hammers his pull through square leg. Four more",4,0
"some flight outside off, Renshaw gets forward to defend",0,0
,0,0
