Lemma,Frequency
rizwan,1054
somehow,1051
result,1048
muscle,1047
pinch,1046
driving,1044
du,1043
plessis,1040
bavuma,1037
loses,1037
crack,1036
ease,1035
captain,1031
boult,1030
placement,1030
watchfully,1029
complete,1029
simply,1028
splice,1028
nowhere,1027
distance,1025
balance,1024
bdroppedb,1020
loopy,1018
missing,1017
denly,1015
beauty,1013
firm,1012
insideout,1011
decent,1011
swatted,1010
glide,1008
mahmudullah,1007
shade,1006
immediately,1006
gentle,1000
rib,994
slashed,994
follow,991
sprint,991
sail,989
perera,987
brilliant,986
backing,985
pressure,984
squareleg,982
hale,981
crunch,980
lanka,977
bravo,976
munro,975
beautiful,970
wild,969
intercept,965
climbing,964
powerfully,963
legstump,961
patted,961
archer,955
pat,954
fraction,954
yard,953
smashed,952
yes,952
skews,949
giving,948
send,945
west,944
moved,944
prevent,942
indie,939
tickled,938
dowrich,938
footwork,937
sweetly,935
band,933
thought,930
anyway,923
bend,922
attacking,922
keeping,922
slant,921
shami,918
carey,917
malik,917
similar,915
shy,914
ping,914
shadab,911
noball,909
bthats,909
lynn,902
occasion,900
helped,899
rather,897
deflected,896
sixth,895
hasan,893
insideedged,892
despite,891
weight,891
kick,887
thump,886
settle,886
prodded,885
inch,883
met,881
nabi,875
hell,875
space,874
crash,873
picking,872
hammered,871
fielding,869
actually,868
steal,865
toeend,865
amir,864
continues,862
awkwardly,862
fakhar,862
massive,861
glanced,860
powell,860
iyer,860
five,859
held,853
turf,853
walking,851
pressed,850
lewis,848
rayudu,848
needed,847
raise,847
lakmal,846
holding,846
midwickets,844
hander,844
waiting,842
liton,842
slogs,840
striker,840
shift,836
tighter,834
thing,834
dribble,833
intent,833
heading,830
jog,829
beyond,829
yasir,826
target,825
pandey,825
adjusts,823
pas,821
over,820
opening,818
cricket,818
bangladesh,816
guard,812
vince,810
terrific,808
blow,806
shovel,805
attack,802
incoming,801
cracked,799
raza,798
return,796
direction,795
already,793
legb,792
edgestrong,792
thin,791
waft,789
rough,788
karunaratne,788
roach,787
grab,786
sibley,785
crunched,779
silva,777
smack,776
probing,775
something,774
handscomb,774
win,772
wood,772
lack,771
rip,767
match,767
slipb,766
previous,764
un,763
overthrow,763
leaning,761
absolutely,759
south,758
connects,754
jadhav,752
barely,752
arc,751
blade,748
wow,748
tail,748
ishant,742
philander,740
billing,735
waist,735
chahal,732
th,732
himb,731
seemed,731
stuck,730
flatbatted,730
loud,729
hetmyer,728
spell,728
africa,728
awkward,727
thumped,726
miscue,725
grandhomme,725
tidy,724
tough,724
nick,724
never,723
eventually,723
fairly,722
tharanga,722
super,721
managed,720
mile,720
shimmy,720
duminy,719
maharaj,719
zealand,719
beating,719
plant,719
belt,716
gabriel,716
dead,714
comfortable,710
russell,710
bounced,709
interested,708
morris,706
nurdled,705
punching,705
ended,703
pulling,701
forcing,700
fact,699
elbow,698
kuldeep,698
shortens,697
home,695
aimed,694
squirted,694
shafiq,692
seaming,690
standing,689
upper,689
midwicketb,689
legcutter,686
ali,686
aiming,685
leach,685
kmh,684
hasnt,683
superbly,683
hurried,680
saw,679
deadbatted,677
outfield,676
crisply,676
always,675
fully,673
defensively,670
theyre,670
